Point;Valeur
3.205453953439468 -4.703496991781268;-2.188249002223
-42.89454604656306 -50.8034969917838;-571894854.276
-88.994546231269 -96.90349714884277;-5.672695059897913e
-135.09454626673258 -143.00349718741683;-5.7669713542179306e
-181.19454630246767 -189.1034972241756;-5.8995294555195076e
-227.29454633825438 -235.20349726047303;-6.050307814611304e
-273.39454637405913 -281.30349729658406;-6.212758254075577e
-319.49454640987216 -327.4034973326013;-6.384171372944516e
-365.5945464456897 -373.5034973685647;-6.563274347415579e
-411.69454648150986 -419.6034974044943;-6.749433645313664e
-457.7945465173318 -465.70349744040135;-6.942337120961256e
-503.8945465531549 -511.8034974762926;-7.14184990035123e
-549.9945465889789 -557.9034975121723;-7.347942516024511e+
-596.0945466248035 -604.0034975480434;-7.560652330875359e+
-642.1945466606285 -650.1034975839077;-7.780061584752086e+
-688.2945466964538 -696.2034976197668;-8.006284298207644e+
-734.3945467322795 -742.3034976556218;-8.23945815550269e+
-780.4945467681055 -788.4034976914733;-8.479739316089759e+
-826.5945468039316 -834.5034977273219;-8.727299016379041e+
-826.5945468039316 -834.5034977273219;-8.727299016379041e+
PointOptimal;ValeurOptimale
[-826.5945468  -834.50349773];-8.727299016379041e+161
Temps;Nb iteration
0.0012798309326171875;19
