Point;Valeur
3.5466026889291236 4.1910556177593214;-1.7498067707802
3.380255728117362 4.357402843769741;-1.8987967709597
3.1742225559703705 4.527163605108695;-2.105596388196
2.9413215103887143 4.701319934269427;-2.3444308847985
2.720804511214354 4.880517643699073;-2.551301362869
2.5784145882072322 5.065685327900514;-2.6977974438523
2.5304371547447717 5.258396815528523;-2.827250135070
2.5230448816581093 5.460498900987509;-2.9684501412818
2.525613159837475 5.673510842135415;-3.1274883919583
2.530788814079646 5.898842340137294;-3.308034923998
2.5371719662050802 6.138044530267896;-3.5145328764055
2.544616325055428 6.392921695465089;-3.7526741594781
2.5532688732484563 6.665615059455062;-4.0298713118236
2.5633922626689603 6.958699188410381;-4.355941527525
2.5753520791858864 7.275307957034407;-4.744133960982
2.589650275084238 7.619305609906414;-5.212714505558
2.606989621774562 7.995524367664163;-5.78748523334
2.6283823006447706 8.410101442084969;-6.505929708345
2.6553367455747074 8.870967704904636;-7.424309081824
2.6901936044741057 9.3885733906784;-8.630384696646
2.736760854152709 9.976994213926488;-10.267514367855
2.801571774601449 10.655665389340172;-12.583415737400
2.8964144560669114 11.452181847527088;-16.037264580365
3.042814859657155 12.406953736413858;-21.560302542905
3.2749755367239866 13.58110884850484;-31.271568308361
3.6270240761150863 15.069729369097704;-50.68934500409
4.1221875391011755 17.022213932931432;-96.56100765498
4.791480989999026 19.66992556412429;-231.49476169410
5.692041991437704 23.356353196686076;-774.910064063
6.944573625268903 28.55940346089023;-4253.619290435
8.718966789632777 35.914332140262246;-47285.55991740
11.21775241688213 46.271845404924264;-1404840.468257
14.725534704162925 60.811637899857686;-164163640.88424
19.643849339557196 81.19808774211957;-130124532089.83
26.538381667393438 109.7759731304662;-150770323284590
36.20303436617822 149.8360270715297;-7.5008448845613e
49.750795484228334 205.9915929343969;-7.257531211284521e
68.74183807088694 284.70959906743633;-1.134985769545424e
95.36318866788092 395.055285988076;-5.582768317033565e
132.68058735066506 549.7361680394985;-5.539313227740543e
184.99154127375823 766.5654428385553;-3.784072911766672e+
258.3202296854291 1070.5133760696006;-6.328358960716883e+
361.11125414430717 1496.5829010497473;-2.4608818621181852e+
361.11125414430717 1496.5829010497473;-2.4608818621181852e+
PointOptimal;ValeurOptimale
[ 361.11125414 1496.58290105];-2.4608818621181852e+212
Temps;Nb iteration
0.003734111785888672;43
