Point;Valeur
5.736703633927018 5.148039909987931;-4.722093518155
5.727370468938711 5.1390452923007945;-4.708704308425
5.718709330287967 5.1310425882981985;-4.6965149504206
5.7107246022560645 5.124018844068981;-4.685528696959
5.7034198285344875 5.117961608531257;-4.675749041775
5.696797684653614 5.112858922160492;-4.667179416495
5.690859956087914 5.108699306305269;-4.659822922066
5.685607521740183 5.105471753064974;-4.653682094595
5.681040342512084 5.10316571570538;-4.648758705324
5.677157454677484 5.101771099589902;-4.645053594164
5.673956967788372 5.1012782536063375;-4.64256653605
5.671436066858164 5.101677962070137;-4.641296139192
5.669591018586333 5.102961437086915;-4.64123977404
5.6684171814069355 5.105120311358095;-4.64239353198
5.667909019164853 5.108146631415199;-4.644752212179
5.668060118243389 5.112032851269116;-4.648309335447
5.668863207986659 5.116771826462082;-4.653057183672
5.670310184279037 5.122356808511162;-4.658986863239
5.672392136160344 5.128781439733065;-4.666088391076
5.675099375370079 5.136039748441203;-4.6743508017304
5.678421468725617 5.144126144506965;-4.683762273916
5.682347273248233 5.153035415277989;-4.694310274930
5.686864973956752 5.16276272184749;-4.7059817212655
5.691962124250749 5.173303595669541;-4.718763153733
5.697625688805058 5.184653935516341;-4.73264092533
5.703842088893143 5.196810004774321;-4.747601400044
5.710597250050532 5.209768429077202;-4.763631160747
5.717876651980227 5.223526194275127;-4.780717224269
5.725665380590419 5.238080644739995;-4.798847261737
5.733948182041894 5.253429482008439;-4.818009822224
5.742709518667482 5.26957076376472;-4.8381945577627
5.751933626611006 5.286502903167476;-4.859392447831
5.761604575017585 5.304224668525049;-4.881596021436
5.771706326591853 5.322735183325562;-4.9047995750235
5.782222799326829 5.3420339266294;-4.928999384585
5.793137929193434 5.362120733832886;-4.954193910451
5.804435733570226 5.382995797813396;-4.980383993459
5.816100375185041 5.404659670467832;-5.007573041434
5.828116226335457 5.427113264657665;-5.035767205121
5.840467933153302 5.4503578565754855;-5.06497554304
5.853140479680803 5.474395088549698;-5.095210175003
5.866119251531922 5.499226972305642;-5.126486424325
5.879390098922349 5.524855892703345;-5.158822949208
5.8929393988658845 5.551284611973988;-5.1922418639514
5.906754116352552 5.5785162744792185;-5.226768851107
5.920821864345632 5.60655441201956;-5.262433265985
5.935130962460067 5.635402949720455;-5.299268235219
5.949670494213366 5.6650662125267575;-5.337310751464
5.964430362771362 5.695548932339434;-5.3766017665311
5.979401345145482 5.726856255830388;-5.417186285576
5.994575144834106 5.758993752974755;-5.459113465212
6.00994444293919 5.791967426342957;-5.502436718614
6.0255029478279045 5.8257837211983174;-5.547213830961
6.041245443450123 5.860449536449579;-5.593507088707
6.0571678364629475 5.8959722365118665;-5.641383426420
6.073267202355049 5.932359664133837;-5.690914595096
6.089541830804878 5.96962015425359;-5.742177356069
6.105991270547574 6.007762548951325;-5.795253704864
6.122616374066312 6.04679621357192;-5.850231129595
6.139419342464044 6.086731054097729;-5.907202908761
6.15640377091089 6.12757753585775;-5.966268453677
6.173574695102067 6.169346703667952;-6.027533701139
6.190938639199558 6.212050203505392;-6.091111562417
6.20850366576928 6.255700305828243;-6.157122435230
6.226279428262953 6.300309930664236;-6.225694786053
6.244277226632323 6.345892674601323;-6.296965810890
6.2625100667008144 6.392462839827568;-6.371082183639
6.2809927239555625 6.44003546538089;-6.448200902285
6.29974181246057 6.4886263607853385;-6.528490244485
6.318775859629725 6.538252142268874;-6.6121308456719
6.338115387635724 6.588930271776027;-6.699316914598
6.357783002268102 6.64067909901251;-6.790257603347
6.3778034900889145 6.6935179067821595;-6.885178551230
