Point;Valeur
5.770176719554103 -7.756126665522068;-8.409127624413
5.771174880145972 -7.758165012148773;-8.414280115498
5.772172324222586 -7.760204872216974;-8.419437354059
5.773169055834339 -7.762246247569287;-8.424599361306
5.774165079030171 -7.7642891400529095;-8.429766158462
5.77516039785767 -7.76633355151948;-8.434937766768
5.776155016363129 -7.768379483825274;-8.44011420748
5.777148938591294 -7.770426938831061;-8.445295501868
5.778142168585722 -7.7724759184023;-8.45048167122
5.779134710388531 -7.774526424409014;-8.455672736842
5.780126568040506 -7.776578458725812;-8.460868720053
5.7811177455812075 -7.7786320232320065;-8.46606964219
5.782108247048809 -7.780687119811372;-8.471275524618
5.783098076480064 -7.782743750352584;-8.476486388699
5.784087237910677 -7.784801916748847;-8.481702255829
5.785075735374898 -7.786861620898058;-8.486923147416
5.786063572905819 -7.788922864702819;-8.492149084887
5.78705075453515 -7.7909856500704215;-8.497380089689
5.7880372842935675 -7.793049978912954;-8.502616183287
5.7890231662104 -7.795115853147088;-8.50785738716
5.79000840431368 -7.797183274694362;-8.513103722826
5.790993002630371 -7.799252245481057;-8.518355211794
5.791976965186267 -7.801322767438251;-8.52361187561
5.792960296005935 -7.803394842501746;-8.52887373584
5.793942999112788 -7.805468472612159;-8.534140814070
5.794925078529156 -7.807543659714991;-8.539413131900
5.795906538276212 -7.809620405760505;-8.54469071095
5.796887382373994 -7.81169871270383;-8.549973572889
5.797867614841509 -7.813778582504945;-8.555261739365
5.798847239696647 -7.815860017128713;-8.560555232074
5.799826260956193 -7.817943018544884;-8.565854072730
5.800804682636064 -7.820027588728092;-8.571158283069
5.801782508751041 -7.822113729657872;-8.576467884846
5.8027597433148355 -7.824201443318717;-8.581782899845
5.803736390340292 -7.826290731700059;-8.587103349868
5.80471245383926 -7.8283815967962305;-8.592429256743
5.805687937822521 -7.830474040606628;-8.597760642322
5.806662846300005 -7.832568065135604;-8.60309752848
5.807637183280649 -7.834663672392448;-8.608439937118
5.808610952772659 -7.836760864391568;-8.613787890160
5.809584158783283 -7.838859643152201;-8.619141409555
5.810556805318862 -7.840960010698897;-8.62450051727
5.811528896384852 -7.843061969061107;-8.629865235332
5.812500435986065 -7.845165520273312;-8.63523558574
5.813471428126357 -7.847270666375195;-8.640611590556
