Point;Valeur
5.825803738093933 -2.876037170515562;-3.3059768917238
5.8161379962986075 -2.886348273465093;-3.3080139175225
5.806816465981006 -2.8969686352955435;-3.3101444372906
5.797848735951482 -2.9078965053967383;-3.312383146851
5.789243994065158 -2.919130226219465;-3.314745212571
5.781010992979125 -2.9306682329097407;-3.317246152254
5.7731580182504505 -2.9425090529735463;-3.319901714794
5.765692858848721 -2.954651305970741;-3.322727759910
5.758622780139095 -2.9670937032370284;-3.32574013929
5.75195449937534 -2.979835047632918;-3.328954580394
5.745694163726324 -2.992874233318871;-3.332386574089
5.7398473308446025 -3.0062102455556814;-3.3360512672491
5.734418951972252 -3.019842160529435;-3.339963361290
5.72941335756684 -3.03376914520038;-3.3441370175757
5.7248342454194825 -3.047990457175111;-3.3485857704578
5.720684671227508 -3.06250544460159;-3.3533224486542
5.716967041576434 -3.0773135460866023;-3.3583591055105
5.713683109279069 -3.0924142906352587;-3.363706958603
5.710833971014483 -3.1078072976123106;-3.369376339024
5.708420067205317 -3.1234922767249644;-3.375376650562
5.706441184068954 -3.1394690280270474;-3.381716338934
5.704896457775946 -3.1557374419445305;-3.3884028710633
5.703784380647871 -3.172297499322167;-3.3954427243641
5.7031028093259994 -3.189149271491355;-3.4028413858781
5.702848974842119 -3.2062929203593318;-3.410603361026
5.703019494522912 -3.2237286985196922;-3.418732191685
5.703610385659565 -3.241456949384517;-3.4272304832094
5.704617080874642 -3.259478107338297;-3.4360999399750
5.706034445118286 -3.2777926979140077;-3.4453414089547
5.7078567942260685 -3.296401337991728;-3.454954930783
5.710077914970174 -3.315304736020233;-3.4649397977338
5.712691086535138 -3.334503692262128;-3.4752946179701
5.715689103347926 -3.3539990990631794;-3.486017385424
5.719064299190672 -3.373791941146593;-3.4971055545935
5.722808572522331 -3.3938832959329908;-3.508556119546
5.726913412932756 -3.414274333887196;-3.520365696391
5.731369928649975 -3.4349663188927777;-3.5325306084479
5.736168875017896 -3.4559606086555004;-3.5450469733745
5.741300683858171 -3.4772586551372093;-3.5579107914615
5.746755493626271 -3.4988620050214267;-3.5711180343467
5.752523180267596 -3.520772300212419;-3.5846647333960
5.75859338867609 -3.5429912783693336;-3.59854706702
5.7649555646535795 -3.5655207734775822;-3.6127614462345
5.771598987265092 -3.5883627164593905;-3.6273045977714
5.778512801482049 -3.611519135825862;-3.6421736441629
5.785686051002932 -3.634992158373059;-3.657366180181
5.793107711138868 -3.658784009924772;-3.6728803451507
5.800766721650627 -3.6828970161247225;-3.688714890664
5.808652019422998 -3.707333603281376;-3.704869243343
5.8167525708630565 -3.732096299268598;-3.7213435623151
5.8250574039104235 -3.7571877344856435;-3.738138791199
5.833555639549764 -3.782610642880102;-3.7552567044486
5.842236522719469 -3.8083678630378643;-3.7726999479831
5.851089452514858 -3.834462339344056;-3.790472074134
5.860104011589558 -3.860897123219507;-3.8085775710004
5.869269994665127 -3.887675374437217;-3.8270218863892
5.8785774360663146 -3.9148003625237444;-3.845811446595
5.888016636207274 -3.9422754682506165;-3.86495367033
5.897578186963043 -3.9701041852210293;-3.8844569782316
5.907252995869854 -3.998290121557529;-3.904330798238
5.917032309107895 -4.0268370016965545;-3.924585567583
5.9269077332305935 -4.055748668295897;-3.9452327316603
5.936871255615011 -4.085029084261656;-3.966284740494
5.946915263619087 -4.1146823349012145;-3.987755043342
5.957032562442114 -4.1447126302094714;-4.009658082035
5.967216391695955 -4.175124307295629;-4.032009283679
5.977460440705217 -4.205921832958146;-4.054825053330
5.987758862565037 -4.237109806416115;-4.078122767248
5.9981062869955455 -4.268692962205315;-4.101920767343
6.008497832041576 -4.300676173247904;-4.126238357397
6.0189291146757675 -4.333064454104954;-4.151095801638
6.0293962603719 -4.365862964421625;-4.176514326214
6.039895911723496 -4.399077012575182;-4.202516124109
6.05042523619066 -4.432712059536644;-4.229124363996
6.060981933064904 -4.466773722957326;-4.256363203540
6.071564239748656 -4.501267781492333;-4.28425780759
6.082170937451484 -4.536200179373573;-4.312834371781
6.092801356411425 -4.571577031245514;-4.3421201518468
6.1034553807538625 -4.607404627278056;-4.372143499294
6.114133453105567 -4.643689438571171;-4.402933903666
6.124836579085465 -4.680438122867434;-4.434522041945
6.135566331797358 -4.717657530589174;-4.466939835516
6.146324856453965 -4.755354711218296;-4.500220515148
6.157114875264473 -4.793536920037932;-4.534398694502
6.167939692721874 -4.832211625256145;-4.569510452688
6.178803201429311 -4.871386515533833;-4.6055934264491
6.189709888608544 -4.911069507939881;-4.642686912617
6.200664843437369 -4.951268756358773;-4.68083198154
6.211673765366971 -4.9919926603772975;-4.720071602296
6.2227429735747295 -5.033249874679412;-4.760450780497
6.233879417713179 -5.0750493189798656;-4.802016709841
6.2450906901215015 -5.1174001885301985;-4.844818938382
6.256385039672463 -5.160311965232977;-4.888909550902
6.267771387434899 -5.203794429402745;-4.9343433688023
6.279259344340381 -5.2478576722157255;-4.981178169172
6.290859231051618 -5.2925121088935265;-5.029474924904
6.302582100241184 -5.337768492669479;-5.079298067975
6.314439761500501 -5.383637929590939;-5.130715778316
6.326444809111925 -5.430131894214771;-5.183800300987
6.338610652931962 -5.477262246258585;-5.2386282947874
6.350951552648953 -5.52504124827554;-5.29528121579
6.363482655696658 -5.573481584426317;-5.353845739889
6.376220039124003 -5.622596380429012;-5.414414228703
6.389180755742255 -5.672399224774497;-5.477085244320
6.402382884893555 -5.722904191302926;-5.5419641184273
6.415845588208252 -5.774125863246163;-5.6091635826942
6.42958917074428 -5.826079358850589;-5.67880446790
6.443635147928146 -5.878780358706018;-5.751016480499
6.458006318744835 -5.932245134918044;-5.825939066222
6.472726845651637 -5.986490582275413;-5.903722372162
6.487822341718534 -6.041534251578529;-5.984528319670
6.503319965524943 -6.097394385312326;-6.068531802637
6.519248524366449 -6.154089955865294;-6.155922027384
6.535638586346195 -6.211640706517612;-6.246904012700
6.552522601940555 -6.270067195444856;-6.341700270961
6.56993503563557 -6.329390843009815;-6.440552694049
6.587912508225866 -6.389633982644734;-6.543724670782
6.606493950347388 -6.450819915659243;-6.651503465948
6.6257207677740215 -6.51297297034694;-6.76420289463
6.645637018939301 -6.576118565805162;-6.8821663294155
6.666289605039528 -6.640283280929837;-7.005770082132
6.687728472923639 -6.705494929101244;-7.135427205990
6.710006830765623 -6.771782639136564;-7.271591767988
6.733181376230849 -6.839176943153154;-7.414763645304
6.757312536470488 -6.907709872063812;-7.565493902359
6.7824647187847855 -6.9774150595131;-7.724390807142
6.808706570160176 -7.04832785516246;-7.892126545260
6.836111243076428 -7.120485448344112;-8.069444687270
6.864756663960413 -7.1939270032316855;-8.257168457712
6.894725799397028 -7.268693806818979;-8.456209841472
6.926106913649251 -7.344829431162837;-8.66757954240
6.958993809149581 -7.4223799115312294;-8.892397778215
6.993486039362929 -7.501393942308128;-9.131905851215
7.029689080762115 -7.581923092745204;-9.387478373906
7.0677144475929685 -7.664022044919279;-9.660635947160
7.107679729666359 -7.74774885655908;-9.953057984990
7.149708529686369 -7.83316525174863;-10.26659525093
7.193930272775796 -7.920336942901668;-10.603281518105
7.2404798571831614 -8.009333987837493;-10.965343593219
7.289497112103329 -8.100231186278432;-11.355208767650
7.341126026782794 -8.193108520641331;-11.775508599519
7.395513715536315 -8.288051646613836;-12.229077831019
7.452809087201517 -8.385152439707207;-12.718947264975
7.513161196433763 -8.484509604767641;-13.248329650062
7.576717269882644 -8.586229356333126;-13.820598165735
7.643620424609606 -8.69042617876519;-14.43925808600
7.714007130851065 -8.797223676308947;-15.107913768416
7.788004517581466 -8.906755524695061;-15.830235364754
7.865727677253425 -9.019166537681684;-16.60993260991
7.947277193628351 -9.134613864161262;-17.450746601649
8.032737189131792 -9.253268334296477;-18.35647432459
8.122174257861534 -9.375315976829084;-19.331044251137
8.215637706298121 -9.500959734535567;-20.378663924053
8.313161552784603 -9.630421411183603;-21.504061187656
8.414768725660686 -9.763943891788578;-22.712839080401
8.52047783814452 -9.901793689133669;-24.011960277272
8.63031280148283 -10.044263884220419;-25.41037118940
8.744315371290114 -10.191677547597317;-26.919770214822
8.862560519477084 -10.3443917537039;-28.555521802545
8.985174306621019 -10.502802333232394;-30.337720718670
9.112353718737129 -10.66734955139751;-32.29242119621
9.244387742805086 -10.838524956213725;-34.453063814961
9.38167878754542 -11.016879714979247;-36.86215701839
9.524763393387307 -11.203034855705612;-39.573295949456
9.674330990926626 -11.397693962552047;-42.653623340387
9.831239241774972 -11.601659053953448;-46.18685112757
9.996524259643326 -11.815850618856325;-50.27696897896
10.17140391042104 -12.041333129854067;-55.052785947167
10.35727279469499 -12.27934783745367;-60.67354302986
10.555689127457295 -12.531355349763816;-67.33613710557
10.768357639851367 -12.799091537767383;-75.28528607092
10.997120118906368 -13.084641889844958;-84.82969560809
11.243977008010164 -13.390541955222272;-96.3705639182
11.511178375188162 -13.719915683753001;-110.45420075301
11.801435750161824 -14.076670660035106;-127.86873494136
12.118309572246993 -14.465782108167133;-149.81715058978
12.46681221964744 -14.893721443099295;-178.21981072800
12.854233967473837 -15.369131259192697;-216.24253565849
13.291173335282563 -15.903942109810238;-269.247253002
13.792838090481405 -16.515328826233908;-346.63926355486
14.381236428975342 -17.22938427554363;-466.01337294912
15.090800137736977 -18.088681723880995;-664.569302175
15.984624397943831 -19.170037662313373;-1037.6794456496
17.199326973829145 -20.635474636440193;-1902.3187704074
19.10743215718608 -22.933799480615363;-4922.950299189
23.56777775778624 -28.29580312159221;-45334.04346510
111.14701688759703 -133.47019640147488;-3.771774670089542e
4.134658175325584e+38 -4.965077835308566e+38;-
nan nan;
PointOptimal;ValeurOptimale
[nan nan];nan
Temps;Nb iteration
0.01718616485595703;188
