Point;Valeur
6.068677485757615 -6.348475161310265;-6.230778624571
6.213035046625842 -6.4928328011644165;-6.496987775622
6.358879722847437 -6.641652722013447;-6.7923679271
6.524173205531186 -6.796709475332188;-7.1490155340867
6.727553417906589 -6.959560381838871;-7.625345335544
6.986522998333105 -7.132090547620322;-8.33511561377
7.315385954314103 -7.3167952504444065;-9.468233387355
7.721196366998589 -7.517009753949145;-11.228893723845
8.193612144806298 -7.737081455379446;-13.605783991241
8.690680076071546 -7.982248766914445;-16.23592685371
9.162509971302647 -8.257795274497278;-18.907574764657
9.630065951282143 -8.56839389668969;-22.066344574988
10.181806950243379 -8.92059226117314;-26.85613573103
10.913572538954728 -9.327106599544432;-35.425227678728
11.850750735727546 -9.810643035312056;-49.7546401556
12.92656383126417 -10.404578053956852;-72.05108473013
14.269327031288064 -11.15041577766605;-117.3864376516
16.082797895505397 -12.117625242148385;-223.23776012749
18.486576808956215 -13.42212181957521;-529.8031833131
21.826809537996276 -15.227523977621884;-1757.212715886
26.522281607776982 -17.76763630047299;-9524.276401645
33.136027240353485 -21.349351813395497;-103485.89289911
42.421314151397965 -26.380407105121236;-2961315.2776642
55.419195283908806 -33.42393712221641;-325361112.8684
73.59275257343259 -43.272338056048;-233108631196.18
98.99721882399447 -57.03924421441488;-229178085957426
134.50900743342302 -76.28339867840674;-8.758193661539109e
184.14935658839352 -103.18394591317751;-5.578054681174773e
253.53939169658133 -140.78702382914736;-4.530397130963841e
350.5366339455472 -193.35069312597528;-8.068245525240851e
486.12476254694616 -266.82710737378034;-1.680210045487846e
675.6573739014254 -369.5365171797821;-1.0615751617903846e+
940.5965771885591 -513.1094306199932;-4.820306858182305e+
1310.9432997752115 -713.8036173809206;-8.20099237933606e+
1310.9432997752115 -713.8036173809206;-8.20099237933606e+
PointOptimal;ValeurOptimale
[1310.94329978 -713.80361738];-8.20099237933606e+205
Temps;Nb iteration
0.0027608871459960938;34
