Point;Valeur
6.348773972586937 -5.606818029260565;-5.387406550433
6.339183573286316 -5.617866947678746;-5.397165558995
6.329994421047745 -5.62995659123626;-5.4083107709
6.321199032401149 -5.643079296915716;-5.420832411033
6.312790736391386 -5.657227925125639;-5.434724221670
6.304763621021769 -5.672395853706288;-5.449983296130
6.297112483527427 -5.688576972752632;-5.466609936323
6.289832784238783 -5.7057656802338945;-5.484607533301
6.282920603819289 -5.723956878392429;-5.503982468336
6.2763726036840115 -5.743145970907968;-5.524744032939
6.2701859894265555 -5.763328860816564;-5.546904366393
6.2643584771008465 -5.784501949176111;-5.570478409651
6.258888262222062 -5.806662134474133;-5.595483874654
6.253773991367766 -5.829806812775394;-5.62194122831
6.249014736275383 -5.853933878610107;-5.649873690614
6.24460997034642 -5.879041726606797;-5.679307246397
6.240559547480909 -5.90512925387613;-5.710270670638
6.236863683178635 -5.932195863154804;-5.742795567057
6.233522937854777 -5.960241466721945;-5.7769164201398
6.2305382023286935 -5.9892664911032485;-5.812670660721
6.227910685455496 -6.019271882580633;-5.8500987454459
6.225641903879659 -6.050259113529343;-5.889244250513
6.223733673900052 -6.082230189606561;-5.930153980297
6.222188105444975 -6.115187657820007;-5.97287809150
6.221007598165458 -6.149134615507861;-6.017470233736
6.220194839663958 -6.184074720265655;-6.063987707363
6.219752805885415 -6.220012200859619;-6.112491639947
6.219684763706828 -6.25695186917039;-6.16304718239
6.219994275771458 -6.294899133215414;-6.21572372638
6.2206852076239505 -6.333860011303695;-6.270595144700
6.221761737212989 -6.373841147381508;-6.327740056376
6.2232283668396695 -6.414849827633669;-6.387242118733
6.225089937641713 -6.456893998411407;-6.449190348735
6.227351646716037 -6.499982285564176;-6.513679476300
6.230019066996421 -6.544124015260762;-6.580810332598
6.233098170017706 -6.589329236392438;-6.650690276708
6.236595351714333 -6.635608744660423;-6.72343366443
6.240517461418501 -6.682974108459092;-6.79916236354
6.244871834243261 -6.731437696676861;-6.8780063203347
6.249666327056059 -6.781012708549182;-6.960104182789
6.25490935827298 -6.831713205709662;-7.045603986681
6.26060995172849 -6.883554146600486;-7.1346639114040
6.266777784904919 -6.936551423418217;-7.227453113479
6.273423241836696 -6.990721901789116;-7.324152646638
6.280557471038717 -7.046083463386531;-7.424956478622
6.288192448847169 -7.102655051724368;-7.530072616211
6.296341048602458 -7.160456721384877;-7.639724351656
6.3050171161507516 -7.219509690964611;-7.754151645463
6.314235552191417 -7.279836400052119;-7.873612662696
6.324012402054319 -7.341460570584152;-7.9983854824
6.334364953551996 -7.404407272963392;-8.128770002673
6.345311843620646 -7.468702997362282;-8.265090067087
6.356873174536204 -7.534375730684387;-8.407695842390
6.3690706405740585 -7.601455039705965;-8.55696648147
6.381927666067127 -7.669972160980443;-8.713313111195
6.395469555912723 -7.739960098154269;-8.877182190626
6.409723659678784 -7.811453727418178;-9.049059292418
6.424719550568568 -7.884489911903812;-9.229473368377
6.440489220615937 -7.9591076259322175;-9.419001570019
6.457067293601415 -8.035348090131755;-9.618274706273
6.474491257299585 -8.113254918569071;-9.82798343375
6.492801716786988 -8.192874279181265;-10.04888529051
6.5120426706548615 -8.274255068962859;-10.2818127023
6.532261812073078 -8.357449105551877;-10.527682111530
6.553510856737206 -8.442511337077304;-10.78750440267
6.575845899781625 -8.529500072383728;-11.062396828476
6.599327803750699 -8.618477234041052;-11.35359667108
6.624022619662111 -8.709508636886241;-11.662476912354
6.650002043048245 -8.802664295237495;-11.9905642296
6.677343906590199 -8.89801876238175;-12.339559682373
6.706132710521251 -8.995651506471905;-12.711362510426
6.736460191321864 -9.09564732759876;-13.108097525410
6.768425928288348 -9.198096821541677;-13.532146644512
6.8021379862529985 -9.303096896571335;-13.986185187519
6.8377135909717515 -9.410751350704297;-14.473223633855
6.875279831358322 -9.52117151802615;-14.996655613044
6.914974379715911 -9.634476994143364;-15.560312976614
6.956946217261818 -9.750796452545899;-16.168528867720
7.00135634743751 -9.870268565717506;-16.826209762211
7.048378473654956 -9.993043047293925;-17.53891749804
7.098199611230915 -10.119281834532046;-18.312962338931
7.151020595415261 -10.249160433926063;-19.1555081416
7.207056438980478 -10.382869457130015;-20.074690740189
7.266536484501565 -10.520616379607283;-21.07975078229
7.32970428949066 -10.662627560837404;-22.181182560802
7.396817178999292 -10.809150572780425;-23.390901075171
7.468145403283724 -10.960456892986942;-24.722430949557
7.543970852157211 -11.116845030762477;-26.191123432087
7.6245853088237014 -11.278644169787631;-27.81441223787
7.710288282106413 -11.446218429466839;-29.612126497398
7.801384546140162 -11.61997187122486;-31.60689084066
7.8981816502258715 -11.800354406682766;-33.824660224641
8.0009878463283 -11.987868804484846;-36.29546210198
