Point;Valeur
7.111830218572045 -6.627370041720287;-7.621854996179
30.16182730062545 -29.67736636696629;-260144.65904012
53.21182728782048 -52.72736635646301;-8345142445.119
76.26182727665515 -75.77736634545424;-267734090647560
99.31182726553959 -98.82736633440015;-8.589915077604109e
122.36182725443899 -121.87736632333242;-2.7560093948653943e
145.4118272433449 -144.92736631225878;-8.842518705778898e
168.46182723225422 -167.97736630118206;-2.837091381058917e
191.51182722116556 -191.02736629010352;-9.102736398321554e
214.56182721007815 -214.0773662790238;-2.9205960412865686e
237.61182719899162 -237.12736626794333;-9.370691586657855e
260.6618271879057 -260.1773662568623;-3.0065764859158986e
283.71182717682024 -283.22736624578084;-9.646576585603483e
306.7618271657351 -306.27736623469906;-3.0950982943768733e
329.81182715465025 -329.32736622361705;-9.930609124878136e
352.8618271435656 -352.37736621253487;-3.1862327804406283e
375.91182713248116 -375.4273662014525;-1.0223021032054421e
398.9618271213968 -398.47736619037005;-3.280054973737852e
422.0118271103126 -421.52736617928747;-1.052405447166421e
445.0618270992285 -444.57736616820483;-3.376642897370194e
468.1118270881444 -467.6273661571221;-1.0833960532899508e
491.1618270770604 -490.6773661460393;-3.476077290905316e
514.2118270659765 -513.7273661349565;-1.1152998695204205e+
537.2618270548927 -536.7773661238735;-3.578441512317797e+
560.3118270438089 -559.8273661127906;-1.1481436669635658e+
583.361827032725 -582.8773661017077;-3.6838215209896665e+
606.4118270216413 -605.9273660906247;-1.1819550419486052e+
629.4618270105576 -628.9773660795416;-3.792305901292501e+
652.5118269994739 -652.0273660684586;-1.216762427486618e+
675.5618269883902 -675.0773660573756;-3.9039859084149366e+
698.6118269773066 -698.1273660462925;-1.2525951101123866e+
721.661826966223 -721.1773660352094;-4.018955527503747e+
744.7118269551394 -744.2273660241262;-1.2894832500927093e+
767.7618269440558 -767.2773660130431;-4.137311541512508e+
790.8118269329722 -790.32736600196;-1.3274579039372938e+
813.8618269218886 -813.3773659908768;-4.2591536052708393e+
813.8618269218886 -813.3773659908768;-4.2591536052708393e+
PointOptimal;ValeurOptimale
[ 813.86182692 -813.37736599];-4.2591536052708393e+158
Temps;Nb iteration
0.002365589141845703;36
