Point;Valeur
8.703253270881781 7.267702688960757;-14.084378033306
8.706445823311029 7.270475116451646;-14.102259034465
8.709636496074253 7.273251301165228;-14.12014892668
8.71282530435293 7.276031250229632;-14.138047882117
8.716012263573383 7.27881497079974;-14.155956074643
8.719197389406137 7.281602470057859;-14.173873679820
8.722380697764454 7.284393755213866;-14.191800874899
8.72556220480325 7.287188833505315;-14.209737838813
8.728741926918087 7.289987712197718;-14.227684752168
8.73191988074387 7.292790398584831;-14.245641797242
8.735096083153966 7.295596899988922;-14.263609157975
8.73827055125929 7.298407223761124;-14.281587019964
8.741443302406697 7.301221377281276;-14.299575570458
8.744614354178637 7.304039367958989;-14.317574998353
8.747783724391418 7.30686120323297;-14.335585494186
8.750951431094744 7.309686890571857;-14.353607250130
8.754117492570455 7.3125164374744;-14.371640459989
8.757281927331473 7.315349851469545;-14.389685319196
8.760444754120886 7.318187140116809;-14.407742024802
8.763605991911039 7.321028311006547;-14.425810775481
8.766765659902465 7.3238733717602535;-14.443891771518
8.769923777523019 7.326722330030741;-14.461985214810
8.77308036442697 7.329575193502421;-14.480091308862
8.776235440494098 7.332431969891665;-14.498210258780
8.779389025828532 7.335292666946959;-14.51634227127
8.782541140758298 7.33815729244926;-14.534487554644
8.785691805834173 7.341025854212248;-14.552646318798
8.788841041828661 7.343898360082463;-14.57081877522
8.791988869735672 7.346774817939771;-14.58900513701
8.795135310769382 7.349655235697718;-14.607205618829
8.798280386363171 7.352539621303457;-14.625420436936
8.801424118169372 7.355427982738124;-14.64364980917
8.804566528058153 7.3583203280176015;-14.661893954978
8.807707638116646 7.361216665192;-14.68015309535
8.810847470648575 7.3641170023466564;-14.698427452892
8.813986048173561 7.367021347602133;-14.716717251771
8.817123393425668 7.369929709114199;-14.735022717745
8.820259529353613 7.37284209507472;-14.753344078150
8.82339447911983 7.37575851371146;-14.7716815619
8.826528266099363 7.378678973288743;-14.7900353995
8.829660913879795 7.381603482107447;-14.808405823039
8.832792446260296 7.384532048505136;-14.826793066164
8.835922887251293 7.3874646808571;-14.845197364132
8.839052261073519 7.39040138757597;-14.863618953776
8.842180592157778 7.393342177112107;-14.882058073518
8.845307905144058 7.396287057954133;-14.900514963367
8.8484342248816 7.399236038629237;-14.918989864925
8.851559576427821 7.402189127703153;-14.9374830213
8.85468398504786 7.405146333780856;-14.955994677548
8.857807476214408 7.408107665506613;-14.974525079794
8.860930075607065 7.411073131564322;-14.993074476120
8.864051809111864 7.41404274067769;-15.011643116123
8.86717270282114 7.4170165016112435;-15.030231251013
8.870292783032756 7.419994423169726;-15.048839133612
8.873412076249885 7.422976514198844;-15.067467018356
8.87653060918078 7.425962783585604;-15.086115161309
8.879648408738312 7.428953240258686;-15.104783820159
8.882765502039636 7.431947893188443;-15.12347325422
8.885881916406007 7.434946751387649;-15.142183724466
8.888997679362216 7.437949823911513;-15.160915493479
8.892112818636928 7.440957119858268;-15.179668825516
8.895227362161844 7.443968648369012;-15.19844398647
8.89834133807188 7.4469844186288405;-15.217241243934
8.901454774704565 7.450004439866213;-15.236060867111
8.904567700600357 7.453028721354155;-15.254903126920
8.907680144502041 7.45605727241005;-15.273768295949
8.910792135355141 7.459090102396363;-15.292656648478
8.913903702307326 7.462127220720557;-15.311568460483
8.917014874708347 7.465168636835674;-15.330504009645
8.920125682110474 7.468214360240836;-15.349463575361
8.923236154267915 7.471264400481527;-15.368447438751
8.926346321136762 7.474318767149452;-15.387455882664
8.92945621287561 7.477377469883603;-15.406489191691
8.932565859845027 7.480440518370205;-15.425547652173
8.935675292607552 7.483507922343197;-15.444631552213
8.938784541928317 7.486579691584549;-15.463741181684
8.941893638774534 7.489655835924584;-15.482876832238
8.945002614316007 7.492736365242493;-15.502038797321
8.948111499924885 7.49582128946653;-15.52122737218
8.951220327176443 7.498910618574598;-15.540442853878
8.954329127848482 7.502004362594427;-15.559685541304
8.957437933922279 7.5051025316040345;-15.578955735184
8.960546777582099 7.508205135732066;-15.598253738094
8.963655691215848 7.511312185158005;-15.617579854473
8.966764707415606 7.514423690113222;-15.636934390638
8.96987385897722 7.517539660880445;-15.65631765479
8.972983178901188 7.520660107794747;-15.675729957044
8.976092700392755 7.52378504124389;-15.69517160941
8.979202456862367 7.526914471668412;-15.71464292586
8.982312481925963 7.530048409562408;-15.734144222289
8.985422809405659 7.53318686547383;-15.753675816552
8.988533473329472 7.536329850004368;-15.773238028490
8.991644507932808 7.539477373810758;-15.792831179931
8.994755947658142 7.542629447604753;-15.812455594711
8.99786782715573 7.5457860821531355;-15.832111598689
9.000980181284337 7.548947288278963;-15.85179951976
9.004093045111361 7.552113076861019;-15.871519687894
9.00720645391404 7.555283458835355;-15.891272435108
9.010320443179385 7.55845844519483;-15.911058095530
9.013435048605363 7.561638046989913;-15.93087700539
9.016550306101134 7.564822275328943;-15.950729503061
9.019666251787815 7.568011141378491;-15.970615929040
9.022782921999397 7.571204656364191;-15.990536626007
9.025900353283447 7.574402831571344;-16.01049193882
9.029018582401207 7.577605678344245;-16.030482214559
9.03213764632941 7.580813208087886;-16.050507802504
9.035257582260279 7.584025432267584;-16.07056905420
9.038378427602574 7.587242362410013;-16.090666323453
9.041500219982623 7.590464010103236;-16.110799966361
9.044622997244964 7.593690386997348;-16.13097034133
9.047746797453158 7.596921504805007;-16.151177809102
9.050871658890962 7.600157375301645;-16.17142273277
9.053997620063328 7.603398010326327;-16.191705477810
9.057124719697072 7.606643421782099;-16.212026412096
9.060252996742015 7.609893621636029;-16.23238590593
9.063382490372085 7.613148621920448;-16.25278433206
9.066513239986165 7.616408434732914;-16.273222065717
9.06964528520934 7.6196730722368535;-16.293699484618
9.072778665894035 7.622942546662021;-16.314216969016
9.075913422120934 7.626216870305317;-16.334774901708
9.079049594200193 7.6294960555305416;-16.355373668070
9.08218722267268 7.632780114769705;-16.376013656080
9.085326348311256 7.636069060523244;-16.396695256350
9.088467012122088 7.639362905360517;-16.41741886214
9.091609255345325 7.642661661920339;-16.43818486942
9.094753119456982 7.645965342911406;-16.45899367684
