Point;Valeur
-0.9888526224689542 -1.2668288072577703;0.07019867695157
-1.1551973348016764 -1.1004821709532016;0.051629337615567
-1.0111726025823724 -1.077727763159903;0.044742444729857
-0.9913251436302394 -0.9885232471234147;0.03919995915970
-0.9008174160879681 -0.9406922125971063;0.034309076974559
-0.8617883787783115 -0.8711922253344901;0.030054325824824
-0.7939805924560557 -0.8220076956964343;0.026310561103471
-0.7517762565928264 -0.7645346680606796;0.023032682468031
-0.6970005342117802 -0.7185628772725096;0.02015443137889
-0.6565505059032726 -0.6697087758510326;0.01763292184139
-0.610663257395547 -0.6281212191466651;0.015422064900345
-0.573574868882156 -0.5860443863096996;0.013486040386336
-0.5344201830536147 -0.5489721167283268;0.011790328445686
-0.5011006859414237 -0.5124960475953694;0.010306246949170
-0.4673648844131007 -0.47970159570503057;0.009007397789008
-0.4377502258804753 -0.4479755690922669;0.007871241249750
-0.40852816609633247 -0.419093472602817;0.006877482193824
-0.38236794332575064 -0.39145100569012337;0.0060085831640
-0.3569791886563638 -0.3660842599742607;0.005248933088382
-0.3339576925261058 -0.34197775493605626;0.004584967641623
-0.31186062605741866 -0.31973853939200136;0.00400469043759
-0.29165077564284425 -0.2987057185802551;0.0034976509576764
-0.2723985795947332 -0.27923241157759054;0.0030546428191100
-0.2546862034176915 -0.26087705011316115;0.002667636329614
-0.23790211542157208 -0.2438404907319377;0.0023295754611674
-0.22239637732457038 -0.2278200822944076;0.002034302749018
-0.20775845509203725 -0.21292477394025602;0.0017764165045007
-0.19419556222041823 -0.19894183942854846;0.0015512019525871
-0.18142646862154055 -0.1859247612527016;0.0013545279200500
-0.16957006957424467 -0.1737202461893739;0.001182788400455
-0.15842970135966933 -0.1623485807565141;0.0010328264667058
-0.14806967417127004 -0.15169656521733818;0.0009018865674368
-0.13834952299175302 -0.14176500549998908;0.0007875578709125
-0.12930002811255362 -0.13246831475820145;0.0006877361633602
-0.12081867646407456 -0.1237962914255537;0.0006005813728711
-0.112915934127709 -0.11568277340911413;0.0005244875407773
-0.10551534725981483 -0.10811177619435662;0.0004580508395560
-0.09861538120262826 -0.10103110237378612;0.0004000461112384
-0.09215779117025984 -0.09442217993596562;0.0003494027203005
-0.08613426366257632 -0.08824307443461354;0.00030518633113668
-0.08049951523295193 -0.08247454845431677;0.0002665806434037
-0.07524171411702281 -0.07708237717860636;0.000232873298016
-0.07032498395645126 -0.07204777976052859;0.00020344204482974
-0.06573598669961557 -0.0673424474460868;0.00017774387537920
-0.06144581204266318 -0.06294867647094904;0.00015530453809808
-0.05744083203063361 -0.05884278983716864;0.00013571017856976
-0.0536974005018755 -0.05500846941701481;0.0001185993869732
-0.05020231004091369 -0.05142573170814031;0.00010365677884143
-0.046935972491562485 -0.04807976139580172;9.060696012590935e
-0.043885991431111465 -0.04495356881356032;7.920960501154554e
-0.04103596674018894 -0.04203384400701076;6.925487433566576e
-0.038374503086400454 -0.03930605862394323;6.055964560622686e
-0.0358877490656804 -0.03675834470132936;5.296403358625451e
-0.0335653771559579 -0.03437822177782965;4.632850545558038e
-0.031395605672981795 -0.032155165312083005;4.053123763929963e
-0.029369167672862448 -0.03007841574452657;3.546590994846417e
-0.027475985265901604 -0.028138677327280075;3.1039697145588015e
-0.025707802481391914 -0.026326648359682445;2.717158329859111e
-0.024055960325119686 -0.0246341429033169;2.3790835297390813e
-0.022513141827040558 -0.023053102322271497;2.0835715392849695e
-0.02107188106726026 -0.021576334081225085;1.825232076433953e
-0.019725718237884944 -0.020196844937683714;1.5993600596888528e
-0.018468198545421703 -0.018908325824401315;1.4018473745105266e
-0.01729363528652622 -0.01770470032506313;1.22910785722913e
-0.01619643605028669 -0.016580441351984457;1.0780101940368122e
-0.015171605481131901 -0.015530263967774433;9.458206854087072e
-0.01421429041548043 -0.014549330805294667;8.301522073023959e
-0.013320109909774903 -0.013633041878931254;7.289205517780356e
-0.012484847026468225 -0.012777166572687645;6.403055990114861e
-0.01170466437499118 -0.0119776987920503;5.6271801999811496e
-0.010975894292110345 -0.011230940631352363;4.947697331969409e
