Point;Valeur
-1.070997259641091 3.0571340438669807;4.299814408007
-0.7561957728935234 2.742332554299882;3.0993725071882
-0.46883355146119715 2.453813097042551;2.174867295966
-0.2180976368299568 2.200256665493488;1.5013989270407
-0.005327713363885184 1.9828811109644713;1.0273507566879
0.17189254264805437 1.7993652128047877;0.7010253944111
0.3175819043175224 1.6458891951994694;0.47965225233891
0.4361936304026086 1.5182324771203382;0.3308998305492
0.5320183325415445 1.4123320775002903;0.23154305756112
0.6089152634855859 1.3245331248256897;0.16540945756988
0.6702236162726936 1.2516713383508913;0.12145716554355
0.7187657609305019 1.1910698373871145;0.09224250528539
0.7568925484128735 1.1404967198695504;0.07278890044367
0.7865438499350307 1.0981083638212792;0.05978725124645
0.8093107526210356 1.0623910950330777;0.05104509299396
0.8264931419032316 1.0321070831662924;0.04511322117671
0.8391502677893683 1.0062467372331527;0.04103520858660
0.8481438366398677 0.9839880587024709;0.03818048598625
0.8541740752127724 0.9646625604623869;0.03613359341592
0.8578095750103429 0.9477270151970232;0.03462091029820
0.8595118134690113 0.9327402070458851;0.033462272456859
0.8596552090208521 0.9193438916587606;0.03253906271095
0.8585434747830591 0.9072472518671693;0.03177318337880
0.8564229283521088 0.8962142337099218;0.031113207213928
0.853493310766774 0.8860532435020031;0.030525259449614
0.8499165737020123 0.876608773632293;0.02998701613415
0.8458240127676895 0.8677546003500642;0.029483754301272
0.8413220562919858 0.8593882608338047;0.029005752764417
0.8364969620322966 0.8514265702705222;0.028546581809552
0.8314186273421771 0.8438019838393034;0.028101977840806
0.8261436798952609 0.8364596447745659;0.027669102934879
0.8207179846938886 0.8293549893549159;0.02724605765924
0.8151786775494063 0.8224518038803873;0.026831560528736
0.8095558144516689 0.815720648414301;0.026424737101907
0.8038737093765991 0.8091375781032687;0.026024981213867
0.7981520193797894 0.8026831059214568;0.02563186367029
0.7924066247179856 0.7963413612726379;0.025245072167831
0.7866503427152599 0.7900994074751126;0.02486437175918
0.7808935067825126 0.7839466881336149;0.024489578835342
0.7751444360618647 0.777874578060405;0.024120544001086
0.7694098163569799 0.7718760190043669;0.023757140801729
0.7636950091084265 0.7659452241743877;0.023399258299735
0.7580043020038421 0.7600774385614144;0.02304679618417
0.752341112249425 0.7542687445268511;0.02269966154690
0.7467081514432603 0.7485159041035176;0.02235776675527
0.7411075593042389 0.7428162310785363;0.022021028046447
0.7355410121383736 0.7371674872325977;0.021689364596503
0.7300098108152718 0.731567798173138;0.02136269790211
0.7245149521230977 0.7260155850610304;0.021040951367840
