Point;Valeur
-3.0264850150993023 -8.43878871174945;8.637782842508
-3.5564850146673472 -7.90878871205699;6.0501618848650
-3.88400931386917 -7.572862023737865;4.714507587241
-4.125822742941761 -7.318741952740177;3.858463880811
-4.3167993008199765 -7.112647102725298;3.2605136837698
-4.472854676856356 -6.939124280162172;2.8229540762018
-4.602867308621371 -6.78955620418876;2.4932752164517
-4.712426439019039 -6.658532739189791;2.239819559215
-4.805351175152752 -6.5423758113485215;2.042022724289
-4.884411286230695 -6.43843761091089;1.885818525924
-4.951708431099066 -6.344728314346895;1.7612209302195
-5.008894493407524 -6.25970208981659;1.6609426003631
-5.057304505395719 -6.18212620816478;1.5795539934043
-5.0980416126893795 -6.110996899415568;1.5129450468851
-5.132033611922962 -6.045482989541075;1.4579662151277
-5.160071886176515 -5.984886806923906;1.412180956081
-5.1828390421503405 -5.928616236577439;1.3736902900435
-5.200929073224877 -5.876164205587606;1.3410055760693
-5.214862448211107 -5.827093263018334;1.3129545019374
-5.22509767456877 -5.781023740232965;1.2886105335947
-5.2320403598794485 -5.737624484817226;1.267239294897
-5.236050461881217 -5.696605482874752;1.248257391904
-5.237448200813059 -5.6577118937185515;1.231200527748
-5.236518964391189 -5.620719160057817;1.2156986444974
-5.233517438921464 -5.5854289509446255;1.2014564379415
-5.228671134276402 -5.5516657597460295;1.1882380175067
-5.222183424736907 -5.519274024971489;1.175854787625
-5.214236196006815 -5.4881156740655745;1.1641558476338
-5.204992166266758 -5.4580680136802835;1.1530203701477
-5.194596933152602 -5.429021906909839;1.1423515396695
-5.183180787205076 -5.400880190650488;1.1320717253947
-5.170860323925632 -5.373556295646862;1.1221186327091
-5.15773988049151 -5.3469730389767065;1.112442232271
-5.143912818670158 -5.321061564288781;1.103002307878
-5.129462671843797 -5.295760409299901;1.09376649728
-5.1144641716019885 -5.271014683559326;1.0847087262085
-5.0989841670143194 -5.246775342099473;1.0758079560624
-5.083082448181744 -5.222998542818789;1.0670471823152
-5.066812484180514 -5.1996450771981015;1.0584126330378
-5.050222084242536 -5.176679865401919;1.049893127480
-5.033353990335083 -5.1540715080942485;1.041479562633
-5.016246408032713 -5.131791888228194;1.0331645021221
-4.9989334821526334 -5.109815816999867;1.0249418469764
-4.98144572284159 -5.0881207188810755;1.0168065719376
-4.963810387188991 -5.066686351249438;1.0087545141935
-4.946051820960394 -5.045494554695202;1.00078220409
-4.928191764596173 -5.024529030569879;0.9928867294691
-4.910249627175644 -5.003775142709923;0.985065626893
