Point;Valeur
-5.620377961079206 6.995679102027786;39.8101384871
-4.835377961178713 6.210679102125571;30.52275869372
-4.318448537584575 5.693386497097839;25.07811473434
-3.91628292001071 5.290707842262033;21.211060162812
-3.5818499544893525 4.955663660493435;18.24115832249
-3.2935427407556026 4.666668080918317;15.860093813371
-3.039334504856459 4.411705256366153;13.89833239562
-2.811716366406135 4.183272887707624;12.251280339202
-2.605624524806709 3.976311563752673;10.849258498057
-2.417448949124246 3.7872144148189437;9.643224439274
-2.244505397842002 3.6132996202519574;8.597205883734
-2.0847309407197345 3.4525062003381723;7.6839568806860
-1.9364972690394933 3.303207486592998;6.882305449737
-1.79849050282785 3.1640910289695627;6.175452512904
-1.6696306672583294 3.034078137303998;5.54983629851
-1.549015929684911 2.9122681620604394;4.994348503305
-1.4358828879318126 2.797898812691306;4.499777745925
-1.329577603772002 2.6903172121719328;4.058404705631
-1.2295340311185492 2.588958340100778;3.663701341783
-1.1352576569186428 2.4933286841933593;3.310103277877
-1.0463128948369558 2.4029936414910393;2.9928347218721
-0.9623132315119997 2.317567669895372;2.7077718277817
-0.8829134255035653 2.2367064907377374;2.4513346620871
-0.8078032599231246 2.1601008437944262;2.2204007797693
-0.7367024868732571 2.0874714331752555;2.0122353501334
-0.6693566972436418 2.0185647978664476;1.824434115956
-0.6055339169212147 1.9531499081563066;1.6548764177766
-0.5450217789974742 1.8910153376561765;1.501686195028
-0.487625156914599 1.831966895965685;1.3631993700598
-0.4331641696082544 1.7758256331178937;1.237936385192
-0.38147248921187055 1.7224261464359858;1.1245789343784
-0.33239589663291114 1.6716151351590554;1.021950135574
-0.28579104155864166 1.6232501594395605;0.9289975456971
-0.24152437212198255 1.577198568972547;0.8447785397172
-0.19947120619567743 1.5333365732530917;0.7684476683038
-0.15951492156613253 1.4915484307329712;0.6992456810217
-0.12154624641085056 1.451725738315961;0.6364899592884
-0.08546263482001182 1.4137668059471682;0.5795661487261
-0.0511677147639061 1.3775761037053043;0.5279208168460
-0.018570798047274253 1.3430637709477224;0.4810549912231
0.012413556470960992 1.3101451787908336;0.43851845697441
0.0418659336985015 1.2787405386230082;0.3999047116241
0.06986241331754948 1.2487745505053418;0.36484649122577
0.09647488617154784 1.2201760862686977;0.3330117946072
0.12177134043253132 1.1928779029049235;0.30410034337293
0.14581612129528446 1.1668163825042384;0.2778404242474
0.16867016739618185 1.1419312955386103;0.2539860678347
0.19039122669822137 1.1181655847471839;0.23231452415109
0.2110340541976476 1.0954651672655853;0.21262400059748
0.23065059348350286 1.0737787529636167;0.19473163252580
0.24929014390647594 1.0530576772313858;0.17847166037902
0.2669995148821541 1.0332557466858932;0.16369379064687
0.2838231686533056 1.0143290964680973;0.1502617206775
