Point;Valeur
-6.0891986603843336 3.7378380567639375;24.197951626927
3.087762545308557 -5.265218664306442;17.490486923546
-4.55822729723372 2.5418067309986467;12.64328031951
2.0838636398333037 -3.9511652841867466;9.140261682749
-3.4294960540401505 1.7002785313987197;6.608548756759
1.3794783858447772 -2.98083001179587;4.77871560093
-2.594604971808813 1.111657166204278;3.4560861008588
0.8885084746808474 -2.261814342641315;2.4999931534049
-1.974775914227413 0.7029984805010003;1.8087931056751
0.5491730659471932 -1.7269351695714907;1.3090384106763
-1.5126979540782255 0.42199404611394487;0.9476546340503
0.31720009069406774 -1.3272881094683984;0.6862881381751
-1.16662633776178 0.23118863237760578;0.49722210969298
0.16091560471782973 -1.027227119901618;0.36042573992993
-0.9061109894931549 0.10381032643168697;0.2614221296293
0.05770325227057238 -0.8007298662654859;0.18974774024093
-0.7089034976578694 0.020764653097683494;0.13783925325068
-0.008547420960527297 -0.6287653491030237;0.1002292452662
-0.5587165319996041 -0.03153129307891278;0.07296499398406
-0.0492791164702695 -0.4973865695529797;0.05318850609982
-0.44359998018895985 -0.06270864506875312;0.03883303653251
-0.07259017606829893 -0.3963478109204433;0.028403779887674
-0.35476338278795433 -0.0795693931636452;0.020819382583994
-0.08418672967528124 -0.31810162085591265;0.015297403248742
-0.28572143504768643 -0.08689377754415045;0.011271530313634
-0.08806718899100424 -0.25707069786905545;0.00833174811273
-0.23167343288933295 -0.08802045034302061;0.0061810866383745
-0.08701385035442105 -0.20911888551872948;0.004604355875676
-0.1890521966540537 -0.08526291676446608;0.0034455414694979
-0.08294555355968394 -0.1711664414658422;0.002591460325896
-0.15519583105695156 -0.08020807633673305;0.0019599408356570
-0.07717031336719135 -0.14090990487933935;0.0014912736974384
-0.12810856744080673 -0.07392991465549938;0.0011420270868855
-0.0705659897768399 -0.1166178446443375;0.0008805712128704
-0.10628625365571301 -0.06714217701831035;0.0006838388896092
-0.06370923083117061 -0.09698169597294681;0.0005349799737243
-0.08858879679556272 -0.06030720142504571;0.00042166234203652
-0.056967269143685335 -0.08100662520861113;0.0003348406152314
-0.07414673941270761 -0.053713286757519046;0.00026786335977546
-0.05056307473836635 -0.06793150949527618;0.00021582529640329
-0.0622926772718629 -0.04752950772848928;0.00017509691692411
-0.044621424599225606 -0.057170118711097534;0.0001429826138733
-0.05251077955022407 -0.04184438955513368;0.0001174719482508
-0.03920132754786624 -0.04826775904369623;9.70584561087672e
-0.04439952047761913 -0.03669305370616319;8.060746340241107e
-0.0343187134692236 -0.04086921022495969;6.725949063115068e
-0.03764406979159504 -0.0320761475492162;5.635952658479386e
-0.029962193675783528 -0.0346949275818078;4.740512584949666e
-0.031995759052326773 -0.02797293523220388;4.000822081385208e
-0.02610390533018583 -0.029523305577290326;3.386694044592292e
-0.02725674375518139 -0.024350253545143155;2.8744743038819093e
-0.02270688141078467 -0.0251773980893164;2.4454905397163905e
-0.023268490996922526 -0.021168551820170137;2.084894387979617e
-0.019729976674193638 -0.021514924974433906;1.7807929228682228e
-0.019903092490917876 -0.018385886435713157;1.523593762592742e
-0.017131084669568156 -0.018420709816492277;1.3055084166685519e
-0.01705667153448907 -0.015960490159604004;1.1201733065000104e
-0.014869168780038832 -0.01580092294869095;9.623586724187165e
-0.014644347992078912 -0.013852356948724625;8.27743437802052e
-0.012905478194166693 -0.013578670581017914;7.127398360889741e
-0.012596367647322146 -0.012024154118498774;6.1435580008547495e
-0.011204210827825044 -0.011690592327325014;5.300861855894655e
-0.01085510599812194 -0.010441681723547019;4.578261580320246e
-0.00973280739843849 -0.010084218031827038;3.958017327352537e
-0.009372732293403222 -0.009074033255022828;3.4251368708683262e
-0.008462005357609463 -0.00871589954023292;2.9669197307856837e
-0.008109374995316084 -0.007893564940086004;2.5725843607454836e
-0.007365741916618162 -0.007549180463563739;2.2329615211948905e
-0.007031670444476014 -0.006875747679572283;1.940240765924882e
-0.006420967416350186 -0.006553501766518427;1.687759844265703e
-0.006111606330489733 -0.005998952132846685;1.4698290050005471e
-0.005607410534526445 -0.005703166602522995;1.2815838578709963e
-0.005325593543352378 -0.005244200885555426;1.1188617338795205e
-0.004907322941020562 -0.004976506700148001;9.780974818881738e
-0.0046537162214902285 -0.004594910026231883;8.562354168507337e
-0.0043052213197105746 -0.004355206585680113;7.506547467482107e
-0.0040791218582328995 -0.004036634382158837;6.591062899403603e
-0.0037876379619699173 -0.003823752316632792;5.796586813852578e
-0.003587522299724777 -0.0035568250982613283;5.106525769755303e
-0.0033428865346456023 -0.0033689791558895467;4.506616166986737e
-0.003166783178746466 -0.0031446044506891037;3.9845911208448433e
-0.002960846513004284 -0.002979698431853055;3.529895911297721e
-0.002806584374979661 -0.002790560243958211;3.133444720468011e
-0.002632767702884103 -0.002646388214252333;2.787412515568494e
-0.002498137906965681 -0.002486560472302675;2.485056885711502e
-0.0023510949398694698 -0.00236093575933302;2.220565435341957e
-0.0022339525620027625 -0.002225587865458737;1.988925002787033e
-0.0021093122218834625 -0.002116422213945891;1.7858095321832244e
-0.002007636790415523 -0.0020015932971624594;1.6074838990408028e
-0.0019018050459160632 -0.0019069420151811606;1.4507213886747507e
-0.0018137331012256816 -0.0018093666773503479;1.312732864695417e
PointOptimal;ValeurOptimale
[-0.00181373 -0.00180937];1.312732864695417e-07
Temps;Nb iteration
0.003142118453979492;90
