Point;Valeur
-6.814620470662376 -6.872238425725518;1.874131021682
-5.5146204706623045 -5.5722384257254465;1.2300143590705
-3.8931737745872494 -3.9420367178309528;0.614502131410
-2.1912604636400563 -2.2132900041113617;0.19412197339303
-0.5751542385172561 -0.5748434599482979;0.013224971210590
0.8013371996874425 0.8010231758484279;0.02567561238361
1.7780021286587437 1.8057802162285834;0.1286278644925
2.3367168895516226 2.349823638170257;0.2196795678946
2.4599683999571 2.4940289685006314;0.2457109298492
2.270783289430636 2.29057146167149;0.20815746459417
1.8464512696242543 1.8625576339697685;0.13763232421250
1.2904364163615836 1.3093146303128937;0.06767615178734
0.706522222556757 0.7102184292757482;0.020074956231575
0.1523922718124533 0.1533659674282729;0.0009351180294239
-0.30966441364732106 -0.309305398322099;0.0038312685042955
-0.6375390123246087 -0.647756325496448;0.01654593942635
-0.8313000312097633 -0.8382603636712791;0.02788643067854
-0.8870853909571768 -0.8950627666227778;0.03177643018628
-0.8273583584327435 -0.8383462047996221;0.027775900111676
-0.6883336591624724 -0.6934938083625496;0.019101128285007
-0.49521600636012597 -0.500401873840937;0.009919272939142
-0.2841797686832004 -0.28848820123263463;0.003284126685433
-0.08500138810963107 -0.0842289750501996;0.0002865383136356
0.08661359780428929 0.08679592435411612;0.00030071693449475
0.21275584299412667 0.2144371555438871;0.0018256452829714
0.28833084426140054 0.2924402368633414;0.003377172263597
0.3173729718019882 0.319762542546287;0.004060844148523
0.30269945277667265 0.3058799022303268;0.003706217128089
0.2562413705274775 0.25950481559863675;0.0026626038034694
0.19057811306978106 0.19179127093879644;0.0014624313962747
0.11492712473754663 0.11644935550038743;0.0005359300526967
0.04166829702378885 0.04232866604415575;7.066391985714152e
-0.021443696473244303 -0.022177832690505578;1.9163117062212536e
-0.07036692028222818 -0.07068175328626747;0.0001989720631094
-0.1008741480901158 -0.10193472835074098;0.0004115956112543
-0.11382531334840935 -0.11527274614809176;0.0005253829740780
-0.11164356536618707 -0.11243899546993567;0.0005022881179712
-0.09661680901943649 -0.09775820747365603;0.0003781421679747
-0.07382446808565765 -0.07467676925179795;0.00022070777922700
-0.047348835531045005 -0.047590635166996784;9.014964773023e
-0.020433163133664656 -0.02082099996446092;1.7056664081097994e
0.003081358589213389 0.003135935769240872;3.8729215854161003e
0.02149108278725081 0.021848012083976957;1.8814621073288203e
0.03388111585616116 0.034077764812656175;4.619376232060815e
0.03958062891187915 0.040066523348942826;6.349571198357789e
0.03963544547756235 0.04009394653461276;6.362031531113995e
PointOptimal;ValeurOptimale
[0.03963545 0.04009395];6.362031531113995e-05
Temps;Nb iteration
0.0026416778564453125;45
