Point;Valeur
-7.006046671175669 1.5635421968272318;18.655671891182
-1.929315616690852 -3.2747410689631398;0.7233644717805
-3.053152761638778 -1.7507042346218702;0.6548634617873
-1.9090682906504104 -2.4049697759295015;0.24758881517450
-2.031374931254125 -1.7555973907572278;0.16242490663743
-1.56558589103202 -1.6938116434308959;0.11034718377119
-1.41024670850326 -1.345651874970797;0.07699289315371
-1.1302175031226114 -1.1615801472128928;0.05276926856191
-0.9454999423027495 -0.9300152150657084;0.03523551524958
-0.7514403110947137 -0.7590272944168851;0.022829514451982
-0.6001491646987285 -0.5964188050681358;0.014321227958463
-0.46477986203420485 -0.4666110813094704;0.008675729234434
-0.3559798892101035 -0.3550802970941209;0.005056268201963
-0.2652334377192334 -0.26567521859066323;0.0028186888060323
-0.1930868293160694 -0.19286984223235798;0.0014896372939760
-0.13556971167529722 -0.13567628067228432;0.0007357467228840
-0.09105726130983219 -0.09100492036573453;0.0003314670648582
-0.057023138052109755 -0.05704884473171836;0.00013012433777068
-0.031705074351601976 -0.03169244871558083;4.019249916221095e
-0.013319323742362468 -0.01332552470687915;7.099489101820765e
-0.00045182503357129623 -0.0004487794829667862;8.113203796709102e
0.008146960141209464 0.008145464346049892;2.6544315160812753e
0.013486022352965435 0.013486756999696366;7.2753083950002385e
0.016402554818552816 0.016402194003272516;1.076151548517744e
0.017562606023251735 0.01756278323451328;1.2337929712946102e
0.017495595678731372 0.01749550864297602;1.2243773818419902e
PointOptimal;ValeurOptimale
[0.0174956  0.01749551];1.2243773818419902e-05
Temps;Nb iteration
0.0009090900421142578;25
