Point;Valeur
-7.02412137125237 -8.40559491001897;2.8578787297833
-7.062720384076833 -8.304665095424674;2.7471720312671
-7.09439909933068 -8.210907394833306;2.654171762284
-7.119868675129453 -8.123609632791286;2.5755102867624
-7.139768393307271 -8.04213151424576;2.508465648537
-7.1546729191025875 -7.965897364826546;2.450837732447
-7.165098827640762 -7.894389604342031;2.4008481775756
-7.1715104712352655 -7.8271428794851445;2.357059487037
-7.17432525408374 -7.763738789101417;2.318309652398
-7.173918374235882 -7.7038011422175074;2.283659317053
-7.170627086595765 -7.646991695010172;2.252349073607
-7.164754535385505 -7.593006318346191;2.2237649515616
-7.156573199498737 -7.541571552382244;2.197410524403
-7.146327989920323 -7.492441509163143;2.1728843665236
-7.134239034258634 -7.445395088053665;2.149861833858
-7.120504180053054 -7.400233472416701;2.128080338970
-7.105301245264791 -7.356777879093734;2.107327450332
-7.088790041441875 -7.314867535254194;2.087431274169
-7.0711141925769 -7.274357859512605;2.0682526810101
-7.052402770210946 -7.2351188267851825;2.049679023178
-7.032771763442554 -7.197033498302396;2.0316190572566
-7.0123254004194 -7.159996700063466;2.0139988403829
-6.991157336415597 -7.1239138347913595;1.9967584136476
-6.969351721817752 -7.088699813857026;1.9798491215652
-6.946984162359733 -7.054278097102042;1.9632314456904
-6.9241225822955315 -7.020579829633455;1.9468732537135
-6.900828000413746 -6.987543065769827;1.9307483843599
-6.877155227663366 -6.955112071419045;1.9148355037047
-6.853153494324438 -6.923236696860997;1.899117180817
-6.828867013867821 -6.891871812952417;1.8835791407150
-6.80433548979061 -6.860976804169454;1.8682096605382
-6.779594571329895 -6.830515112954913;1.8529990815724
-6.754676263117865 -6.8004538300380375;1.8379394148320
-6.729609293457315 -6.770763326123117;1.823024022276
-6.704419445415802 -6.741416920784566;1.80824735916
-6.679129854463042 -6.712390584818763;1.793604765802
-6.653761276060386 -6.683662672647401;1.7790922992551
-6.628332326212892 -6.655213681743881;1.764706597273
-6.602859697736186 -6.627026036355687;1.7504447683518
-6.577358354656589 -6.59908389307197;1.7363043028321
-6.551841707005089 -6.571372966040336;1.7222830010682
-6.526321767953583 -6.543880369827015;1.7083789153493
-6.500809295030095 -6.5165944781083525;1.694590302930
-6.475313917153265 -6.489504796740377;1.6809155881071
-6.449844248770702 -6.462601849519977;1.6673533315068
-6.424407992489847 -6.435877075564804;1.6539022052829
-6.399012031349585 -6.409322737030891;1.6405609730519
-6.373662511751668 -6.382931836159706;1.6273284736653
-6.348364918056653 -6.356698040700152;1.6142036080929
-6.323124139572769 -6.330615616829995;1.6011853287855
-6.297944530863482 -6.304679368920063;1.5882726311048
-6.272829965904812 -6.278884585319517;1.57546454635
-6.247783886795702 -6.2532269896454835;1.562760136171
-6.222809347520204 -6.227702696984984;1.550158487920
-6.197909053332012 -6.20230817450323;1.537658711041
-6.173085396148863 -6.177040206081507;1.5252599340390
-6.148340486333595 -6.151895860460776;1.5129613020413
-6.123676181303182 -6.126872462643391;1.500761974830
-6.099094111252839 -6.101967568169002;1.4886611252392
-6.074595702235584 -6.077178939999108;1.4766579378359
-6.05018219696327 -6.0525045277160245;1.4647516078623
-6.025854673479792 -6.027942448824561;1.4529413403582
-6.001614061943286 -6.0034909719805825;1.4412263494532
-5.977461159732627 -5.979148501855811;1.4296058577767
-5.953396644989446 -5.95491356555992;1.41807909596
-5.929421088850447 -5.930784800444108;1.4066453022919
-5.905534966387947 -5.906760943110314;1.3953037222902
-5.881738666481134 -5.882840819554318;1.3840536085178
-5.8580325006538985 -5.85902333626332;1.372894220293
-5.834416711058672 -5.8353074722751614;1.3618248235147
-5.810891477649321 -5.811692271983901;1.3508446904902
-5.787456924593329 -5.788176838698924;1.3399530997877
-5.764113126052457 -5.764760328835578;1.3291493361060
-5.740860111412605 -5.741441946714023;1.318432690173
-5.717697869932373 -5.718220939871188;1.3078024586447
-5.694626354966424 -5.695096594837416;1.297257944014
-5.6716454877223725 -5.672068233367018;1.2867984545387
-5.648755160657053 -5.649135208988174;1.2764233041544
-5.625955240551644 -5.626296903999581;1.2661318124290
-5.603245571220786 -5.603552726659064;1.255923304479
-5.580625976011795 -5.580902108748955;1.2457971109313
-5.558096259980932 -5.558344503311911;1.2357525678441
-5.535656211927929 -5.5358793826809745;1.2257890166782
-5.513305606148851 -5.513506236656742;1.2159058042295
-5.491044204065155 -5.491224570892658;1.2061022825871
-5.4688717556625726 -5.46903390544178;1.196377809085
-5.446788000791852 -5.446933773441682;1.1867317462565
-5.424792670327754 -5.424923719941106;1.1771634617861
-5.402885487225795 -5.4030033008270735;1.167672328467
-5.381066167456979 -5.3811720818865645;1.1582577241608
-5.359334420868976 -5.359429637943542;1.1489190317514
-5.337689951934273 -5.337775552083894;1.1396556391066
-5.316132460424761 -5.316209414959314;1.130466939030
-5.294661642041472 -5.2947308241683295;1.1213523292307
-5.273277188954609 -5.273339383689361;1.112311212270
-5.251978790314869 -5.252034703380161;1.103342995538
-5.230766132667888 -5.230816398514932;1.094447091199
-5.209638900383034 -5.20968408937706;1.0856229161599
-5.188596775985317 -5.18863740089132;1.076869892029
-5.167639440505248 -5.1676759622973485;1.0681874450875
-5.146766573742568 -5.146799406833875;1.0595750062343
-5.125977854531783 -5.126007371482164;1.0510320109618
-5.105272960977192 -5.105299496718427;1.0425578993145
-5.084651570664594 -5.084675426296734;1.034152115853
-5.064113360840697 -5.064134807053453;1.025814109619
-5.043658008574592 -5.043677288720662;1.0175433340935
-5.023285190919225 -5.023302523771857;1.0093392471649
-5.0029945850459505 -5.003010167282007;1.001201311096
-4.982785868348596 -4.982799876780437;0.9931289924842
-4.962658718570843 -4.962671312150359;0.9851217622270
-4.942612813885166 -4.942624135512254;0.9771790954893
-4.922647832991512 -4.92265801113237;0.9693004716692
-4.902763455183681 -4.902772605331222;0.9614853743615
-4.882959360426476 -4.882967586408242;0.9537332913260
-4.8632352294023455 -4.863242624562833;0.9460437144504
-4.843590743593918 -4.843597391844138;0.9384161397247
-4.824025585294763 -4.824031562072097;0.9308500671975
-4.804539437682951 -4.804544810806945;0.9233450009529
-4.785131984842586 -4.785136815281039;0.9159004490720
-4.765802911805064 -4.765807254370149;0.9085159236040
-4.746551904570609 -4.746555808534254;0.9011909405299
-4.727378650140562 -4.727382159804982;0.8939250197358
-4.70828283654609 -4.708285991731788;0.8867176849794
-4.689264152849979 -4.689266989360423;0.8795684638561
-4.670322289187901 -4.670324839209609;0.8724768877740
-4.651456936761232 -4.651459229233367;0.86544249191
-4.632667787874734 -4.632669848810249;0.8584648152187
-4.613954535927583 -4.613956388709248;0.8515434003311
-4.595316875425926 -4.59531854107545;0.84467779359
-4.57675450199903 -4.576755999417472;0.8378675449959
-4.558267112404664 -4.558268458584138;0.8311122081714
-4.539854404534481 -4.539855614748333;0.8244113403430
-4.521516077408634 -4.521517165392652;0.8177645023043
-4.503251831200899 -4.503252809300424;0.8111712583939
-4.485061367220727 -4.485062246532394;0.8046311764603
-4.466944387925807 -4.4669451784249254;0.7981438278376
-4.448900596922066 -4.448901307581032;0.7917087873179
-4.4309296989654605 -4.430930337845258;0.7853256331203
-4.413031399954804 -4.413031974305472;0.77899394686
-4.395205406942527 -4.3952059232839;0.7727133135457
-4.377451428131092 -4.3774518923245616;0.7664833215053
-4.3597691728640235 -4.359769590175333;0.7603035624015
-4.342158351640258 -4.342158726800502;0.7541736311890
-4.324618676087233 -4.324619013355655;0.7480931260848
-4.307149858986008 -4.30715016219126;0.7420616485485
-4.289751614255113 -4.289751886834729;0.7360788032521
-4.272423656950551 -4.272423901999389;0.7301441980569
-4.255165703258619 -4.255165923555772;0.7242574439835
-4.237977470501296 -4.237977668544179;0.7184181551911
-4.220858677120088 -4.220858855160323;0.7126259489481
-4.203809042697564 -4.20380920275533;0.7068804456127
-4.186828287926854 -4.186828431816007;0.7011812686009
-4.169916134622412 -4.169916263975601;0.6955280443670
-4.153072305711046 -4.15307242199945;0.6899204023767
-4.13629652523192 -4.136296629776012;0.684357975082
-4.119588518338347 -4.1195886123222465;0.6788403979040
-4.102948011278052 -4.102948095771055;0.6733673091968
-4.086374731407528 -4.086374807367694;0.6679383502355
-4.0698684071758855 -4.069868475464393;0.6625531651861
-4.053428768120371 -4.053428829510485;0.6572114010826
-4.037055544875335 -4.037055600064072;0.6519127078083
-4.020748469152496 -4.0207485187633125;0.6466567380665
-4.004507273744531 -4.004507318345267;0.6414431473630
-3.988331692521488 -3.988331732617187;0.6362715939794
-3.9722214604271926 -3.972221496475356;0.6311417389547
-3.956176313473872 -3.956176345882662;0.6260532460602
-3.9401959887385622 -3.94019601787398;0.6210057817788
-3.9242802243559343 -3.9242802505489944;0.6159990152823
-3.9084287595191896 -3.908428783066819;0.6110326184108
-3.8926413344719872 -3.892641355640613;0.6061062656496
-3.87691769050665 -3.8769177095366842;0.6012196341096
-3.861257569960575 -3.8612575870691064;0.5963724035055
-3.845660716209059 -3.8456607315889553;0.5915642561335
-3.830126873659914 -3.8301268874878964;0.5867948768517
-3.814655787760646 -3.814655800192803;0.5820639530608
-3.799247204981409 -3.7992472161576814;0.5773711746808
-3.7839008728159023 -3.783900882862776;0.5727162341325
-3.768616539776886 -3.7686165488100816;0.5680988263169
-3.7533939553934896 -3.753393963514375;0.5635186485946
-3.7382328702067262 -3.7382328775076985;0.5589754007674
-3.7231330357659047 -3.7231330423294935;0.5544687850579
-3.708094204620556 -3.7080942105212173;0.5499985060888
-3.6931161303186393 -3.6931161356245497;0.5455642708646
-3.6781985674083355 -3.678198572178701;0.5411657887532
-3.663341271426386 -3.6633412757150303;0.536802771465
-3.648543998897196 -3.6485440027534572;0.5324749330383
-3.633806507328348 -3.633806510796182;0.5281819898121
-3.6191285552052204 -3.619128558324098;0.5239236604155
-3.604509901994575 -3.6045099047976876;0.5196996657472
-3.5899503081266175 -3.589950310646259;0.5155097289545
-3.5754495350048625 -3.575449537269739;0.5113535754185
-3.561007344993577 -3.561007347029703;0.5072309327339
-3.5466235014186758 -3.546623503249375;0.5031415306923
-3.5322977685605466 -3.5322977702082454;0.4990851012639
-3.5180299116558427 -3.5180299131366883;0.49506137858059
-3.503819696884028 -3.5038196982159615;0.49107009891757
-3.4896668913736555 -3.489666892570133;0.4871110006769
-3.475571263190707 -3.4755712642669785;0.48318382437030
-3.4615325813385915 -3.4615325823063188;0.47928831260073
-3.4475506157572493 -3.4475506166263;0.47542421004817
-3.4336251373114894 -3.433625138092628;0.4715912634503
-3.4197559177945784 -3.419755918496776;0.46778922158769
-3.4059427299210636 -3.4059427305523933;0.4640178352660
-3.392185347324082 -3.3921853478908233;0.46027685730090
-3.3784835445481836 -3.378483545057513;0.4565660425001
-3.364837097052023 -3.364837097509323;0.4528851476494
-3.3512457812011824 -3.3512457816136294;0.4492339314960
-3.337709374265481 -3.3377093746366633;0.4456121547319
-3.324227654411798 -3.324227654746201;0.4420195799787
-3.310800400704073 -3.3108004010034904;0.43845597177174
-3.297427393100614 -3.2974273933695315;0.4349210965462
-3.2841084124442315 -3.284108412686237;0.4314147226192
-3.2708432404703096 -3.2708432406871975;0.42793662017759
-3.257631659788867 -3.2576316599842254;0.42448656125980
-3.2444734538926294 -3.2444734540682525;0.42106431974335
-3.231368407147162 -3.231368407304844;0.4176696713287
-3.2183163047899725 -3.2183163049315073;0.4143023935253
-3.205316932924232 -3.205316933052311;0.4109622656360
-3.1923700785223623 -3.1923700786369853;0.40764906874443
-3.17947552940989 -3.1794755295137485;0.40436258569786
-3.166633074276211 -3.1666330743702016;0.40110260109590
-3.1538425026620303 -3.153842502745256;0.397868901274
-3.1411036049557755 -3.141103605030928;0.39466127429208
-3.128416172396287 -3.128416172463366;0.39147950991682
-3.115779997062951 -3.1157799971228535;0.38832339961136
-3.103194871879287 -3.10319487193291;0.3851927365209
-3.0906605905994926 -3.09066059064863;0.38208731545746
-3.078176947816516 -3.078176947859374;0.37900693288803
-3.0657437389494984 -3.0657437389878712;0.37595138692102
-3.0533607602464645 -3.053360760281249;0.3729204772927
-3.0410278087762492 -3.0410278088065485;0.36991400535370
-3.0287446824302915 -3.0287446824578996;0.3669317740573
-3.016511179914561 -3.016511179939478;0.36397358794498
-3.004327100748661 -3.0043271007708867;0.36103925313438
-2.992192245263137 -2.9921922452826717;0.35812857730685
-2.980106414593198 -2.9801064146109386;0.35524136969409
-2.9680694106787158 -2.968069410694662;0.352377441066
-2.9560810362606365 -2.9560810362738916;0.34953660371915
-2.944141094873805 -2.944141094885266;0.34671867146233
-2.9322493908505525 -2.9322493908611165;0.3439234596069
-2.9204057293126233 -2.9204057293222903;0.34115078495320
-2.9086099161675865 -2.9086099161754593;0.3384004657780
-2.8968617581061444 -2.8968617581140172;0.33567232182402
-2.8851610626039275 -2.885161062610006;0.3329661742873
-2.8735076379111772 -2.873507637916359;0.3302818458059
-2.861901293054541 -2.861901293059274;0.3276191604480
-2.8503418378307925 -2.8503418378355256;0.3249779437000
-2.8388290828063827 -2.838829082811116;0.3223580224560
-2.8273628393125065 -2.827362839316791;0.31975922500549
-2.8159429194415146 -2.815942919444902;0.31718138102249
-2.8045691360464646 -2.804569136049852;0.3146243215549
-2.7932413027370844 -2.7932413027400234;0.31208787901298
-2.7819592338743897 -2.78195923387688;0.30957188715783
-2.7707227445697873 -2.770722744571829;0.3070761810912
-2.759531650681935 -2.75953165068308;0.304600597244
-2.748385768813602 -2.7483857688142983;0.3021449733687
-2.737284916308081 -2.7372849163083286;0.29970914852193
-2.7262289112460474 -2.7262289112467437;0.2972929630606
-2.7152175724442156 -2.7152175724453604;0.2948962586285
-2.704250719450852 -2.7042507194519967;0.29251887814614
-2.6933281725444296 -2.6933281725455744;0.2901606658009
-2.6824497527277984 -2.6824497527289433;0.28782146703650
-2.67161528172639 -2.6716152817279832;0.28550112854232
-2.660824581988666 -2.6608245819902594;0.28319949824477
-2.6500774766775974 -2.6500774766787423;0.280916425295
-2.63937378967156 -2.639373789672705;0.2786517600643
-2.6287133455607474 -2.628713345562341;0.27640535412533
-2.6180959696444788 -2.618095969646072;0.27417706025091
-2.607521487927163 -2.6075214879287563;0.2719667324002
-2.596989727116055 -2.5969897271176485;0.26977422571001
-2.586500514619015 -2.58650051462016;0.267599396485
-2.576053678539572 -2.576053678540717;0.2654421021888
-2.56564904767872 -2.5656490476794165;0.2633022014342
-2.5552864515263956 -2.555286451527092;0.26117955397424
-2.544965720261925 -2.5449657202626215;0.25907402069240
-2.5346866847522325 -2.5346866847524803;0.2569854635944
-2.5244491765464554 -2.5244491765462547;0.25491374579862
-2.5142530278728064 -2.5142530278726056;0.2528587315266
-2.504098071640815 -2.5040980716401657;0.25082028609574
-2.4939841414314605 -2.4939841414308113;0.24879827590839
-2.483911071499863 -2.4839110714992136;0.24679256844471
-2.4738786967707975 -2.4738786967701483;0.24480303225339
-2.463886852836004 -2.463886852835355;0.24282953694306
-2.4539353759501497 -2.453935375949949;0.2408719531735
-2.4440241030303804 -2.4440241030315253;0.23893015264785
-2.434152871654079 -2.4341528716552236;0.2370040081033
-2.424321520052584 -2.424321520053729;0.23509339330371
-2.414529887111641 -2.414529887112786;0.23319818303032
-2.40477781236826 -2.4047778123685077;0.23131825307437
-2.395065136006232 -2.3950651360064796;0.22945348022852
-2.3853916988565764 -2.3853916988568242;0.22760374227897
-2.375757342393057 -2.375757342393305;0.22576891799740
-2.36616190872949 -2.3661619087297376;0.22394888713291
-2.3566052406179487 -2.356605240617748;0.22214353040430
-2.3470871814456267 -2.347087181445426;0.22035272949223
-2.337607575233041 -2.3376075752328402;0.21857636703145
-2.328166266629548 -2.328166266628899;0.21681432660281
-2.318763100912447 -2.3187631009117977;0.2150664927260
-2.3093979239838385 -2.3093979239836377;0.21333275085201
-2.3000705823710748 -2.300070582370874;0.2116129873555
-2.290780923219134 -2.2907809232184846;0.2099070895273
-2.2815287942888256 -2.281528794288625;0.20821494556674
-2.2723140439599314 -2.2723140439597307;0.2065364445750
-2.2631365212222336 -2.263136521222033;0.20487147654757
-2.253996075676861 -2.253996075676212;0.20321993236660
-2.2448925575304584 -2.244892557529809;0.20158170379416
