Point;Valeur
-7.02412137125237 -8.40559491001897;2.8578787297833
-7.108426925476336 -8.217750177106417;2.656566564949
-7.209952436007898 -7.902089164431913;2.403501326042
-7.274291767527004 -7.525561853126221;2.206140835906
-7.260864454652975 -7.140833867392303;2.0776909810615
-7.14827945958563 -6.7808725117842155;1.9739597127383
-6.934417570289247 -6.458823106488902;1.8503364817604
-6.632639425304035 -6.171768081888525;1.6926291148978
-6.2659101597281746 -5.906577274055796;1.5139745339376
-5.860559084183215 -5.646130438843784;1.3355339487789
-5.441001247324859 -5.374584562555516;1.1708717581127
-5.026200477288354 -5.080905805764182;1.0222841424101
-4.628100407646846 -4.760439014177042;0.8858251014460
-4.2518016042308995 -4.414736131025941;0.7577256781717
-3.896979277911341 -4.050148491217574;0.6374335997648
-3.5599285754125973 -3.675795487716828;0.5269133125192
-3.2356666933374165 -3.301479867253108;0.42842569501162
-2.9196642955468954 -2.9359766990998155;0.34295183820928
-2.608967443385454 -2.5859343546298406;0.2700026777046
-2.3026560077755858 -2.2554411003402333;0.20831980434117
-2.0017299989342967 -1.9461654659009526;0.15663064034547
-1.7086033807866932 -1.6578904435975255;0.11397575719575
-1.4264138585397634 -1.38923268077668;0.07962426433860
-1.15833713533806 -1.1383578461571018;0.05284787137929
-0.9070423788796541 -0.9035551325943535;0.03278567370722
-0.6743608977483553 -0.6835986263759528;0.01846187459914
-0.46117856370721877 -0.4778847625584335;0.008888173577385
-0.26751555580611963 -0.28638207154856976;0.0031570121699565
-0.09272988153022851 -0.10945656729888542;0.0004787391051021
0.06422616381573673 0.052356554816786305;0.00017113720728449
0.20455882126910382 0.1985728367182316;0.0016341093394770
0.3294386622595518 0.32892653300769914;0.004334512872485
0.4398809132598003 0.4434651882474233;0.0078062151072768
0.5367014824470864 0.5425697313194413;0.011656872614857
0.6205347528452074 0.6269140908955944;0.01557146016599
0.6918909296722958 0.6973865959172403;0.0193084710179
0.7512290674508819 0.7549970715358345;0.0226907212813
0.7990253945024707 0.8007900345251664;0.025594872558151
0.8358231175392051 0.8357778139575377;0.027942497254911
0.8622574027856912 0.860899897304155;0.029693171513812
0.8790559549852884 0.8770080664874607;0.030838656936935
0.8870204390876671 0.8848720554201148;0.03139718400902
0.8869964738882261 0.8851979676654191;0.031407540042894
0.8798402139497629 0.8786513984464951;0.030923280829255
0.8663881620933178 0.8658785729621943;0.03000754533406
0.8474345383915335 0.8475211239873608;0.02872874884856
0.8237179833308519 0.8242226755942393;0.027157147831954
0.7959171569344146 0.7966276121674959;0.02536211460259
0.7646532586499803 0.7653739461493045;0.023409962321877
0.7304967539584523 0.731082934827771;0.021362237768727
0.6939755828235479 0.6943481060406651;0.019274461344002
0.6555826477397317 0.6557258293939033;0.017195304347271
0.6157811882009382 0.6157287604701233;0.015166168223924
0.575007507208881 0.574822627169519;0.01322110192440
0.5336712414452874 0.5334261022575;0.011386982432680
0.4921538529092524 0.4919130213620303;0.009683890630339
0.4508062353340955 0.45061599186482093;0.008125629365026
0.4099463043785468 0.40983046447664984;0.006720342862267
0.3698572462185947 0.3698185359500747;0.005471203001889
0.3307868192051722 0.3308120338614589;0.004377130582735
0.2929478162250798 0.29301472412265545;0.0034335221060744
0.2565195600305664 0.2566037200948615;0.0026329567767958
0.22165015278794017 0.22173032614186472;0.001965864097901
0.18845914168945205 0.18852061088510805;0.001421138283127
0.15704028193209557 0.15707598902607517;0.0009866906355558
0.12746415185029586 0.12747402019316822;0.0006499347399946
0.09978047372266202 0.09976953759990785;0.0003982021000880
0.07402009177499916 0.07399612432724721;0.0002190881459019
0.05019663734652618 0.05016787957001957;0.00010073056931134
0.028307960178702168 0.02828137109387054;3.2023700883627776e
0.008337422896518901 0.008317654848007356;2.7740138406976352e
-0.009744851988718477 -0.009755746873095234;3.8027632343201e
-0.025980718064395593 -0.02598298989447285;2.7002270738648768e
-0.040422691688282934 -0.04041822176767925;6.53525378789912e
-0.05313258803704072 -0.053124077704947224;0.00011290480825248
-0.06418012902284145 -0.06417034602073246;0.00016473846836589
-0.07364155923687435 -0.07363277452997359;0.00021689731315745
-0.08159830947355508 -0.08159198403654087;0.00026631072896190
-0.08813574244795895 -0.08813245820952627;0.0003107047883268
-0.09334200511056044 -0.09334158772005838;0.00034850763836503
-0.09730699977922581 -0.09730875720436326;0.00037875292943509
-0.10012147495365403 -0.10012447362269412;0.00040098440146041
-0.10187622804937288 -0.10187954199804877;0.000415164141021
-0.1026614072471672 -0.1026642984790748;0.0004215864564095
-0.10256589813332505 -0.10256791124016612;0.0004207987984939
PointOptimal;ValeurOptimale
[-0.1025659  -0.10256791];0.0004207987984939489
Temps;Nb iteration
0.004779815673828125;84
