Point;Valeur
-8.894820314826585 0.6603646245386443;23.50345241152
-8.848195074612509 0.6137393843538389;23.06011353159
-8.814994988024907 0.5805504315811479;22.747129204501
-8.787650153279277 0.5532204469556052;22.491024218466
-8.76374771607473 0.5293348168476175;22.268401298876
-8.742163209810002 0.507768390400825;22.068361232563
-8.722267113111094 0.4878913099275456;21.88480399304
-8.703665845417598 0.46930980475535666;21.713916763710
-8.686094351590523 0.45175870171210575;21.55313244188
-8.6693643009584 0.43504959172003355;21.400627469606
-8.653336339503545 0.4190430659450292;21.25505287625
-8.637904023734153 0.4036326409990193;21.115378566973
-8.622983941685165 0.3887348749187965;20.980797584318
-8.60850933984769 0.37428299102364826;20.850664350526
-8.594425847435895 0.360222600216376;20.724453236425
-8.580688512513943 0.3465087358015722;20.601729843535
-8.56725968987171 0.3331037404696816;20.48213054003
-8.554107499744589 0.3199757243827118;20.36534752812
-8.541204679699154 0.3070974166084064;20.25111772108
-8.528527713835718 0.29444529398626645;20.139214307157
-8.516056161714097 0.2819989098038821;20.02944024864
-8.503772133811365 0.2697403690648568;19.921623200559
-8.491659876274342 0.25765391309345;19.815611488222
-8.479705438407798 0.24572558690827145;19.71127088633
-8.467896403638038 0.2339429700958858;19.608482013023
-8.456221669770215 0.22229495699551416;19.507138201375
-8.444671267951106 0.2107715756035876;19.407143745946
-8.433236212333835 0.19936383719079734;19.308412446664
-8.421908374322289 0.1880636105086245;19.210866390839
-8.410680376665107 0.17686351585197865;19.11443492745
-8.399545503706934 0.16575683528297555;19.019053797939
-8.388497624886744 0.15473743610873852;18.924664395318
-8.377531129175086 0.14379970529943978;18.831213129246
-8.366640868599376 0.132938492998976;18.73865087912
-8.355822109366978 0.12214906363486358;18.64693252080
-8.345070489374075 0.11142705341636197;18.55601651511
-8.334381981111418 0.1007684332309689;18.465864548703
-8.323752859153238 0.09016947612585097;18.37644121927
-8.31317967155695 0.07962672870054495;18.287713758678
-8.30265921461303 0.0691369858515611;18.199651788443
-8.292188510479956 0.05869726840243576;18.112227103318
-8.281764787309745 0.04830480322544314;18.025413478884
-8.27138546153578 0.037957005525613915;17.939186500129
-8.261048122040261 0.027651463005430955;17.853523408234
-8.250750515964498 0.0173859216728413;17.76840296327
-8.240490535958386 0.007158273088390359;17.683805320850
-8.230266208694355 -0.0030334571223248254;17.59971192100
-8.220075684496562 -0.013191119641338643;17.51610538789
-8.20991722795478 -0.023316450845155635;17.432969439040
-8.199789209412504 -0.033411081318069774;17.35028880302
-8.189690097230354 -0.043476543589108387;17.26804914473
-8.179618450741923 -0.0535142791776114;17.186236997263
-8.16957291382609 -0.06352564502071031;17.104839699823
-8.159552209032888 -0.07351191934856445;17.02384534101
-8.149555132204352 -0.08347430706333576;16.943242706905
-8.139580547541488 -0.09341394467264877;16.86302123336
-8.129627383072597 -0.10333190482135653;16.783170962410
-8.11969462648379 -0.11322920046132749;16.703682501926
-8.109781321277298 -0.12310678869355522;16.62454698866
-8.099886563226514 -0.13296557431199185;16.545756054087
-8.090009497100624 -0.14280641308015657;16.467301792775
-8.080149313633656 -0.15263011476162403;16.38917673328
-8.070305246717298 -0.16243744592677412;16.311373811127
-8.060476570796569 -0.17222913255725045;16.233886343702
-8.050662598451906 -0.1820058624644684;16.156708007073
-8.040862678150635 -0.19176828753700245;16.079832814362
-8.031076192154806 -0.2015170258337055;16.003255095659
-8.021302554571431 -0.21125266353231642;15.926969479321
-8.011541209534798 -0.22097575674720288;15.850970874543
-8.0017916295093 -0.23068683322745864;15.775254455092
-7.992053313703379 -0.24038639394191758;15.699815644131
-7.982325786586579 -0.2500749145622593;15.624650100022
-7.972608596501104 -0.2597528468512881;15.549753703066
-7.962901314361309 -0.2694206199635655;15.475122543071
-7.953203532434337 -0.27907864166442636;15.400752907723
-7.943514863195905 -0.2887272994742574;15.326641271675
-7.933834938255961 -0.2983669617429137;15.252784286312
-7.924163407348875 -0.3079979786589002;15.17917877014
-7.914499937384857 -0.3176206831991226;15.10582169978
-7.904844211555737 -0.32723539202164087;15.032710201466
-7.895195928494603 -0.3368424063069173;14.959841543048
-7.88555480148321 -0.34644201255003726;14.887213126526
-7.875920557705301 -0.35603448330777104;14.814822480952
-7.866292937541712 -0.3656200779027201;14.74266725576
-7.856671693905869 -0.3751990430887241;14.670745214537
-7.847056591615843 -0.3847716136781834;14.599054229003
-7.837447406801713 -0.39433801313528655;14.527592273520
-7.827843926344136 -0.40389845413640196;14.456357419764
-7.818245947345566 -0.41345313910041454;14.385347831757
-7.808653276628004 -0.42300226068974056;14.314561761158
-7.799065730258949 -0.4325460022850513;14.24399754281
-7.789483133102044 -0.44208453843464196;14.173653590541
-7.77990531839149 -0.45161803528003336;14.103528393173
-7.7703321273289765 -0.4611466509589196;14.033620510768
-7.760763408701373 -0.4706705359876054;13.963928571055
-7.75119901851864 -0.4801898336237118;13.894451266058
-7.741638819669982 -0.4897046802092577;13.82518734889
-7.7320826815976735 -0.4992152054974975;13.756135630767
-7.7225304799876815 -0.5087215329621756;13.68729497805
-7.712982096475761 -0.5182237800916164;13.618664309619
-7.703437418368496 -0.5277220586677582;13.550242594225
-7.693896338378117 -0.5372164750312465;13.482028848079
-7.684358754370748 -0.5467071303335485;13.414022132513
-7.674824569126926 -0.5561941207761968;13.346221551781
-7.66529369011436 -0.5656775378386208;13.278626250967
-7.655766029271175 -0.5751574684942963;13.211235413997
-7.646241502800546 -0.5846339954170342;13.144048261755
-7.636720030974713 -0.5941071971763392;13.077064050292
-7.627201537948772 -0.6035771484238477;13.010282069122
-7.617685951583681 -0.613043920070723;12.943701639610
-7.608173203277448 -0.6225075794563041;12.877322113431
-7.598663227804633 -0.6319681905086248;12.81114287111
-7.589155963163488 -0.6414258138976316;12.745163320643
-7.579651350430463 -0.6508805071803894;12.679382896159
-7.5701493336213534 -0.6603323249400587;12.613801056684
-7.560649859559462 -0.6697813189181231;12.548417284936
-7.551152877749787 -0.6792275381398394;12.483231086195
