Point;Valeur
-8.96071959542127 4.04416690376922;42.523493117904
-8.937525853904136 4.00233621279048;42.10356854420
-8.881929749344756 3.9294440387379677;41.27809573163
-8.794866417730875 3.8264035000930297;40.07096982228
-8.67740739833134 3.6942642731795137;38.51288214097
-8.530752736809065 3.5342046967109617;36.64045439133
-8.35622259546795 3.3475233834157447;34.49528816252
-8.1552484219437 3.1356303900475773;32.12295173862
-7.929363728883015 2.900037998326633;29.571926615363
-7.68019453809934 2.6423511603034213;26.89253608289
-7.40944954335687 2.364257662294369;24.135877746617
-7.118910046312428 2.067518061921265;21.35278095673
-6.810419720242869 1.753955452882852;18.592808835383
-6.485874256009026 1.42544511191009;15.90332296652
-6.147210944261562 1.0839040819103793;13.328626894255
-5.796398247185646 0.7312807446015239;10.909202408104
-5.4354254121244665 0.36954443497227085;8.681050232172
-5.066292178213915 0.0006751487059815098;6.675144231914
-4.690998625727422 -0.3733466077355885;4.917005663554
-4.311535216169855 -0.7505497763263841;3.4264013704068
-3.9298730692950485 -1.1289824698142612;2.217167231220
-3.5479545211582404 -1.5067214130706632;1.2971556383889
-3.167684005072375 -1.8818810615819979;0.6683033759958
-2.7909192949267148 -2.2526223576236704;0.3268140221875
-2.419463147765306 -2.6171610872185584;0.2634469556602
-2.055055379825122 -2.973775803679028;0.4639032350234
-1.6993654074170739 -3.3208152863487586;0.909297069452
-1.353985281112739 -3.65670550608104;1.5767003302682
-1.0204232386918417 -3.97995607199725;2.4397465803608
-0.7000977992291624 -4.289166137146729;3.4692804298288
-0.3943324175674054 -4.583029743819971;4.634037663594
-0.10435071525666617 -4.86034059243469;5.901341525761
0.16872769914799546 -5.1199962211020535;7.237800775921
0.42389081073053037 -5.361001586171907;8.609995639024
0.6602371732782775 -5.582472037235672;9.985138532318
0.8769782753977436 -5.783635683216544;11.331697445598
1.0734402974213166 -5.963835149286413;12.619971046280
1.2490652618949116 -6.122528727399009;13.8226059472
1.4034115834168914 -6.2592909262076475;14.91504807966
1.5361540264899862 -6.373812429030718;15.875921720062
1.6470830828461533 -6.46589947132108;16.68733139491
1.7361037823849668 -6.535472651783644;17.33508359201
1.8032339544340363 -6.582565193845047;17.80882690977
1.8486019584673161 -6.607320676612783;18.102110940999
1.872443905708083 -6.609990256748346;18.212365784384
1.8751003951801752 -6.590929404820099;18.140805576104
1.8570127897530762 -6.550594181677653;17.892260809338
1.8187190595396663 -6.489537082207288;17.474945439227
1.7608492216481855 -6.4084024754703295;16.900165835189
1.6841204067593483 -6.307921671693073;16.181979527314
1.589331584283826 -6.188907647864949;15.336812387781
1.4773579789613493 -6.052249464802875;14.383043385369
1.349145212679133 -5.8989064094610955;13.340566348779
1.205703206020626 -5.729901896995842;12.230338274201
1.0480998746003434 -5.5463171676409155;11.073923619904
0.8774546556007655 -5.349284813808899;9.893043754614
0.6949319001044654 -5.139982173010365;8.709140279444
0.5017341668070603 -4.91962462217694;7.542960340479
0.2990954525153541 -4.689458808791415;6.414171308501
0.08827439447752072 -4.450755853871372;5.341011343692
-0.12945252093253184 -4.204804561328011;4.339981407840
-0.35279770934250865 -3.952904667533766;3.425583257186
-0.580469166330452 -3.696360164088438;2.610106868692
-0.8111770401969893 -3.436472725781135;1.9034696445308
-1.0436400686974117 -3.174535274611115;1.3131086269154
-1.2765918501367755 -2.9118257094641824;0.8439258602084
-1.5087869206211255 -2.6496008296507507;0.49828598057497
-1.7390066107638076 -2.389090479006155;0.2760641147629
-1.9660646567554148 -2.1314919356442266;0.174741246429
-2.1888125424111444 -1.8779645707497161;0.1895433762527
-2.4061445505989676 -1.6296247980060574;0.31362007389313
-2.6170025043148812 -1.3875413333911486;0.538257406183
-2.82038017959914 -1.1527307831474682;0.8531197345943
-3.0153273744655813 -0.9261535757532658;1.2465145111158
-3.2009536200377244 -0.7087102517013422;1.705673967653
-3.3764315221359773 -0.501238122840094;2.217047489594
-3.5409997236316 -0.3045083109609624;2.7665984865138
-3.6939654799636576 -0.1192231732357483;3.3400997169264
-3.8347068422932495 0.053985879971209294;3.923421281997
-3.9626744448366704 0.2145601714578085;4.502805865955
-4.077392894963692 0.36201514629278975;5.065126257346
-4.178461766660373 0.4959413642775826;5.598120722770
-4.265556199927217 0.6160050983335656;6.090602409600
-4.338427110606169 0.7219485433069956;6.532639611956
-4.396901016990742 0.8135896415478416;6.915704429813
-4.440879491370139 0.8908215334133008;7.2327880694677
-4.470338246378634 0.9536116425671657;7.478481759508
-4.485325867659294 1.0020004075851536;7.649022975355
-4.485962205901543 1.0360996729257137;7.742307363363
-4.472436442766857 1.056090753781046;7.757867419408
-4.445004846571404 1.0622221906776703;7.696819594921
-4.40398823484502 1.054807210945702;7.561782065054
-4.349769162024583 1.03422091531658;7.356765889989
-4.282788851569776 1.0008972089357095;7.087042724034
-4.203543892698131 0.9553254969890655;6.758992572425
-4.112582722731286 0.8980471659347427;6.379935358757
-4.010501916716499 0.8296518720043988;5.9579502446867
-3.897942306539742 0.7507736591913986;5.501686737459
-3.7755849521773124 0.6620869293722411;5.020171631
-3.6441469880415984 0.564302287518047;4.522615760033
-3.5043773675654357 0.4581622851402431;4.018224388100
-3.3570525292383295 0.3444370851840862;3.516014859556
-3.202972007258987 0.22392007153544516;3.024644834283
-3.0429540098066394 0.09742342614276586;2.552254114248
-2.8778309876576267 -0.03422630351895675;2.1063226765847
-2.708445215489954 -0.1701926242983359;1.6935471122993
-2.535644407731502 -0.3096334826769186;1.3197372223520
-2.360277390218771 -0.45170559426990453;0.9897340581234
-2.1831898482504495 -0.5955686969340575;0.7073502205511
-2.005220170846705 -0.7403897076713647;0.4753327611942
-1.8271954101678272 -0.8853467643747375;0.2953485683822
-1.6499273741099292 -1.0296331343977836;0.16799168114255
-1.4742088690869959 -1.1724609729388198;0.09281156073435
-1.3008101089349338 -1.3130649153037437;0.06836097149317
-1.130475304739253 -1.4507054882453891;0.09226178546782
-0.9639194492027554 -1.5846723267630844;0.16128673415506
-0.8018253079377564 -1.714287183977447;0.27145488952618
-0.6448406287976989 -1.838906722965447;0.4181384683841
-0.4935755790615428 -1.9579250807420872;0.596178420618
-0.3486004189585893 -2.0707761959007938;0.8000061837169
-0.2104434186784681 -2.1769358927676428;1.02376896242
-0.07958902465774828 -2.2759237162776382;1.2614559221303
0.04352372042161454 -2.3673045131377966;1.507022764657
0.15850250083984607 -2.45068975619443;1.7545122826780
0.26500279251307823 -2.525738610264855;1.998168658671
0.3627286687193506 -2.5921587390192076;2.2325434824865
0.45143334776538724 -2.6497068538008213;2.452591701515
0.530919484756233 -2.6981890065470444;2.653755983952
0.6010392108681973 -2.7374606302106197;2.8320382620310
0.6616939247232924 -2.7674263312799336;2.984057522213
0.7128338416157798 -2.7880394401482587;3.1070932165041
0.7544573074427496 -2.799301326183785;3.199113977128
0.7866098852368106 -2.801260485398662;3.2587916195283
0.8093832231862017 -2.7940114096018474;3.2855007102845
0.8229137139512487 -2.7776932468445525;3.2793042517549
0.8273809559430657 -2.7524882638243473;3.240926289128
0.8230060280184207 -2.7186201217012615;3.1717124740162
0.8100495897594274 -2.676351977494814;3.0735798180628
0.7888098201479997 -2.625984423871362;2.948957037492
0.759620208009526 -2.5678532806963137;2.800717022961
0.7228472080871582 -2.502327252212544;2.6321030671167
0.6788877770169819 -2.4298054641148124;2.4466505443345
0.6281668038030326 -2.350714895119374;2.2481057633126
0.5711344496419635 -2.2655077178784087;2.0403437043598
0.5082634121179722 -2.174658564259389;1.8272863108629
0.44004612888120104 -2.0786617301029544;1.6128229306128
0.366991935938576 -1.9780283345878973;1.4007344000727
0.2896241956254065 -1.8732834492714474;1.1946221364049
0.20847740919131563 -1.764963211738391;0.9978434516191
0.12409432872739914 -1.6536119385858896;0.8134541343999
0.037023082884990996 -1.5397792521940157;0.6441591620216
-0.05218566950717567 -1.4240172353889609;0.4922722114516
-0.14298154422809803 -1.306877627698003;0.3596844394633
-0.23481718162080412 -1.1889090764273056;0.24784280051242
-0.32715092901425635 -1.0706544552679325;0.15773797231119
-0.4194494434844397 -0.9526482625565268;0.08990176631419
-0.5111902034567601 -0.8354141106883507;0.04441371729387
-0.6018639183262682 -0.7194623175061755;0.020916376087410
-0.690976825987623 -0.6052876097729278;0.018638675318048
-0.7780528689192996 -0.4933669480835724;0.03642660189119
