Point;Valeur
-9.103982986367134 -3.799494309279523;8.699397294530
-9.057357746525952 -3.8461195488480864;8.454248151356
-9.024267042761249 -3.879152460719198;8.283033364413
-8.997067701191106 -3.9062743182723616;8.144006669604
-8.973329658455958 -3.929924236153928;8.023924174114
-8.951921795764319 -3.951236862725162;7.9166274835427
-8.932211337941874 -3.970846711666104;7.818673809030
-8.91380287297773 -3.9891501785911263;7.7279130145922
-8.896430213295547 -4.006414061153929;7.642898395758
-8.879904279086444 -4.022827843032326;7.562602838569
-8.864085194855639 -4.038531680281978;7.486266902769
-8.848866139351617 -4.053632596338615;7.41331091925
-8.834163418039795 -4.068214435636509;7.343280968508
-8.819910060397781 -4.082344282331483;7.275814046620
-8.806051525243626 -4.0960767652500305;7.210614704187
-8.792542724303672 -4.109457041173552;7.147438858368
-8.779345901493524 -4.122522920268065;7.086082260556
-8.766429085587593 -4.13530641673829;7.0263720832022
-8.753764937756458 -4.147834903700748;6.968160654344
-8.741329877569607 -4.160131988955048;6.911320706595
-8.729103409529534 -4.172218189782573;6.8557417165758
-8.717067596712784 -4.184111460322708;6.801327044226
-8.705206644122084 -4.195827609010801;6.747991668580
-8.693506565080883 -4.207380632797221;6.695660375000
-8.681954911334993 -4.218782987535045;6.644266288702
-8.670540552623313 -4.230045808800859;6.593749677164
-8.659253495086404 -4.241179093799749;6.544056963630
-8.648084730483363 -4.252191852405196;6.495139908034
-8.637026110071874 -4.263092233490674;6.446954921955
-8.62607023839855 -4.273887631308043;6.399462491767
-8.61521038330291 -4.284584775629779;6.352626689882
-8.604440399208817 -4.29518980857483;6.306414758195
-8.593754661388726 -4.305708350444174;6.260796751137
-8.58314800934469 -4.316145556422223;6.215745228269
-8.572615697808438 -4.326506165645543;6.171234988263
-8.562153354148725 -4.336794543855101;6.127242837685
-8.551756941190181 -4.347014720626356;6.083747389184
-8.541422724627598 -4.357170421994964;6.040728884642
-8.531147244363602 -4.367265099154421;5.998169039632
-8.52092728920505 -4.377301953786735;5.956050906127
-8.510759874453349 -4.387283960498141;5.914358750925
-8.500642221991585 -4.397213886750251;5.873077947633
-8.490571742539412 -4.407094310622199;5.832194880433
-8.480546019791602 -4.416927636682393;5.791696858080
-8.470562796206506 -4.426716110212492;5.751572036855
-8.460619960235325 -4.436461829986342;5.711809351348
-8.450715534818825 -4.4461667597771966;5.672398452128
-8.440847667001881 -4.455832738746953;5.633329649483
-8.431014618537032 -4.465461490846291;5.594593862533
-8.421214757361101 -4.475054633337087;5.556182573083
-8.411446549851995 -4.484613684536427;5.518087783720
-8.401708553776768 -4.494140070866326;5.480301979655
-8.39199941185972 -4.503635133282615;5.442818093947
-8.382317845903488 -4.513100133150902;5.405629475714
-8.372662651406175 -4.522536257624285;5.368729861058
-8.3630326926258 -4.531944624572771;5.3321133464052
-8.353426898048408 -4.541326287112375;5.295774364036
-8.34384425621579 -4.5506822377670595;5.25970765959
-8.33428381188395 -4.560013412306306;5.2239082713395
-8.324744662477572 -4.569320693280759;5.1883715110901
-8.315225954814473 -4.578604913290124;5.153092946543
-8.305726882076174 -4.587866858004382;5.118068384990
-8.296246681000046 -4.59710726896231;5.083293858212
-8.28678462927698 -4.606326846164891;5.0487656084992
-8.277340043133647 -4.615526250481964;5.0144800756640
-8.267912275085427 -4.624706105889489;4.98043388499
-8.258500711845537 -4.63386700154996;4.946623836026
-8.24910477237676 -4.643009493749563;4.913046892142
-8.239723906075278 -4.652134107703512;4.879700170819
-8.230357591074121 -4.66124133923994;4.846580934577
-8.221005332658857 -4.670331656372631;4.8136865825
-8.211666661786683 -4.679405500769566;4.781014642409
-8.202341133698367 -4.6884632891282765;4.748562763315
-8.193028326619963 -4.697505414461072;4.716328708656
-8.183727840544174 -4.706532247300335;4.6843103497413
-8.174439296087527 -4.71554413682788;4.6525056596957
-8.165162333417788 -4.72454141193317;4.620912707768
-8.155896611244993 -4.733524382207693;4.589529653986
-8.146641805873797 -4.742493338878613;4.558354744133
-8.137397610310613 -4.751448555686349;4.52738630503
-8.128163733424557 -4.7603902897079005;4.496622740122
-8.118939899154988 -4.769318782132757;4.466062525258
-8.109725845766215 -4.7782342589930655;4.435704204803
-8.10052132514395 -4.787136931850103;4.405546387921
-8.091326102130754 -4.796026998441954;4.375587745081
-8.082139953899791 -4.804904643292939;4.345827004772
-8.07296266936234 -4.813770038287133;4.316262950397
-8.063794048606571 -4.822623343210594;4.286894417340
-8.05463390237071 -4.831464706261873;4.2577202902002
-8.045482051539953 -4.8402942645329325;4.22873950017
-8.0363383266738 -4.849112144464487;4.199951022581
-8.027202567556895 -4.857918462272459;4.171353874535
-8.018074622774007 -4.866713324353908;4.142947112719
-8.008954349307206 -4.875496827667737;4.114729831298
-7.999841612154872 -4.884269060094983;4.086701159935
-7.990736283968164 -4.89303010077629;4.058860261913
-7.98163824470927 -4.901780020434292;4.031206332354
-7.972547381324897 -4.9105188816747996;4.003738596535
-7.963463587436723 -4.919246739270705;3.9764563082830
-7.954386763048502 -4.927963640430344;3.949358748459
-7.945316814267765 -4.936669625052234;3.9224452235218
-7.936253653039832 -4.945364725960662;3.895715064153
-7.927197196896783 -4.9540489691309375;3.8691676239648
-7.918147368718981 -4.962722373900556;3.8428022782626
-7.909104096506545 -4.971384953166819;3.8166184228737
-7.900067313164549 -4.980036713573637;3.790615473032
-7.891036956297048 -4.98867765568554;3.7647928623227
-7.882012968011088 -4.997307774151809;3.7391500416647
-7.872995294731489 -5.005927057859412;3.7136864783608
-7.863983887024135 -5.0145354900768915;3.688401655179
-7.8549786994269715 -5.023133048587788;3.6632950694877
-7.845979690290188 -5.031719705815225;3.638366232418
-7.836986821623903 -5.040295428938214;3.6136146680869
-7.828000058951696 -5.04886017999714;3.5890399128331
-7.819019371173427 -5.057413915994919;3.564641514506
-7.810044730433978 -5.065956588989133;3.5404190317824
-7.801076111996159 -5.074488146172477;3.5163720335059
-7.792113494122989 -5.08300852995336;3.4925000980706
-7.783156857962217 -5.091517678023041;3.4688028128213
-7.774206187439177 -5.100015523419911;3.4452797734855
-7.765261469152919 -5.108501994585441;3.421930583628
-7.756322692276757 -5.116977015413571;3.3987548541342
-7.747389848465937 -5.1254405052958685;3.3757522027048
-7.738462931767345 -5.1338923791587385;3.352922253386
-7.729541938534407 -5.1423325474952915;3.33026463611
-7.720626867344435 -5.150760916391965;3.3077789862593
-7.7117177189226265 -5.159177387549446;3.285464944239
-7.702814496067559 -5.167581858297114;3.263322155088
-7.693917203580432 -5.1759742216050615;3.241350268080
-7.685025848197335 -5.184354366086323;3.2195489363587
-7.676140438524976 -5.19272217599856;3.197917816577
-7.667260984980989 -5.201077531237727;3.176456568559
-7.658387499732146 -5.209420307327237;3.155164854963
-7.649519996642062 -5.217750375404132;3.134042340967
-7.6406584912140465 -5.226067602196339;3.113088693960
-7.6318030005435125 -5.234371849999672;3.0923035832469
-7.6229535432669095 -5.242662976646777;3.07168667975
-7.614110139515693 -5.2509408354722185;3.051237655783
-7.605272810872059 -5.259205275273407;3.0309561846866
-7.596441580325942 -5.267456140265173;3.010841940662
-7.587616472234267 -5.275693270031672;2.9908945984754
-7.578797512281495 -5.283916499470263;2.971113833221
-7.569984727442268 -5.292125658735501;2.9514993200846
-7.56117814594564 -5.300320573171742;2.9320507341108
-7.552377797240605 -5.308501063247088;2.9127677499807
-7.543583711963068 -5.316666944477966;2.8936500417914
-7.53479592190267 -5.324818027351381;2.8746972828398
-7.526014459972929 -5.332954117240184;2.855909145414
-7.517239360182866 -5.341075014313852;2.837285300591
-7.508470657606693 -5.349180513444711;2.818825418033
-7.499708388356248 -5.357270404106072;2.800529165787
-7.490952589554975 -5.365344470269624;2.7823962100975
-7.482203299311584 -5.373402490292037;2.7644262152072
-7.4734605566960886 -5.381444236801291;2.746618843175
-7.464724401713563 -5.389469476571805;2.728973753686
-7.455994875280205 -5.3974779703951565;2.7114906038695
-7.447272019202815 -5.4054694729494415;2.694169048112
-7.438555876151824 -5.413443732653509;2.677008737883
-7.429846489641702 -5.421400491523461;2.6600093215483
-7.421143904007824 -5.429339485016357;2.64317044419
-7.412448164385216 -5.437260441870748;2.6264917474498
-7.403759316686032 -5.445163083937147;2.609972869306
-7.395077407577645 -5.4530471260041375;2.593613443941
-7.386402484462997 -5.46091227561459;2.5774131015378
-7.377734595457332 -5.4687582328758575;2.561371468107
-7.3690737893673806 -5.476584690260204;2.545488165312
-7.360420115670504 -5.484391332399794;2.5297628102798
-7.3517736244910115 -5.492177835868089;2.514195015426
-7.343134366579358 -5.499943868957906;2.498784388271
-7.334502393289151 -5.507689091447081;2.483530531253
-7.325877756554956 -5.515413154356137;2.4684330415402
-7.317260508867803 -5.523115699691828;2.4534915108467
-7.3086507032516765 -5.530796360187615;2.4387055252365
