Point;Valeur
-9.448922931186381 9.344963139664422;88.30264648741
-1.69501810845352 1.5910583169315604;2.69968264475
5.755665146735058 -5.857325627238568;33.7154920276
6.816513835262972 -6.911462764018645;47.114425530596
3.477025319638108 -3.5651283502834996;12.398059699137
-1.1174155801196295 1.036246418905585;1.1596308858386
-4.167954331852913 4.094252283804218;17.06606885987
-4.2471652898713925 4.180921656538238;17.758206276249
-2.1001692196215433 2.0409077485389853;4.287164733276
0.6767909420217624 -0.7294225557855438;0.4943868012215
2.5328956784059713 -2.5791246944913224;6.533209444448
2.6904046673088438 -2.730579723403209;7.346784081437
1.4495271978232989 -1.484118709098625;2.151581542526
-0.27478414280272356 0.2453103157685359;0.06763324852393
-1.5239281429783635 1.4991154899955224;2.2847043583934
-1.7633589221879868 1.7427206307464096;3.0731527172669
-1.082614825919312 1.0656605576018143;1.1537746553328
-0.006201133303606277 -0.007516761838200381;2.314526081475585e
0.855157552898486 -0.8660385896363112;0.7406302242387
1.1170785371213157 -1.125490483457681;1.2572796606235
0.7716260703103894 -0.7779123420553403;0.6002677180213
0.11255978767171027 -0.11703931659598177;0.013179137831925
-0.47168144949384383 0.4687121965100225;0.22108514052574
-0.7065509576939867 0.7048175612782726;0.49799030413311
-0.5455367146075416 0.5447918215259553;0.2972040847254
-0.1473055401587326 0.14733405577957454;0.02170312288180
0.24425526425451988 -0.24363571840062198;0.05950940657742
0.43693682938660755 -0.4358794353177489;0.19045206916393
0.3751839162949064 -0.37381774990954514;0.1402508926583
0.14043837874644982 -0.1388734768141372;0.019503802653355
-0.11660768745145766 0.1182765892863974;0.013792683716999
-0.26420546373469866 0.2658973856685962;0.07025228636237
-0.2510365359509296 0.2526844497467169;0.06343373501425
-0.11569690744427336 0.11724820895671681;0.01356588087913
0.050352357196318503 -0.04893629289952087;0.002464579061844
0.15860154097854795 -0.1573470410487146;0.024955892358960
0.16680650433063582 -0.16573017994200614;0.027645173181502
0.09078863699070508 -0.08990015724225507;0.008162117984302
-0.014959344864958854 0.015655055046238125;0.00023431521060723
-0.09201153671751633 0.09251309445210956;0.008512337392673
-0.10782057257045813 0.10812980736953667;0.011658642605318
-0.06677012782363564 0.06689213232058781;0.004466400095566
-0.0006617082248555201 0.0006047545167693763;4.0101440622965987e
0.052554466691426494 -0.05277942845570157;0.002773807872794
0.06889598213914308 -0.06927622174140045;0.0047728909271231
0.04752679451431542 -0.04804884164675792;0.0022836782822305
0.006581023784102455 -0.007231528450073875;4.7700881368666886e
-0.029644692416857722 0.028878487954621883;0.0008562465308909
-0.04403623748147033 0.043166420699198835;0.001901083464256
-0.033780778342915804 0.03281891928326701;0.0011088891827032
-0.008934264252548282 0.007891580907262288;7.078813822106556e
0.015156737941917235 -0.016269359075612784;0.00024691227269667
0.026576922723425114 -0.02774908525502008;0.0007378425253685
0.02212140962740159 -0.02334346618466096;0.0005167786673738
0.007171294101569374 -0.008434577260566132;6.090176408627833e
-0.008704381481965643 0.00740745737690445;6.491465797489197e
-0.017373311284449307 0.01604930359570992;0.0002792853263204
-0.015931023304797495 0.014585620912523908;0.0002328344946476
-0.007120344862062597 0.005758547954338163;4.148501495226366e
0.003164933259999862 -0.004538688056847852;1.4855317370766253e
0.009463445207957385 -0.010845243507959127;0.00010312980300541
0.009403036120245767 -0.010789507354270285;0.00010195392601738
PointOptimal;ValeurOptimale
[ 0.00940304 -0.01078951];0.00010195392601738298
Temps;Nb iteration
0.003751516342163086;61
