Point;Valeur
1.0333167303618023 -5.661099157786436;11.417964722828
-4.987838116368801 0.7024153885376752;8.278394717087
0.4341589165897357 -4.402556562572363;6.005935955357
-3.8930202887248218 0.21818786852536043;4.360552061225
0.04576795630686581 -3.4487589773744936;3.1687331014507
-3.060806889559206 -0.09045899593971818;2.305046419093
-0.1966863501878553 -2.7214820597703913;1.6788054124703
-2.424198250384177 -0.2781218972359554;1.2244362701878
-0.33913987825615344 -2.163304778437497;0.8945166883615
-1.9339500586254859 -0.3834098934750563;0.6547452724121
-0.41400618763657016 -1.7319653280146563;0.48030601138640
-1.553765546407712 -0.43350027708584093;0.3532408229444
-0.4440394368137339 -1.3962649157376994;0.2605505417781
-1.2568048437731099 -0.4474131866876009;0.19282230459338
-0.4451095938407562 -1.1330925023646357;0.14323733916991
-1.0231484066651086 -0.4383629344194675;0.10685366613857
-0.4281940252179206 -0.9252616766258328;0.08008748588757
-0.8379518418025782 -0.4154443381047648;0.060338167508302
-0.4008048422255744 -0.759936220368321;0.04571703483559
-0.6901020476911295 -0.38484037627009327;0.034851184158007
-0.36801023194041593 -0.6274826526478763;0.02674154510960
-0.5712370843653807 -0.3506855267634392;0.020660160399266
-0.3331638569716604 -0.5206326809337374;0.01607582527082
-0.4750301472340553 -0.3156816468662159;0.01260023755566
-0.29842454801183155 -0.43387077332479335;0.009948984364397
-0.3966654795368513 -0.28153618802073416;0.007913263460029
-0.2651255231846976 -0.36298542097345804;0.0063393734805191
-0.3324539237054689 -0.24927301058503842;0.005113828337677
-0.23403578250041834 -0.3047395586526268;0.004152544672891
-0.27955018781859664 -0.2194519780893316;0.0033929803189737
-0.20554436368029538 -0.25662784195029564;0.0027884119146148
-0.23574430947168487 -0.19232335294218444;0.0023037641025289
-0.1797895211725276 -0.21669733422269902;0.0019125649310485
-0.19930733459432295 -0.16793569350172835;0.0015947193830622
-0.15674867454413155 -0.18341456947286877;0.0013348778138893
-0.16887668732461147 -0.1462106766351653;0.0011212374794147
-0.13630049497035884 -0.15556660405640227;0.0009446597747718
-0.14337066321096395 -0.1269944704878284;0.000798017977225
-0.11826727499525583 -0.13218703880990637;0.0006757135892000
-0.1219243469130186 -0.11009254767057983;0.0005733162620505
-0.10244340751416985 -0.11250043687024495;0.00048729452225475
-0.10384133742630433 -0.09529286247364263;0.00041481340170199
-0.08861413269878637 -0.09588033640855416;0.0003535815203999
-0.0885571757733421 -0.08238090262006408;0.0003017348539642
-0.0765675142059941 -0.08181734638628013;0.00025774782512863
-0.07561146913086159 -0.07114911177760853;0.00022036483937294
-0.06610174708547717 -0.06989475083575682;0.00018854719383081
-0.06462650513140264 -0.06140245194365984;0.00016143160995362
-0.05702928452096796 -0.059769729730549455;0.0001382976072879
-0.055290732812529005 -0.05296135438438204;0.0001185416447902
-0.04917883054020266 -0.0511588022041309;0.00010165647739485
-0.047345911917797405 -0.04566293600345851;8.721455989845438e
-0.04239593182394913 -0.04382646135113449;7.485461453042455e
-0.04057704308911324 -0.039361092991009;6.427068965991138e
-0.03654267821340196 -0.03757623579679147;5.520319446004993e
-0.0348044191596597 -0.03392589521377942;4.7431512219589024e
-0.03149686287790236 -0.0322436082319007;4.076788372892596e
-0.02987730489928594 -0.02924257134839026;3.5052319345563654e
-0.027150840943543777 -0.02769036446180515;3.014834950980605e
