Point;Valeur
1.7199185070987166 -5.7272746915414885;14.02576067035
-2.024137955429232 -1.8379581254523303;0.15782359365216
-1.68615578423061 -1.8797362624530374;0.136524211273
-1.5763816401221993 -1.5621430605387876;0.09855405725372
-1.2993260848880281 -1.304825571058751;0.06782361955873
-0.9953608149762729 -0.9947348106943119;0.039604903963472
-0.6626984066590877 -0.6628656626551961;0.017571208012212
-0.32019007607196365 -0.3201662614801884;0.004100562532215
0.01819668463080798 0.01819136026896334;1.3240905203484979e
0.3386749324522091 0.3386757867504137;0.004588039968225
0.6290312933019602 0.6290311190226257;0.015827210333047
0.878881006086164 0.8788810359003838;0.030897273962487
1.0800301647293864 1.0800301589339463;0.046658606018645
1.226695280485729 1.2266952815123462;0.06019125249701
1.3156194553634049 1.3156194551689049;0.06923418204299
1.3460779078743106 1.3460779079104475;0.07247702936463
1.3197796231802261 1.3197796231738546;0.06967273015013
1.2406741541343116 1.2406741541347897;0.061570894269499
1.1146763404497102 1.1146763404501416;0.04970013375835
0.9493243762008968 0.9493243762012822;0.03604867084998
0.7533886184001246 0.7533886183993264;0.022703776413369
0.5364496672308967 0.5364496672306336;0.011511129818879
0.30846457124498566 0.30846457124496784;0.0038060156685338
0.0793395438440713 0.07933954384406522;0.00025179052869539
-0.14147361971823005 -0.14147361971824227;0.0008005914030472
-0.3453420769274408 -0.34534207692745905;0.0047704460038625
-0.5247644537325721 -0.5247644537325964;0.011015109276050
-0.6736211598919398 -0.67362115989197;0.018150618682167
-0.7873553877316813 -0.7873553877311484;0.02479714026358
-0.8630808800882018 -0.8630808800888183;0.02979634422297
-0.8996157537038431 -0.8996157537038906;0.032372340172487
-0.8974447321618109 -0.8974447321618642;0.032216281891401
-0.8586149585806339 -0.8586149585806928;0.029488785883938
-0.7865730199422616 -0.7865730199423262;0.02474788462804
-0.6859528391617634 -0.6859528391618336;0.018821251902165
-0.5623256169213415 -0.5623256169214172;0.012648403977840
-0.42192399556060406 -0.42192399556054294;0.007120794321191
-0.27135305840646795 -0.2713530584064847;0.002945299292261
-0.11730067956833845 -0.11730067956834342;0.0005503779770877
0.03374086728667408 0.03374086728667414;4.553784501027823e
0.17573119672752122 0.17573119672752624;0.0012352581401315
0.30330660633617834 0.3033066063361882;0.0036797958978869
0.4119657551128498 0.4119657551128645;0.006788631335428
0.49821059159289593 0.4982105915931999;0.009928551743019
0.5596390175402891 0.559639017540595;0.012527833198145
0.5949879297000457 0.5949879296997844;0.014160425459543
0.604127385275305 0.6041273852753358;0.014598795905583
0.5880086029974422 0.5880086029969087;0.013830164687947
0.5485702671913573 0.5485702671914031;0.012037173521856
0.488609085839449 0.48860908583921486;0.00954955355058
0.41162171813273646 0.4116217181325096;0.00677729755353
0.3216260009148793 0.32162600091487303;0.00413773137857
0.22296985099372374 0.22296985099365135;0.0019886221780858
0.12013630180628818 0.1201363018062837;0.0005773092404676
0.01755286349821797 0.017552863498216525;1.2324120679481896e
-0.08058719606927645 -0.08058719606928377;0.000259771846812
-0.17048492498439732 -0.17048492498441048;0.001162604385877
-0.2488714958693614 -0.24887149586938032;0.002477480858250
-0.3131154088027064 -0.3131154088026599;0.00392165036918
-0.3612981404198334 -0.3612981404198644;0.0052214538508336
-0.39225673388738824 -0.39225673388735377;0.0061546138111995
-0.40559325602200585 -0.4055932560219065;0.006580235573219
-0.40165241000490587 -0.40165241000502677;0.006452986338511
-0.38146983257802103 -0.38146983257779105;0.00582076932668
-0.34669467860723124 -0.3466946786072228;0.004807888006982
-0.29949096785308704 -0.2994909678530846;0.0035877935930231
-0.24242281314397965 -0.24242281314398312;0.0023507528133056
-0.17832905104275798 -0.1783290510427673;0.001272050017832
-0.11019295127349492 -0.11019295127349225;0.0004856994604145
-0.041012595789338704 -0.04101259578933973;6.728132053518898e
0.026322791938234738 0.026322791938234516;2.7715575016943662e
0.08914579793120136 0.08914579793120195;0.00031787893155162
0.1451089603357731 0.1451089603357745;0.0008422644147891
0.19226482898054031 0.19226482898050692;0.001478630578516
0.22912557424229174 0.22912557424229504;0.002099941150874
0.25470073585740793 0.25470073585744757;0.0025948985938526
0.2685126698762956 0.2685126698763712;0.0028839621553646
0.2705901886883411 0.2705901886883101;0.00292876200857
0.2614417580873884 0.26144175808746517;0.0027340717148737
0.24201038450908496 0.24201038450909065;0.002342761048409
0.21361296835519417 0.2136129683552006;0.0018252200099807
0.17786739578193372 0.1778673957819409;0.0012654724192899
0.13661097849810763 0.13661097849809778;0.0007465023778483
0.0918140232462367 0.09181402324624553;0.00033719259458645
0.04549232100747624 0.04549232100747688;8.278205082589167e
-0.00037780147633553057 -0.0003778014763353432;5.7093582208494315e
-0.043938514603160214 -0.043938514603160485;7.722372262128558e
-0.0835206621541763 -0.08352066215416368;0.00027902804026683
-0.11770265171225798 -0.11770265171225927;0.0005541565688038
-0.14535621569842072 -0.1453562156984358;0.0008451371776867
-0.16567783103891198 -0.16567783103890515;0.0010979657479102
-0.17820523478671263 -0.1782052347866841;0.0012702842282152
-0.18281911255262387 -0.18281911255264496;0.0013369131165813
-0.17973064062777305 -0.1797306406277366;0.0012921241272185
-0.1694561082318255 -0.16945610823182097;0.0011486149046830
-0.15278031399228 -0.1527803139923071;0.000933672973743
-0.13071080530964643 -0.1307108053096337;0.0006834125849877
-0.10442530005356195 -0.10442530005355423;0.00043618573165102
-0.07521479120618764 -0.07521479120619379;0.00022629059264763
-0.04442488556196052 -0.04442488556195816;7.894281828772754e
-0.01339787093622899 -0.013397870936229468;7.180117824954243e
0.01658214972797099 0.01658214972797076;1.0998707584033784e
0.04433896300792134 0.04433896300792135;7.86377456247129e
0.06884701162070739 0.06884701162070321;0.00018959644036406
0.08926582057772325 0.08926582057771491;0.00031873546893654
0.10496509334591633 0.10496509334591277;0.00044070683284466
0.11553992107757127 0.11553992107756354;0.000533978934504
0.1208159815101191 0.12081598151011615;0.0005838600555301
0.12084502080346629 0.12084502080345028;0.0005841407621195
PointOptimal;ValeurOptimale
[0.12084502 0.12084502];0.0005841407621195319
Temps;Nb iteration
0.003957271575927734;108
