Point;Valeur
2.848335958435925 -6.505914930957677;22.00928126483
-2.846652535567893 -0.8109264327486958;1.1698240305195
-1.521528765863229 -1.9320912536220167;0.16141530147856
-1.6885236318135666 -1.6039421427612153;0.11019181584004
-1.5547585488981406 -1.5755216814417359;0.0980943201228
-1.4895579176636646 -1.486567564610359;0.08857546441525
-1.4126459104669804 -1.415176541999;0.07996739925069
-1.3422889484361253 -1.3433586583590431;0.07212731674867
-1.2739748234335249 -1.2753373327683744;0.06499038880550
-1.2087348711590304 -1.2099329596731414;0.058499899613046
-1.1461852866751976 -1.1473482862232665;0.05260330064211
-1.0863230571369267 -1.0874172835093163;0.047251770018
-1.029040042162426 -1.0300790165788105;0.042399982847673
-0.9742606333429183 -0.9752434696695298;0.03800590396843
-0.9219010437253695 -0.9228312951204721;0.034030590361751
-0.8718819161712666 -0.8727615694384975;0.030438002366273
-0.8241242969626104 -0.8249557669875922;0.027194823408780
-0.7785510156304294 -0.7793364593494285;0.024270288077450
-0.7350862333563685 -0.7358277974849655;0.02163601834059
-0.6936556335762802 -0.6943553645682932;0.019265867715568
-0.654186375723501 -0.654846256522674;0.017135773183520
-0.6166071364151724 -0.6172290739179411;0.015223614640856
-0.580848113875114 -0.5814339462601495;0.013509081673018
-0.5468410447900677 -0.5473925405944285;0.011973547430739
-0.5145192133637693 -0.51503807412756;0.010599949386388
-0.4838174611099144 -0.48430532245413643;0.009372676742730
-0.45467219362301375 -0.45513062705199275;0.008277464265384
-0.4270213860019084 -0.427451900376813;0.007301292307005
-0.4008045861406879 -0.4012086293182803;0.0064322927904306
-0.37596291626663453 -0.37634187665937463;0.005659660917339
-0.35243907255367335 -0.35279428073085894;0.004973572369061
-0.330177322917276 -0.33051005318250465;0.004365105766733
-0.30912350296736685 -0.3094349749449274;0.0038261701596699
-0.28922501017771257 -0.289516390384228;0.0033494373128501
-0.27043079628308625 -0.2707031996987282;0.0029282785669776
-0.25269135796064207 -0.2529458495861695;0.002556706048054
-0.23595872582889624 -0.2361963222351019;0.002229318007136
-0.22018645181979915 -0.22040812268072013;0.001941248075285
-0.20532959496843117 -0.20553626458530205;0.0016881182235509
-0.1913447056879506 -0.19153725449164216;0.001465995223070
-0.1781898085770175 -0.1783690746185817;0.0012713504059353
-0.16582438383463893 -0.16599116425237154;0.0011010225334497
-0.15420934733743616 -0.15436439980843453;0.0009521835845936
-0.14330702945817012 -0.14345107362400797;0.0008223072840133
-0.13308115268576337 -0.1332148715599087;0.0007091401954748
-0.12349680812815943 -0.12362084947617014;0.0006106752135625
-0.11452043096495243 -0.11463540866246684;0.0005251272933212
-0.10611977492936206 -0.10622627029257481;0.00045091126452956
-0.09826388589262276 -0.09836244898355953;0.0003866215843391
-0.09092307462962826 -0.0910142255325582;0.00033101388902483
-0.08406888884037254 -0.08415311891118353;0.0002829882125958
-0.07767408450619075 -0.07775185759215784;0.00024157374693481
