Point;Valeur
4.101155896472957 1.521402359825629;1.9799136909158
3.7863544509357507 1.8362037721924003;1.2669035271754
3.5133548273893798 2.099511955366557;0.8147806519020
3.294203631866544 2.2949615221794315;0.5620088696350
3.124817919692027 2.4273642419790407;0.429877675702
2.9950427961771036 2.509952099829985;0.3618779339712
2.894514055599057 2.556312721829274;0.32571016111621
2.814806221612862 2.577396129287506;0.3048493499150
2.749684515304921 2.5812023584698838;0.2912801079027
2.69472783351918 2.573333122967274;0.28120883135006
2.6468629087314754 2.5576399006370556;0.27285868122060
2.603973315826627 2.5367508813200716;0.26540016663654
2.5646078873751907 2.5124541960748203;0.2584455958711
2.527773442917037 2.4859650254478503;0.25181272023443
2.4927905845435046 2.458108682242131;0.24541474408539
2.459194381581061 2.4294453257313884;0.23920923346010
2.4266663093998417 2.4003547569953803;0.23317439820171
2.394987723848131 2.371094061506459;0.2272980826219
2.3640080991443395 2.341836807920839;0.2215726544321
2.3336233603297387 2.312699716972378;0.2159926310995
2.303761108320205 2.283760813070203;0.2105535767448
2.274370547606195 2.2550717826273177;0.20525158881153
2.2454156209759843 2.2266663899318706;0.20008305853904
2.216870330728565 2.1985662089902833;0.19504455858099
2.1887155502046474 2.170784527617225;0.1901327896780
2.160936851088567 2.1433290066940573;0.18534455479078
2.133523022903902 2.1162034914390917;0.18067674600963
2.1064650641731495 2.089409245055613;0.17612633742990
2.079755494958422 2.0629457888780918;0.1716903808256
2.053387888357583 2.0368114744459427;0.16736600264932
2.027356551189125 2.011003873000073;0.16315040167756
2.0016563062826114 1.9855200405521984;0.15904084697552
1.9762823440190627 1.9603566982550769;0.15503467603982
1.95123012101046 1.9355103550390693;0.15112929304216
1.9264952909099329 1.9109773909578878;0.1473221671455
1.9020736571139516 1.8867541137483006;0.1436108308748
1.8779611403489018 1.8628367971688555;0.13999287853252
1.8541537564313872 1.8392217069200205;0.1364659646585
1.8306476009235708 1.815905118116906;0.1330278025272
1.8074388385219726 1.7928833270015843;0.12967616268450
1.7845236956427732 1.7701526587427303;0.12640887151966
1.7618984551962253 1.747709472569263;0.12322380987334
1.7395594528606242 1.725550165094839;0.1201189116804
1.7175030743632462 1.7036711724018878;0.11709216264525
1.6957257534688892 1.682068971301684;0.11414159895166
1.6742239704296797 1.6607400800089969;0.1112653060024
1.652994250771424 1.6396810584520765;0.10846141719213
1.6320331643000492 1.6188885083050109;0.10572811270943
1.6113373242539197 1.5983590728536488;0.10306361836840
1.5909033865732698 1.5780894367409652;0.10046620446974
1.5707280492464475 1.558076325639325;0.09793418469060
1.5508080516920093 1.5383165058675448;0.09546591500044
1.531140174190794 1.5188067839683226;0.09305979260443
1.5117212373519904 1.499544006281077;0.09071425491426
1.4925481015805475 1.4805250584876384;0.08842777854248
1.4736176665760643 1.4617468651549421;0.08619887832303
1.4549268708356276 1.4432063892786346;0.084026106355
1.4364726911721546 1.4249006318260584;0.08190805107503
1.4182521422376835 1.4068266312786342;0.07984333634089
1.4002622760545123 1.3889814631721051;0.07783062055297
1.382500181555808 1.3713622396541236;0.07586859578697
1.3649629841273687 1.3539661090268933;0.07395598695150
1.3476478451643337 1.3367902553165358;0.07209155096745
1.330551961621706 1.3198318978256014;0.07027407596613
1.3136725655801746 1.303088290703776;0.06850238050846
1.297006923812504 1.2865567225204535;0.06677531282329
1.2805523373569192 1.270234515839576;0.06509175006461
1.2643061410939702 1.2541190268014306;0.06345059758729
1.248265703329452 1.238207644708693;0.061850788240
1.2324284253824316 1.2224977916179007;0.060291281680897
1.216791741178715 1.2069869219359797;0.05877106369779
1.2013531168455946 1.1916725220175541;0.057289145561620
1.186110050316546 1.1765521097739577;0.055844563384089
1.1710600709378693 1.1616232342818857;0.05443637749602
1.1562007390795275 1.1468834753967625;0.05306367184033
1.1415296457521162 1.132330443374342;0.0517255533803
1.1270444122261283 1.117961778490814;0.05042115152246
1.112742689659609 1.1037751506746727;0.04914961755406
1.0986221587252396 1.0897682591367226;0.047910124094381
1.0846805292477522 1.0759388320091394;0.046701864560034
1.0709155398388641 1.0622846259850265;0.04552405264319
1.057324957541921 1.0488034259635388;0.044375921803183
1.0439065774814462 1.0354930447017547;0.0432567247708
1.0306582225089476 1.0223513224666787;0.042165733064688
1.017577742864227 1.0093761266967367;0.04110223652022
1.0046630158307155 0.9965653516591325;0.0400655428297
0.9919119454031184 0.9839169181221683;0.03905497709470
0.9793224619524656 0.9714287730199349;0.038069881388704
0.966892521898353 0.9590988891302277;0.03710961433148
0.954620107385977 0.9469252647520552;0.036173550673785
0.9425032259646006 0.9349059233872304;0.035261080892312
0.9305399102725858 0.9230389134276087;0.03437161079511
0.9187282177233876 0.9113223078438872;0.03350456113657
0.9070662301981263 0.8997542038796754;0.032659367242231
0.8955520537392898 0.888332722748697;0.03183547864284
0.8841838182507049 0.8770560093368855;0.031032358717785
0.8729596771991288 0.8659222319052845;0.030249484347172
0.8618778073206744 0.8549295817998002;0.02948634557285
0.8509364083291866 0.8440762731615755;0.02874244526777
0.8401337026313854 0.8333605426440318;0.028017298813752
0.829467935041883 0.8227806491305413;0.027310433787212
0.8189373725040131 0.812334873457023;0.026621389652844
0.8085403038129486 0.8020215181371286;0.025949717464903
0.7982750393425535 0.7918389070923595;0.025294979576053
0.7881399107758135 0.7817853853826389;0.02465674935342
0.7781332708385269 0.7718593189435785;0.02403461090188
0.7682534930352979 0.7620590943247919;0.02342815879417
0.7584989713902403 0.7523831184314029;0.022836997807791
0.7488681201906313 0.7428298182697263;0.02226074266859
0.7393593737314329 0.7333976406955663;0.021699017800637
0.7299711860664579 0.7240850521659157;0.021151457082498
0.7207020307604102 0.7148905384917181;0.020617703609516
0.711550400644687 0.7058126045979385;0.020097409462172
0.7025148075752645 0.6968497742831429;0.019590235480147
0.6935937821946718 0.6880005899812259;0.01909585104206
0.6847858736969346 0.6792636125303554;0.018613933850867
0.6760896495938855 0.6706374209402678;0.018144169724417
0.6675036954865355 0.6621206121654228;0.017686252391500
0.659026614837655 0.6537118008792427;0.017239883292842
0.6506570287477353 0.6454096192520723;0.01680477138717
0.64239357573361 0.6372127167318857;0.016380632962171
0.634234911509898 0.6291197598268669;0.015967191450069
0.6261797087729505 0.6211294318916183;0.015564177247998
0.6182266569883458 0.6132404329149566;0.015171327542776
0.6103744621792868 0.605451479312023;0.014788386140110
0.602621846718952 0.59776130371701;0.014415103298074
0.5949675491258383 0.590168654780207;0.014051235564823
0.5874103238599314 0.5826722969660565;0.013696545620301
0.5799489411225143 0.5752710103546564;0.013350802121976
0.5725821866588918 0.5679635904453479;0.0130137795544
0.5653088615625103 0.5607488479629742;0.012685258082824
0.5581277820821567 0.5536256086667154;0.012365023409781
0.5510377794311979 0.5465927131604283;0.012052866636207
0.5440376995995012 0.5396490167063458;0.011748584125361
0.5371264031677181 0.5327933890407709;0.011451977370450
0.5303027651230495 0.5260247141913797;0.011162852865491
0.5235656746791418 0.5193418902976922;0.010881021979484
0.5169140350959415 0.5127438294339337;0.010606300833698
0.5103467635033629 0.5062294574328261;0.010338510182048
0.5038627907268035 0.4997977137130388;0.010077475294506
0.497461061114306 0.49344755110757305;0.009823025843398
0.49114053236693594 0.4871779356955159;0.009574995792615
0.4849001753698455 0.480987846634242;0.009333223289543
0.47873897402683446 0.4748762759957688;0.009097550559776
0.47265592509608223 0.4688422286034634;0.008867823804430
0.4666500380282951 0.46288472187124763;0.008643893100055
0.46072033480670854 0.4570027856454978;0.008425612301066
0.45486584978918615 0.4511954620477383;0.008212838944619
0.44908562955225517 0.4454618053205193;0.008005434157890
0.44337873273724054 0.43980088167428544;0.007803262567678
0.4377442298980165 0.43421176913650433;0.007606192212280
0.43218120335069765 0.4286935574027634;0.007414094455587
0.42668874702575205 0.42324534768988414;0.007226843903347
0.42126596632117197 0.4178662525898854;0.007044318321509
0.4159119779579081 0.41255539592742885;0.006866398556656
0.41062590983736624 0.40731191261762684;0.006692968458417
0.4054069009000049 0.40213494852626225;0.006523914803831
0.40025410098615727 0.3970236603313959;0.0063591272236212
0.3951666706986375 0.3919772153874363;0.006198498130322
0.39014378126685095 0.3869947915901109;0.006041922648217
0.3851846144128101 0.38207557724346236;0.005889298545034
0.3802883622184545 0.37721877092838163;0.005740526165355
0.37545422699523945 0.3724235813731186;0.005595508365720
0.3706814211548692 0.3676892273251361;0.005454150451346
0.3659691670815773 0.3630149374245035;0.005316360114442
0.36131669700655644 0.35839995007922065;0.005182047374083
