Point;Valeur
5.2275902450100915 -6.866069498847642;36.59099764270
4.9127887245444155 -6.551267978289651;32.88299516409
4.606516858229273 -6.244900603028809;29.46515824257
4.311658013135859 -5.949814764397441;26.351291466431
4.029405380266862 -5.667187425064081;23.532801308361
3.7602045771578325 -5.397457281760299;20.99249864475
3.504106953716413 -5.140673920359057;18.70984260455
3.2609359506985243 -4.896662128955597;16.66335760859
3.0303770403707566 -4.665110689650795;14.831856391768
2.8120309853028 -4.445624933795067;13.19507865188
2.605447408877656 -4.237759855379963;11.734015854627
2.4101468973383366 -4.041041903560915;10.431057421425
2.225635994434686 -3.8549837616220612;9.27003189590
2.05141757542623 -3.679094567799512;8.236185679829
1.886998102628197 -3.5128870608107547;7.316125093625
1.7318927136171003 -3.3558825886932344;6.497737812843
1.585628768071817 -3.2076145985347417;5.77010387322
1.4477482787290725 -3.0676310267704134;5.123402769307
1.3178095235481382 -2.9354958829881017;4.548820811892
1.1953880512367152 -2.810790236401695;4.038461360284
1.0800772345368936 -2.693112757149013;3.5852595143117
0.9714884853990144 -2.582079924871917;3.182902159467
0.8692512175151472 -2.4773259887737513;2.8257537941126
0.7730126209028811 -2.3785027428609253;2.508788257326
0.6824372979284484 -2.285279164993255;2.227526271582
0.5972067987132077 -2.1973409570933433;1.9779785831190
0.517019085231665 -2.11439001535347;1.756594402544
0.4415879467953602 -2.0361438527684355;1.5602148030151
0.3706423845285559 -1.962334991308581;1.3860307125867
0.3039259784903295 -1.8927103371583152;1.2315451331900
0.24119624800163741 -1.8270305493973236;1.0945392256846
0.18222401331190746 -1.7650694101202304;0.9730419147374
0.12679276482035404 -1.7066132020979803;0.8653026860233
0.07469804455592483 -1.6514600985982306;0.7697672695450
0.025746843413059238 -1.599419568799654;0.6850559253123
-0.020242983311048103 -1.5503118012940496;0.6099440702554
-0.06344328029049735 -1.5039671474280625;0.5433450074374
-0.10401613527067526 -1.4602255856463502;0.4842945399366
-0.1421144001820961 -1.418936207526692;0.4319372719259
-0.17788218993462593 -1.379956725835974;0.38551441834050
-0.21145535884847466 -1.343153004640445;0.34435296201106
-0.24296195491016775 -1.3083986112848263;0.30785601325015
-0.2725226522161832 -1.2755743898781815;0.2754942416241
-0.3002511621019919 -1.244568055794946;0.24679826308831
-0.3262546235528023 -1.215273810601631;0.22135187786830
-0.35063397356495224 -1.1875919767493683;0.19878606551581
-0.37348429817679696 -1.1614286513224583;0.1787736535389
-0.3948951649194448 -1.136695378103144;0.16102458498460
-0.4149509374571147 -1.113308837194633;0.14528171841963
-0.4337310731915739 -1.091190551437522;0.131317100996
-0.4513104046051288 -1.0702666088582127;0.1189286617748
-0.46775940510562886 -1.0504674003952539;0.1079372782730
-0.48314444012402663 -1.0317273721656832;0.09818417440855
-0.49752800419518955 -1.0139847915502573;0.08952861261830
-0.5109689447324811 -0.9971815263986514;0.08184584707835
-0.5235226731810708 -0.9812628366784787;0.07502530862649
-0.5352413642121084 -0.9661771779173589;0.06896899526995
-0.546174143591434 -0.9518760158125148;0.06359004508182
-0.5563672653313598 -0.9383136514091271;0.05881147088814
-0.5658642787065866 -0.9254470562742956;0.0545650384592
-0.5747061856890723 -0.9132357171203073;0.05079027197412
-0.58293158933047 -0.9016414893565649;0.04743357235328
-0.590576833594533 -0.8906284590745919;0.04444743567861
-0.5976761351172669 -0.880162812995769;0.04178976036030
-0.6042617073484505 -0.8702127159339228;0.039423232991046
-0.6103638775044296 -0.8607481953504352;0.03731478396479
-0.6160111967393962 -0.851741032599116;0.03543510494589
-0.6212305439214832 -0.8431646604811691;0.033758221170056
-0.626047223377592 -0.8349940667501144;0.03226111235341
-0.6304850569534686 -0.8272057032268028;0.030923376690698
-0.6345664707142621 -0.8197774002023687;0.029726933049189
-0.6383125765943125 -0.8126882858255211;0.028655757019902
-0.64174324928713 -0.8059187101868195;0.027695646979485
-0.6448771986506403 -0.7994501738295196;0.02683401675286
-0.6477320378865107 -0.7932652604304636;0.026059711853575
-0.6503243477388444 -0.7873475734096989;0.025362846621900
-0.6526697369431924 -0.7816816762418657;0.024734659885460
-0.6547828991428146 -0.7762530362537325;0.024167387036399
-0.6566776664786125 -0.7710479717058744;0.0236541466587
-0.6583670600450868 -0.766053601967459;0.023188840051482
-0.6598633373958389 -0.7612578006037389;0.022766062180996
-0.6611780372696385 -0.7566491512076364;0.022381022762994
-0.662322021699962 -0.7522169058143794;0.022029476322020
-0.6633055156595994 -0.7479509457493968;0.02170766020745
-0.664138144385184 -0.7438417447671068;0.02141223966103
-0.6648289685165457 -0.7398803343471158;0.021140259133775
-0.6653865171788451 -0.7360582710217748;0.020889099141555
-0.6658188191271042 -0.732367605616258;0.020656438029161
-0.6661334320674491 -0.7288008542898602;0.020440218084552
-0.6663374702606755 -0.7253509712727856;0.020238615508404
-0.6664376305090537 -0.7220113231995425;0.020050013800359
-0.6664402166210258 -0.7187756649454985;0.019872980173272
-0.6663511624425305 -0.7156381168785535;0.019706244650978
-0.6661760535393307 -0.7125931434435349;0.019548681544281
-0.6659201476088147 -0.7096355330008074;0.01939929303456
-0.6655883936958422 -0.706760378846086;0.019257194625276
-0.665185450282808 -0.7039630613421239;0.019121602248714
-0.6647157023196811 -0.7012392310971569;0.018991820839847
-0.6641832772560305 -0.6985847931291573;0.01886723421020
-0.6635920601338576 -0.695995891957531;0.01874729607393
-0.6629457077955512 -0.6934688975686661;0.018631522094935
-0.6622476622596797 -0.691000392203597;0.018519482838893
-0.6615011633126437 -0.6885871579199334;0.018410797527252
-0.6607092603625137 -0.6862261648826792;0.018305128501877
-0.6598748235981887 -0.6839145603411259;0.01820217631954
-0.6590005544944657 -0.6816496582516429;0.018101675404612
-0.6580889957015261 -0.6794289295085894;0.0180033901963
-0.6571425403548519 -0.6772499927479636;0.01790711173444
-0.6561634408394337 -0.6751106056895378;0.017812654633580
-0.6551538170403423 -0.6730086569866813;0.01771985440151
-0.654115664109732 -0.6709421585537224;0.017628565062834
-0.653050859778731 -0.6689092383429935;0.017538657052931
-0.6519611712406903 -0.6669081335451098;0.01745001535159
-0.6508482616309909 -0.6649371841877925;0.01736253782898
-0.6497136961270171 -0.6629948271097619;0.01727613377983
-0.6485589476909285 -0.6610795902880006;0.017190722624356
-0.64738540247532 -0.6591900874972055;0.017106232757085
