Point;Valeur
5.2275902450100915 -6.866069498847642;36.59099764270
-2.9753580054666777 1.3368787516291292;4.675692604964
-6.337995707616766 4.82902557844497;31.198361009346
-2.948556924630519 1.5849383352373398;5.156739374384
1.8070664335351183 -3.0169874884683865;5.832513150191
3.333464550288647 -4.373184011864661;14.858918180722
1.281005951421931 -2.1612197888327223;2.9699772757136
-1.7310060534948195 1.0024925779008447;1.8733110108017
-2.9997017949315667 2.4170600936107514;7.338722052812
-1.8502821133851042 1.3998408538422853;2.642853798807
0.32366367828414266 -0.6558727849009098;0.2409765495824
1.6880659401593787 -1.9154238111032893;3.2468015128785
1.393124207880839 -1.5309628875288932;2.137761330401
0.055042732572857744 -0.11805165442949717;0.007530117945265
-1.0805054933801017 1.0792379132488727;1.1661229116869
-1.1710951510938568 1.2192095166188333;1.428412251043
-0.3481420322970664 0.4343049261004852;0.1531300511190
0.6020055868494375 -0.48793984927565703;0.2971253733573
0.9517287224941042 -0.8189346343825412;0.7839885235447
0.5675951617220918 -0.42402053093363945;0.24603155722633
-0.11176614140189944 0.2595714812091495;0.034691371676361
-0.5190511971591003 0.6658129391627072;0.3511911454745
-0.40486539002965233 0.546469141372821;0.22645986388363
0.03898092904109818 0.0943289015532024;0.0009435646246309
0.4128709557097893 -0.29021004747312495;0.1237311812432
0.4478864413147571 -0.33751061000428567;0.15433396029653
0.18132668345682829 -0.0841756863661538;0.01771726025776
-0.13253833672201398 0.21614570858848148;0.03046504278982
-0.25485173459313304 0.3251134878566548;0.0841392819525
-0.13728962158766406 0.1947862895302287;0.02760166135443
0.0799276954513648 -0.03437375339445248;0.0032869569184324
0.21038069298750084 -0.17579607353419116;0.037295084709314
0.1699100283811621 -0.14521061620276324;0.02483135577036
0.019309628651570238 -0.0033263745232379738;0.00013065180405779
-0.10995725243327184 0.11844497225285036;0.013042614474269
-0.1280840536952374 0.13029945402563184;0.016690558345521
-0.04590287918798995 0.04301542797934142;0.0019766997111207
0.05320653654980033 -0.0601229841891264;0.003211373440208
0.09014355521576892 -0.1001262477644767;0.00905164602304
0.04849528096135662 -0.060688260111470715;0.0029817480977059
-0.02563456170532681 0.011989825191121933;0.00035576041067883
-0.0706614771397026 0.05622865916800481;0.004027359735393
-0.05885564354088249 0.04419759749107327;0.002657141204937
-0.010489977490179186 -0.003937931783399275;1.2813971395999386e
0.030882033871795424 -0.044730461675518245;0.0014312301602494
0.03574995803552136 -0.04876369440622679;0.001787332935604
0.008024665680942563 -0.02002516808917329;0.00019813841421328
-0.02456441045818575 0.013694649951790518;0.00036712044279821
-0.03609535307324248 0.026422286229978886;0.0009780494882334
-0.021641359837774578 0.013183967384607155;0.0003039161289075
0.003164535816215664 -0.010430016423081808;4.673083473123446e
0.017981530835926084 -0.024114209327317837;0.00044338893242762
0.014028219306714454 -0.019112012134023436;0.00027482718448152
-0.0015913124511283301 -0.0025415830926666487;3.9656182880161564e
-0.014409349695583735 0.011123069327020951;0.0001630841016730
-0.014989195449562244 0.012442834913340164;0.00018819391197760
-0.005061656830631863 0.003147634797869392;1.6884752063864197e
0.005999348393893754 -0.007387943958584466;4.482418110910325e
0.009786755333683613 -0.01075329371819554;0.00010548274572788
0.0050347349019662984 -0.005675366201473865;2.8680670496096636e
-0.002836664601708067 0.002435963501613578;6.951757392700472e
-0.007151855778962544 0.00691639010322369;4.947943999125699e
-0.005286314113851808 0.005152046496869989;2.724002333779678e
0.00015004083080912868 -0.00023777289060809403;3.7676839773034507e
0.0043356610327787305 -0.004422994256180701;1.917858688862335e
0.004340582247562469 -0.004465213356275789;1.9385664383276887e
PointOptimal;ValeurOptimale
[ 0.00434058 -0.00446521];1.9385664383276887e-05
Temps;Nb iteration
0.00377655029296875;65
