Point;Valeur
5.306367769860309 5.822438515153237;1.305085546830
7.6636809238699755 3.4646433371459793;5.646375172263
5.306152453928663 5.750076320036412;1.2716690467475
5.306984125168974 5.219304336116913;1.109949424054
5.045336334431956 5.018420959789257;1.0129732181179
4.823313991753961 4.790959087471721;0.9246041783770
4.606617379016553 4.576513313766272;0.8435254568934
4.3988731349212715 4.3700135788538885;0.7691419604843
4.199246506913832 4.171702395039373;0.7009175247158
4.007481695300247 3.98118614777735;0.6383610030251
3.8232691531301084 3.7981761927978326;0.5810217057742
3.64632650341619 3.6223891180416827;0.5284855174609
3.476385330877994 3.453558552023245;0.4803714876598
3.3131913378280857 3.291431683183661;0.43632882313934
3.1565027576795885 3.1357682394530437;0.39603422307508
3.0060892273493462 2.9863392764010626;0.35918950886621
2.861730750845195 2.842926161572038;0.3255195080283
2.723216792453331 2.705319669710471;0.29477015796103
2.59034547462716 2.573319185253795;0.2667068008294
2.4629228689455323 2.4467319969968084;0.24111264511032
2.340762368576301 2.3253726738198806;0.21778737301494
2.223684132463267 2.2090625118310268;0.19654587607250
2.1115145929639763 2.0976290445187593;0.17721710372352
2.0040860193491454 1.990905608545895;0.15964301187675
1.901236130790387 1.888730958887189;0.1436776002394
1.8028077534650306 1.790948927561022;0.12918602876214
1.7086485163992706 1.697408121146773;0.11604380480307
1.6186105819717589 1.6079616527233977;0.10413603378059
1.532550407124699 1.5224669042440229;0.0933567269852
1.4503285317668857 1.440785316102498;0.08360816105472
1.3718093913740403 1.3627822007041253;0.07480028429749
1.2968611510473105 1.288326577337878;0.06685016564703
1.22535555846884 1.2172910259363727;0.059681482534306
1.157167813670687 1.1495515575040502;0.05322404441302
1.0921764535923122 1.084987499257218;0.04741334904198
1.0302632496020327 1.0234813926902029;0.0421901689532
0.9713131164420392 0.9649189029785277;0.0375001658217
0.9152140311089378 0.9091887382645492;0.03329353068744
0.8618569603667932 0.8561825775823743;0.02952464819456
0.8111357957563918 0.8057950061464474;0.02615178318983
0.7629472949882601 0.7579234570978897;0.02313678818229
0.7171910288109937 0.7124681586165019;0.02044483029767
0.6737693324678383 0.6693320856542219;0.01804413648343
0.6325872610131429 0.628420915462936;0.015905755820206
0.5935525477451221 0.5896429862837219;0.014003337885163
0.5565755652142855 0.5529092585281513;0.012312926192327
0.5215692881914594 0.5181332779883255;0.010812765802737
0.4884492581745374 0.48523114051384747;0.009483124258219
0.4571335489673795 0.4541214577993049;0.008306125046874
0.4275427329824795 0.42472532388169437;0.007265592856020
0.39959984793464104 0.3969662820270393;0.0063469099113687
0.37323036364963796 0.3707702917367557;0.0055368827406079
0.3483621487520906 0.3460656956396812;0.0048236187348
0.3249254370257029 0.3227831860545432;0.004196411913930
0.30285279328935405 0.3008557710787513;0.003645637331341
0.28207907864286474 0.28021874005217284;0.0031626535840099
0.26254141498695793 0.2608096282967452;0.002739712916346
0.24417914872481283 0.2425681810531169;0.0023698784346692
0.22693381359891027 0.22543631654930518;0.002046947970856
0.210749092618289 0.20935808817561097;0.0017653841568858
0.19557077906236153 0.19427964573761267;0.0015202502934827
0.18134673655912642 0.1801491957928809;0.0013071516170421
0.16802685825270477 0.16691696108262216;0.0011221815890414
0.15556302508622677 0.15453513908590927;0.0009618728516367
0.14390906324016925 0.14295785973520406;0.0008231525120005
0.1330207007746734 0.132141142340967;0.0007033014362044
0.12285552353270701 0.12204285178306512;0.0005999172511662
0.11337293036949427 0.11262265403329795;0.0005108807703407
0.1045340877794936 0.1038419710784682;0.00043432557543372
0.09630188399511518 0.09566393532116872;0.0003686105024853
0.0886408826392589 0.08805334353490488;0.0003122947961826
0.08151727601203271 0.08097661045818748;0.00026411571121224
0.07489883809780278 0.07440172210961166;0.00022296835385890
0.06875487737801526 0.06829818891062155;0.00018788757088023
0.06305618953601633 0.0626369987011575;0.00015803170593126
0.05777501014074941 0.05739056973397423;0.0001326680564854
0.05288496739398328 0.052532703732789246;0.00011115987627967
0.04836103502609395 0.04803853909734025;9.295477981781071e
0.04417948542192338 0.043884504337850516;7.757441638408602e
0.04031784305762832 0.04004827181763311;6.460529136479527e
0.03675483832509673 0.036508711881588427;5.369062244542323e
0.03347036181922875 0.033245847443777905;4.452312746044897e
0.03044541915848286 0.03024080910551513;3.683864932754456e
