Point;Valeur
7.585813446465114 1.4403467275154966;10.25640597329
7.364610079874411 1.6185986976559519;9.06114210055
6.950732769482822 1.9672816250849174;7.004006134567
6.37405899825526 2.457265849880302;4.61524012752
5.673600555454992 3.0503238498520737;2.481463738834
4.894754747508115 3.701876043031619;1.094760510386
4.086213062644928 4.3640791270562715;0.7333767683511
3.296737038836292 4.989047213957392;1.4025206390430
2.5720142628092253 5.531992840379776;2.847117606204
1.9517966834955751 5.95408567750997;4.629609056962
1.4674998164804622 6.224850371499537;6.249818589980
1.1404068157998537 6.3239595451631905;7.274472376229
0.9805783305728359 6.242321050339099;7.443186866921
0.986520565158493 5.982407058793247;6.725379986599
1.1456133167763225 5.557823224072711;5.316259681
1.4352503213348111 4.992165589564237;3.5760283092576
1.824599179308394 4.317257976651202;1.930561063234
2.276850273585438 3.5709004464576126;0.7606033473152
2.7517957040937446 2.794287815494916;0.30804181894536
3.208561948454742 2.0292745207413936;0.6220290180711
3.608314551651059 1.3156675356425098;1.5565135809631
3.916759692430147 0.6887224934630872;2.8171607011245
4.106285233740865 0.17700041450556325;4.0432851571129
4.157611393010328 -0.1992850951168219;4.902320222869
4.06085642208804 -0.4293355598123886;5.172335446312
3.8159631738776936 -0.5121961401347966;4.792389528000
3.4324753852710446 -0.4565337548070137;3.8696603087819
2.928695067995725 -0.27979620856448756;2.6437707196157
2.330291813963878 -0.006823130553222423;1.4195116331991
1.6684686095513486 0.3319866838381506;0.4865641982480
0.977814863986425 0.702820823759559;0.04715079368932
0.29399429310477243 1.0707640659563427;0.16946847379024
-0.34857780118303283 1.402119890371593;0.777335111140
-0.9189166407597145 1.6665914936606194;1.6768032551450
-1.391371323447523 1.8391841535866715;2.61112753585
-1.7471329780609635 1.9017125046717775;3.3287572875152
-1.9752599948503018 1.8438249970553064;3.6465252954361
-2.073166271469235 1.6634914778972036;3.4923311183399
-2.0465547208099086 1.3669361406142397;2.9175987794020
-1.908814803316772 0.9680346032587618;2.077916300876
-1.679937193704754 0.48722822442074154;1.1883770342338
-1.3850286941935348 -0.04996123299653077;0.466193242398
-1.0525343262753621 -0.6147096601044952;0.07571963467810
-0.7122897830902651 -1.1768382025759156;0.0896393539739
-0.39353524527990047 -1.7067994029284117;0.4752797432857
-0.12302066553347851 -2.177571781905497;1.1082223285385
0.07667670403887539 -2.5663420875653213;1.8083714204125
0.18851870627366202 -2.855871379552286;2.388225451505
0.201976007136112 -3.03546436368308;2.7005416013193
0.11354845098837194 -3.101489273310927;2.67339479574
-0.07318608166997242 -3.0574261761793897;2.324429566509
-0.3479852136155398 -2.913452810566164;1.7517757776066
-0.6947790855996736 -2.6856068761263567;1.105118915385
-1.0928654083540101 -2.394590221039321;0.5452453396600
-1.5183755408110202 -2.064301940253979;0.20286468773549
-1.9459092270804061 -1.7202027560615654;0.14713962349431
-2.35022732162075 -1.3876213553884051;0.3713676888787
-2.7078909385204235 -1.0901142517552485;0.7985487863138
-2.998741842313268 -0.8479843583892233;1.304412463295
-3.207131950319106 -0.6770504064174625;1.7511968805017
-3.322828518276154 -0.5877406403099015;2.023101936490
-3.341544569526184 -0.5845612342488897;2.0543823455735
-3.265069797501982 -0.6659642035970242;1.8433677552449
-3.1010037835471236 -0.8246129733428325;1.4495934494153
-2.86211917283954 -1.048017964622895;0.975632522750
-2.56540578446451 -1.3194912271181045;0.5390000189579
-2.23086604495834 -1.619349731786909;0.24172966559367
-1.8801464679913966 -1.9262826050026804;0.1454211586619
-1.5350983566835463 -2.2187891312670946;0.25777498153458
-1.216363082709512 -2.4765921739400985;0.5334235258721
-0.9420732194898749 -2.681935740204941;0.8881148071467
-0.7267509029895116 -2.8206853201758126;1.2219833734435
-0.5804698581868258 -2.883164565418689;1.44556836288
-0.5083286637833716 -2.8646807375495045;1.5018706981002
-0.5102613606102969 -2.76571282458582;1.379085395208
-0.5811889034579982 -2.5917588283393815;1.1112738287965
-0.711492710698858 -2.3528609713852324;0.7674250766861
-0.8877711176370898 -2.0628480204526936;0.43226296486329
-1.093822170456917 -1.7383512920234052;0.1840665123525
-1.3117829568530006 -1.3976641465811188;0.07525493075035
-1.5233473102344706 -1.0595231370196554;0.12049541338758
-1.710980663217017 -0.7418920377548102;0.29494903587178
-1.859053124183256 -0.46082768288712483;0.5425770657620
-1.9548192192729936 -0.2294991730389236;0.7918947838742
-1.989184570477648 -0.057420182039245676;0.9748143232399
-1.9572151837483212 0.05006130874851511;1.0436620883618
-1.8583629050302317 0.09198940480720036;0.9821692865449
-1.6963997399388817 0.07173551584893034;0.807970909100
-1.4790728478354467 -0.0033457943182209626;0.5664182344267
-1.2175098714525663 -0.12251066542557286;0.3177123656924
-0.9254197215618266 -0.27242438738208624;0.12094903170844
-0.6181460598657843 -0.4381071935869562;0.01926020769703
-0.3116388109902977 -0.6039620707550923;0.029746471796408
-0.021412665381668694 -0.7548156240282269;0.1404952785106
0.2384394110613452 -0.8769039819840143;0.3150740911857
0.45611498718504423 -0.9587410684167883;0.5029807442936
0.6227999004281138 -0.991815844889623;0.653107728929
0.7331540249318464 -0.971077634723521;0.726667463883
0.7855590239524228 -0.8951834783902257;0.7063440150053
