Point;Valeur
7.605949398793193 7.69952097556515;2.3447631437985
7.579755087266278 7.663875934785224;2.325451946611
7.5532084293977135 7.628833071319498;2.3063736129114
7.526357123981249 7.594343677070256;2.2875114699994
7.499244003302088 7.560363914524572;2.268851817273
7.471907524822761 7.526854325011023;2.25038335799
7.44438221330104 7.493779386667889;2.232096740052
7.416699058115846 7.461107116980898;2.2139841847605
7.388885870612974 7.4288087155379685;2.1960391868711
7.360967605216764 7.396858242802715;2.178256272071
7.33296664819737 7.365232331390239;2.1606308010134
7.30490307726204 7.333909926454318;2.1431588109027
7.276794894873298 7.302872052301048;2.125836887440
7.24865823808927 7.272101602620282;2.108662061350
7.220507567122148 7.241583151833872;2.091631724700
7.192355834900511 7.211302785554878;2.0747435632809
7.164214639497793 7.181247948130391;2.057995501931
7.136094361156438 7.151407305617383;2.0413856603476
7.10800428548297 7.1217706225553385;2.024912317343
7.079952714184692 7.092328651218793;2.008573881
7.05194706464696 7.063073032043647;1.9923688700874
7.023993959402375 7.033996204089796;1.9762958855931
6.996099306629382 7.005091324599945;1.960353605017
6.9682683724624965 6.9763521966176185;1.9445407652093
6.940505846029168 6.947773203946703;1.9288561533227
6.912815897923757 6.919349252688242;1.9132985987191
6.885202232735786 6.891075718669121;1.8978669664029
6.857668136310664 6.862948400166992;1.8825601517072
6.830216518234458 6.834963475443445;1.867377075996
6.802849949987653 6.807117464518477;1.8523166831592
6.775570699291798 6.779407194859736;1.8373779367839
6.748380760971962 6.7518297704841785;1.8225598178530
6.721281884679485 6.724382544228142;1.8078613228703
6.6942755998410135 6.69706309277678;1.793281462333
6.667363238074245 6.669869194226791;1.778819259486
6.64054595334666 6.642798807927683;1.7644737493071
6.613824740081789 6.6158500563539775;1.75024397767
6.587200449460589 6.589021208796659;1.7361290006664
6.560673804061466 6.56231066670162;1.7221278840287
6.534245410989648 6.535716950504408;1.7082397026658
6.507915773768616 6.509238687789029;1.6944635402858
6.48168530291106 6.482874602620107;1.6807984890495
6.455554325535367 6.4566235059694606;1.6672436493107
6.429523093927159 6.430484287140203;1.653798129384
6.403591793275545 6.404455905969499;1.6404610453340
6.377760548612777 6.378537385924787;1.6272315208159
6.3520294310685514 6.352727807817182;1.6141086869227
6.326398463471257 6.327026304171525;1.6010916820499
6.300867625393039 6.301432054184907;1.5881796517838
6.275436857685335 6.275944279176777;1.5753717487969
6.250106066573061 6.250562238494759;1.5626671327564
6.224875127278729 6.225285225833119;1.55006497022
6.199743887345164 6.200112565942348;1.5375644346023
6.174712169577859 6.175043611636568;1.5251647060198
6.1497797747218 6.1500777411310565;1.5128649712988
6.124946483847651 6.125214355652481;1.5006644238750
6.1002120604759895 6.100452877235718;1.4885622637212
6.0755762525472505 6.075792746811317;1.4765576973031
6.051038794126143 6.051233422465209;1.4646499375148
6.026599406976885 6.026774377856292;1.4528382036227
6.002257801962621 6.002415100784717;1.4411217212052
5.9780136802905375 5.978155091932422;1.4294997220981
5.953866734656515 5.953993863722069;1.4179714443446
5.929816650271363 5.929930939297982;1.4065361321484
5.9058631057399396 5.905965851575267;1.395193035807
5.882005773915154 5.882098142418101;1.3839414116758
5.858244322615612 5.858327361900557;1.372780522107
5.834578415296619 5.83465306761407;1.3617096354107
5.811007711635064 5.811074824071795;1.350728025793
5.7875318680927705 5.787592202173954;1.3398349733307
5.7641505383435 5.764204778680366;1.3290297638910
5.740863373743011 5.740912135803182;1.3183116891105
5.717670023702233 5.717713860792443;1.3076800463380
5.694570136028155 5.6946095455718755;1.2971341385859
5.671563357255732 5.671598786437475;1.286673274494
5.648649332902654 5.648681183732773;1.2762967682746
5.62582770772411 5.625856341622779;1.2660039396682
5.603098125954993 5.6031238678302415;1.2557941139056
5.5804602314929035 5.580483373438298;1.245666621658
5.557913668079351 5.5579344726895314;1.2356207989945
5.5354580794701995 5.535476782813735;1.2256559873367
5.513093109566636 5.513109923873618;1.2157715334171
5.490818402560496 5.490833518624864;1.2059667892378
5.4686336030419085 5.468647192383369;1.1962411120259
5.44653835609618 5.446550572915793;1.1865938641909
5.424532307409649 5.424543290328334;1.177024413284
5.402615103337858 5.402624976984189;1.1675321319583
5.380786390995265 5.380795267403091;1.1581163979234
5.359045818301887 5.359053798194921;1.1487765939074
5.337393034060447 5.337400207982565;1.1395121076165
5.315827687994055 5.3158341373516755;1.1303223316955
5.2943494308018195 5.294355228771732;1.1212066636851
5.272957914185763 5.272963126561951;1.1121645059836
5.251652790908235 5.251657476835671;1.1031952658104
5.23043371480626 5.2304379274554975;1.0942983551632
5.209300340831014 5.209304128001008;1.0854731907832
5.188252325058585 5.188255729722108;1.0767191941121
5.167289324727651 5.167292385517499;1.0680357912596
5.146410998241276 5.146413749891618;1.0594224129596
5.125617005209964 5.125619478942085;1.0508784945416
5.104907006439106 5.104909230323813;1.0424034758859
5.084280663948711 5.084282663222101;1.0339968013878
