Point;Valeur
-0.04302857577814301 -3.963410830458839;-0.7325440295398
-0.06002701584038342 -3.980410830275402;-0.7441561900463
-0.07373505954691002 -3.9923174794137544;-0.7522073896320
-0.08559787984326717 -4.001980104739108;-0.7586918941691
-0.09620946044189574 -4.010307882212198;-0.7642445363397
-0.1058938004009785 -4.017725615933131;-0.7691616305748
-0.11485329419890827 -4.024471876370094;-0.7736095075297
-0.12322518443287306 -4.0306963308785635;-0.7776924969000
-0.13110789092497932 -4.03650013602368;-0.7814811141729
-0.13857494899925327 -4.041955435600786;-0.7850256579346
-0.14568306386774094 -4.047115816989028;-0.788363498398
-0.15247707651263795 -4.052022373108837;-0.7915233014480
-0.1589931829232559 -4.056707434926828;-0.7945276288903
-0.1652611066249623 -4.06119698273487;-0.7973946180225
-0.17130561404767294 -4.0655122662413286;-0.8001391099976
-0.17714760117435033 -4.069670929260113;-0.8027734331197
-0.18280489135897265 -4.073687812397461;-0.8053079618798
-0.18829283312190837 -4.077575539690308;-0.8077515255358
-0.19362475609817184 -4.081344956268676;-0.8101117129540
-0.19881232427385048 -4.0850054608177615;-0.8123951041942
-0.20386581349114943 -4.088565262183359;-0.8146074492738
-0.2087943321805576 -4.09203158025648;-0.8167538081305
-0.21360599890623955 -4.0954108052467;-0.818838661607
-0.21830808663429602 -4.0987086254172995;-0.8208660004758
-0.22290714104643192 -4.101930130593845;-0.8228393975812
-0.22740907838885516 -4.105079896836152;-0.8247620668745
-0.2318192670220311 -4.108162056300954;-0.8266369121236
-0.23614259587478867 -4.111180355343109;-0.8284665674322
-0.2403835322826971 -4.114138203188389;-0.8302534311898
-0.24454617115797653 -4.117038712983358;-0.8319996947104
-0.2486342770238516 -4.119884736632286;-0.8337073665402
-0.25265132014694724 -4.122678894533591;-0.8353782932116
-0.2566005077404862 -4.125423601099604;-0.8370141770573
-0.26048481104273336 -4.128121086768448;-0.8386165915789
-0.26430698891553345 -4.1307734170799755;-0.8401869947682
-0.2680696084936441 -4.133382509280707;-0.8417267407060
-0.2717750633241257 -4.13595014683794;-0.8432370897014
-0.2754255893581145 -4.138477992176455;-0.8447192171928
-0.27902327909985386 -4.140967597896546;-0.8461742215878
-0.28257009416120427 -4.143420416689181;-0.8476031311951
-0.2860678764400085 -4.145837810128541;-0.8490069103725
-0.2895183581024514 -4.148221056493652;-0.8503864649970
-0.29292317051884503 -4.150571357746884;-0.851742647347
-0.2962838522856445 -4.152889845777914;-0.8530762604708
-0.29960185644629034 -4.15517758800545;-0.8543880621070
-0.3028785570049053 -4.15743559241579;-0.8556787682117
-0.30611525481680885 -4.159664812105821;-0.8569490561392
-0.3093131829255679 -4.161866149388747;-0.8581995675174
-0.3124735114119331 -4.164040459513004;-0.85943091085
-0.31559735180355913 -4.1661885540380315;-0.8606436638959
-0.3186857610978608 -4.168311203904685;-0.8618383757925
-0.3217397454348317 -4.1704091422334955;-0.8630155690456
-0.32476026345876036 -4.172483066879744;-0.864175741306
-0.3277482294011582 -4.174533642770651;-0.8653193670138
-0.33070451590761607 -4.176561504046811;-0.8664468988961
-0.3336299566410994 -4.178567256027917;-0.8675587693502
-0.3365253486772773 -4.180551477019743;-0.8686553917099
-0.33939145471519166 -4.182514719977969;-0.8697371614137
-0.3422290051187207 -4.18445751404241;-0.870804457081
-0.3450386998045478 -4.18638036595378;-0.8718576415107
-0.3478212099916036 -4.188283761363847;-0.872897062594
-0.35057717982195047 -4.190168166048551;-0.8739230541771
-0.35330722786783647 -4.192034027032851;-0.8749359368407
-0.3560119485315704 -4.193881773634899;-0.875936018642
-0.3586919133476842 -4.195711818436526;-0.8769235957943
-0.36134767219727926 -4.197524558186409;-0.8778989533011
-0.36397975444144187 -4.199320374641466;-0.8788623655496
-0.36658866997809253 -4.201099635351506;-0.879814096861
-0.36917491022949506 -4.20286269439184;-0.8807544020102
-0.3717389490685144 -4.204609893047948;-0.8816835267002
-0.3742812436841848 -4.206341560456136;-0.8826017080207
-0.3768022353943088 -4.208058014203289;-0.8835091748665
-0.3793023504058052 -4.209759560889189;-0.88440614833
-0.381782000532257 -4.211446496654048;-0.8852928420957
-0.3842415838651146 -4.213119107673819;-0.8861694627432
-0.38668148540660624 -4.214777670625808;-0.8870362101218
-0.3891020776658628 -4.216422453126635;-0.8878932776358
-0.3915037212197378 -4.218053714144456;-0.8887408525401
-0.3938867652425426 -4.219671704387478;-0.8895791162142
-0.3962515480049 -4.22127666667022;-0.8904082444206
-0.39859839734609703 -4.222868836259165;-0.8912284075487
-0.40092763111965485 -4.224448441199102;-0.8920397708453
-0.4032395576146771 -4.2260157026216385;-0.8928424946323
-0.40553447595514663 -4.227570835036901;-0.8936367345127
-0.40781267647782177 -4.229114046609504;-0.8944226415657
-0.41007444109013036 -4.230645539420035;-0.8952003625314
-0.41232004360939734 -4.232165509712718;-0.8959700399856
-0.4145497500860446 -4.233674148130288;-0.8967318125062
-0.4167638191077035 -4.235171639936827;-0.8974858148307
-0.4189625020912379 -4.236658165229328;-0.8982321780055
-0.42114604355873453 -4.238133899138681;-0.89897102952
-0.42331468139888456 -4.239599012020638;-0.8997024934839
-0.4254686471186519 -4.2410536696375205;-0.9004266906712
-0.4276081660799732 -4.24249803333106;-0.9011437387272
-0.4297334577266415 -4.243932260186948;-0.9018537522426
-0.43184473580080807 -4.245356503191609;-0.9025568428731
-0.43394220854836063 -4.246770911381677;-0.9032531194453
-0.4360260789153561 -4.248175629986353;-0.9039426880577
-0.4380965447365487 -4.249570800563418;-0.9046256521769
-0.4401537989132773 -4.250956561128931;-0.9053021127294
-0.44219802958561305 -4.252333046281151;-0.90597216819
-0.44422942029532736 -4.253700387318865;-0.9066359146658
-0.4462481501426595 -4.255058712354602;-0.9072934459753
-0.44825439393561395 -4.25640814642276;-0.9079448537266
-0.45024832233343015 -4.257748811583129;-0.908590227390
-0.45223010198358954 -4.259080827020018;-0.9092296543696
-0.4541998956536741 -4.260404309137065;-0.9098632200684
-0.4561578623563359 -4.261719371648121;-0.9104910079549
-0.4581041574707266 -4.263026125664346;-0.9111130996242
-0.46003893285805064 -4.264324679777685;-0.9117295748575
-0.46196233697257805 -4.26561514014094;-0.9123405116789
-0.46387451496818644 -4.266897610544601;-0.912945986409
-0.4657756088005895 -4.268172192490574;-0.913546073722
-0.4676657573261037 -4.269438985262963;-0.9141408466878
-0.4695450963952816 -4.270698085996101;-0.9147303768275
-0.47141375894451654 -4.271949589739881;-0.9153147341574
-0.4732718750829264 -4.273193589522533;-0.9158939872338
-0.475119572175956 -4.274430176411051;-0.9164682031955
-0.4769569749271973 -4.275659439569265;-0.917037447806
-0.47878420545490424 -4.276881466313722;-0.9176017854938
-0.48060138336739006 -4.278096342167494;-0.9181612793885
-0.48240862583549415 -4.279304150911949;-0.9187159913600
-0.4842060476612003 -4.280504974636643;-0.9192659820532
-0.4859937613451238 -4.281698893787382;-0.919811310922
-0.48777187715125947 -4.282885987212545;-0.9203520362641
-0.4895405031680743 -4.284066332207706;-0.9208882152491
-0.49129974536987275 -4.285240004558694;-0.9214199039532
-0.49304970767405465 -4.286407078583137;-0.9219471573869
-0.49479049199631137 -4.287567627170495;-0.9224700295239
-0.49652219830583966 -4.288721721820761;-0.9229885733285
-0.4982449246765671 -4.289869432681782;-0.923502840783
-0.499958767337588 -4.291010828585297;-0.9240128829126
-0.5016638207220083 -4.292145977081786;-0.9245187498110
-0.5033601775138561 -4.293274944474088;-0.925020490664
-0.5050479286929369 -4.2943977958499;-0.9255181537733
-0.5067271635794808 -4.29551459511327;-0.9260117865778
-0.5083979698762741 -4.296625405014931;-0.9265014356770
-0.5100604337095851 -4.297730287181704;-0.9269871468507
-0.5117146396689807 -4.298829302144943;-0.9274689650802
-0.513360670846005 -4.299922509368058;-0.9279469345674
-0.5149986088710816 -4.301009967273126;-0.9284210987544
-0.516628533949768 -4.302091733266696;-0.9288915003417
-0.5182505248974697 -4.3031678637647435;-0.929358181305
-0.5198646591737627 -4.304238414216846;-0.9298211829175
-0.521471012914468 -4.305303439129612;-0.9302805457575
-0.5230696609637583 -4.306362992089385;-0.9307363097336
-0.5246606769050358 -4.30741712578424;-0.9311885140961
-0.5262441330906306 -4.308465892025306;-0.9316371974529
-0.5278201006706459 -4.309509341767446;-0.9320823977850
-0.5293886496214965 -4.310547525129325;-0.932524152460
-0.5309498487726348 -4.311580491412843;-0.9329624982479
-0.5325037658331295 -4.31260828912204;-0.933397471331
-0.5340504674174477 -4.3136309659813685;-0.9338291073222
-0.5355900190702446 -4.314648568953519;-0.9342574412726
-0.5371224852907764 -4.3156611442566515;-0.9346825076877
-0.5386479295558049 -4.316668737381144;-0.9351043405377
-0.5401664143432237 -4.3176713931059;-0.9355229732695
-0.5416780011534648 -4.3186691555141365;-0.9359384388184
-0.5431827505315227 -4.319662068008749;-0.9363507696187
-0.5446807220877353 -4.320650173327246;-0.9367599976148
-0.5461719745180442 -4.321633513556228;-0.9371661542715
-0.5476565656239015 -4.32261213014554;-0.9375692705843
-0.5491345523313212 -4.323586063921912;-0.9379693770888
-0.5506059907098467 -4.3245553551023646;-0.938366503871
-0.5520709359905173 -4.325520043307108;-0.9387606805768
-0.5535294425836058 -4.326480167572205;-0.9391519364196
-0.5549815640960292 -4.327435766361832;-0.9395403001909
-0.5564273533477854 -4.328386877580202;-0.9399258002680
-0.5578668623884364 -4.329333538583194;-0.9403084646227
-0.5593001425133112 -4.330275786189703;-0.9406883208294
-0.5607272442780658 -4.331213656692575;-0.9410653960729
-0.5621482175148985 -4.332147185869417;-0.9414397171564
-0.5635631113464579 -4.3330764089929925;-0.9418113105091
-0.5649719742002703 -4.33400136084141;-0.9421802021930
-0.5663748538225001 -4.33492207570801;-0.9425464179108
-0.5677717972921279 -4.335838587411064;-0.9429099830124
-0.5691628510335576 -4.336750929303154;-0.9432709225020
-0.5705480608296735 -4.337659134280351;-0.9436292610445
-0.571927471834566 -4.338563234791157;-0.9439850229721
-0.5733011285855154 -4.339463262845195;-0.944338232290
-0.5746690750151663 -4.340359250021749;-0.944688912685
-0.5760313544629152 -4.341251227478012;-0.9450370875281
-0.5773880096866454 -4.3421392259572045;-0.9453827798815
-0.5787390828735912 -4.343023275796427;-0.9457260125058
-0.5800846156508742 -4.343903406934343;-0.9460668078643
-0.5814246490964807 -4.3447796489187205;-0.9464051881285
