Point;Valeur
-0.09587632267149537 2.3975019538349995;0.6758920527835
-0.41049813530213397 2.712303191292912;0.38794559401768
-0.8447577849214671 3.0583872192154598;-0.031310688561673
-1.39271839921305 3.4163431447137507;-0.5207464162688
-1.9970078292999487 3.7251127574462672;-0.8843266045914
-2.4557172926086754 3.897496008203377;-0.9944125303475
-2.5833372622707165 3.9358934238618453;-0.9999901925965
-2.5889178636426253 3.937472929679044;-0.9999999990017
-2.5890083318771153 3.9374739748968115;-0.9999999999826
PointOptimal;ValeurOptimale
[-2.58900833  3.93747397];-0.9999999999826346
Temps;Nb iteration
0.0006546974182128906;8
