Point;Valeur
-0.37654958077448697 3.27694257213437;-0.15627028013595
-0.38749222194595206 3.294534657078425;-0.17474965798675
-0.3992156718638443 3.333850869165966;-0.214397946950
-0.41156115384345976 3.390087306503266;-0.26999257055058
-0.42436937335770525 3.4592440689317847;-0.33686412521892
-0.4374784417227964 3.5379273867840335;-0.4107532556613
-0.4507238878437824 3.6232081578360114;-0.4877780907272
-0.46394075370785076 3.712528291235246;-0.5644871408409
-0.47696736911140747 3.803644852870029;-0.6379558121013
-0.48965015529123507 3.894601526633833;-0.705882956243
-0.5018487053799645 3.9837172620945416;-0.7666520151074
-0.513440423848732 4.069583153801278;-0.8193359681570
-0.5243241537886933 4.151060459146182;-0.8636422283506
-0.5344224378978939 4.227274925020104;-0.8998082701631
-0.5436822948617717 4.297604888495378;-0.9284677453730
-0.5520746006101613 4.361662601034908;-0.9505090908717
-0.5595923128709095 4.419269675521861;-0.9669453471406
-0.5662478567546874 4.47042840004892;-0.9788075377934
-0.5720700051586262 4.5152909627365005;-0.9870670298726
-0.5771005571694324 4.554128527207595;-0.9925865757316
-0.5813910599709952 4.587301750221793;-0.9960960162347
-0.5849997523490916 4.6152338838495135;-0.9981868857048
-0.5879888431847807 4.638387157609506;-0.9993199392087
-0.590422183528115 4.657242752024243;-0.99984033570
-0.5923633487826779 4.6722843798506375;-0.999996345069
-0.5938741180881792 4.683985286611559;-0.9999586468822
-0.5950133194112277 4.692798356313079;-0.9998383516636
-0.5958359987594126 4.699148944267953;-0.9997027171004
-0.5963928679476143 4.703430039306653;-0.9995881412996
-0.5967299854316787 4.7059993672591345;-0.9995104206613
-0.596888627303477 4.707178074684693;-0.9994725033458
-0.5969053094745781 4.707250667991595;-0.9994700936076
PointOptimal;ValeurOptimale
[-0.59690531  4.70725067];-0.9994700936076923
Temps;Nb iteration
0.001932382583618164;31
