Point;Valeur
-0.7702273439199026 -1.5764492522557294;0.9831649162893
-0.801134918191798 -1.6316976007270187;0.9696589652298
-0.8560197029940059 -1.7375881669086117;0.9336921985103
-0.9438927444804813 -1.9117346581818793;0.8465853018357
-1.0794448338390559 -2.1833490384600234;0.648779089163
-1.280941783914796 -2.5889519560680236;0.25039059507350
-1.5595894078657593 -3.1508795036177473;-0.3654701285868
-1.8924984751150462 -3.8226829167243954;-0.9017941514330
-2.2027803815115035 -4.448940175186243;-0.9684118554247
-2.4080629076820887 -4.863233555385122;-0.7555004230203
-2.480800508884989 -5.009913687693783;-0.638611693472
-2.4374186412618184 -4.9221441370033014;-0.710774223454
-2.3137105564064075 -4.67220316706631;-0.8769499863019
-2.157229172444088 -4.356115168565899;-0.9889768368365
-2.0184679001973667 -4.07583908654532;-0.98656118997
-1.9333463079763733 -3.903901327177254;-0.9373043726454
-1.913083588594104 -3.862949974430629;-0.9204081657273
-1.9479010456025292 -3.9332338184472313;-0.9482118925394
-2.0154188858794577 -4.069558614404397;-0.9853964765561
-2.0889872119717143 -4.2181090856379635;-0.9999857432131
-2.14595706538153 -4.333149523230136;-0.9924408459122
-2.1737473427074345 -4.389274003043166;-0.9828142555417
-2.1712522012445445 -4.384248256806308;-0.9838345621524
-2.1462988671524474 -4.333876438052334;-0.9923419664167
-2.111315441996627 -4.263253368852633;-0.9989865723969
-2.0787633781183144 -4.197541513202908;-0.9995993471854
-2.057506624646078 -4.154639269450165;-0.9970991097667
-2.051043721266088 -4.141610990845215;-0.9958867603900
-2.0577631963730307 -4.155202565861217;-0.9971460070740
-2.0726226335865032 -4.185231790576959;-0.9991154147274
-2.089404878543964 -4.219144222930223;-0.999991066916
-2.1027901222730883 -4.246197338920735;-0.9996631482880
-2.1096926095449247 -4.260159826007544;-0.9991376706171
-2.109632499665042 -4.26006257838226;-0.9991423900666
PointOptimal;ValeurOptimale
[-2.1096325  -4.26006258];-0.9991423900666059
Temps;Nb iteration
0.0014171600341796875;33
