Point;Valeur
-1.0147776699895439 -0.6200582334525473;0.9280790600857
1.1652223300105757 1.5599417665475728;0.9300328247641
3.839972150135793 4.339998023796866;-0.4691044224405
3.1999588414117426 3.4628161907575175;-0.9999966990857
2.682431699824522 2.7554710915183294;-0.6472201480814
3.6696981745489845 3.5820507294373782;-0.9148151387838
3.7398364775601016 3.5802120299549465;-0.8938675347114
3.0732164039373497 2.9146294258653564;-0.8884415102481
3.268850342345457 3.052247813893635;-0.9713203288806
3.7837967513253354 3.4892943272835937;-0.9070059243624
3.5626763782398823 3.269008449966254;-0.9924692115175
3.2072510418506415 2.9317070844558537;-0.9333650606842
3.4417545041079185 3.129503222883311;-0.9981664888738
3.7154809840588445 3.3651735484208003;-0.9551845935933
3.515271389798927 3.177930592886793;-0.9996508302211
3.3179810573298276 2.9948467458160075;-0.970692254822
3.49552897409956 3.149086085370887;-0.9999714636915
3.648016556384953 3.2818419501128346;-0.981125678396
3.50223880865334 3.148362857296274;-0.9999953460725
3.389770745011652 3.0453026395051745;-0.9879202222254
3.5131144705045436 3.1538005895780983;-0.9999623849772
3.5998188137877154 3.2298928261060866;-0.9923187154800
3.4993366848565706 3.1388280937926343;-0.9999329451174
3.4347757793140627 3.0801371476114294;-0.9951203217916
3.5182190354445293 3.154038743634179;-0.9999202142576
3.5676322842924657 3.1976543162206643;-0.9969173787138
3.4997802140712646 3.1365104102271046;-0.9999181117771
3.4629470528439206 3.1032052346293755;-0.9980503136280
3.518745930776772 3.152825827496882;-0.9999253967131
3.546641196661725 3.177552811003147;-0.9987755460140
3.501311547736939 3.136842890231222;-0.999934618116
3.480618656614296 3.1182047316532953;-0.9992284695510
3.517661650089847 3.1512322634639722;-0.9999464997114
3.5331166700717858 3.1649785432250868;-0.999518676983
3.5030577935991145 3.1380417438180235;-0.9999564323288
3.49170838814674 3.127852579585936;-0.9996977597148
3.516154396694966 3.1496883353453176;-0.9999664513442
3.5244734750447813 3.157111780401172;-0.9998129697873
3.504664018324758 3.1393877234301395;-0.9999737899540
3.49865369297608 3.1340107998636464;-0.9998828863750
3.5146972421052363 3.1483622996689564;-0.9999806485036
3.5189843570641095 3.1522038345668038;-0.9999282689832
3.5060031601923 3.1406051008240676;-0.9999852551148
3.502984696823282 3.137918978087781;-0.9999551501821
3.5134563477346576 3.147299731156763;-0.9999894755006
3.5155157380742623 3.149158662378379;-0.9999728991430
3.5070548182680246 3.1416100501858364;-0.9999920933628
3.505667640540312 3.1403889595040124;-0.9999830371620
3.51246471522624 3.1464884411807343;-0.9999945286166
3.513332038529893 3.147285187528027;-0.9999899395907
3.5078460618921308 3.1424002130332096;-0.9999959101650
3.5073141674675066 3.1419465263817994;-0.9999936670911
3.5117009281040166 3.145892392603443;-0.999997258975
3.5119600096602195 3.1461467385558843;-0.9999963440232
3.5084209913023905 3.1430042596143157;-0.999997942115
3.5083113575550495 3.1429292382967935;-0.9999976662219
3.5111255131192656 3.145469449400877;-0.9999986706029
3.5110973706358815 3.1454675456023176;-0.9999987066061
PointOptimal;ValeurOptimale
[3.51109737 3.14546755];-0.9999987066061597
Temps;Nb iteration
0.0029921531677246094;57
