Point;Valeur
-1.0478704954456832 2.8412289673804647;0.11304820048818
-1.1560302954022872 3.103112035327015;-0.16904312599264
-1.3473122552493324 3.592507271264975;-0.6405771586380
-1.5873330036757527 4.215035926879982;-0.9783686460475
-1.8115344939154152 4.797825733029346;-0.9146963040325
-1.9598122053675688 5.181208370524851;-0.677023157245
-2.0097490029291594 5.305915914056349;-0.5723759273536
-1.9677665806038165 5.189031468644242;-0.6695308160694
-1.8558737240615806 4.888726807735883;-0.8694283862771
-1.7103646959152266 4.500708031785773;-0.9947667168702
-1.5767405421854739 4.144734093243665;-0.9616410556859
-1.4919804173153692 3.917919883870031;-0.867817782282
-1.4715541049589385 3.860686594050962;-0.836046868290
-1.5109434657162497 3.9609335467965847;-0.8901801388756
-1.5913584482599081 4.169181104568366;-0.9689561323317
-1.6849580531929464 4.412330221084475;-0.9999425604360
-1.7630363407976555 4.615118010303925;-0.9741165566362
-1.8056995122310993 4.725426832289784;-0.9406391860559
-1.8066610381341874 4.726791848390847;-0.9400886809619
-1.7721779430143085 4.635581024438315;-0.96881459010
-1.7173475830707239 4.491283857823887;-0.9953924592156
-1.6610319749654736 4.343223265427046;-0.9980552133792
-1.619848105549802 4.234836197584319;-0.9841423694840
-1.603385534107899 4.191173830514834;-0.9747971742894
-1.612576124351141 4.214649319499492;-0.9801109393581
-1.64091825549336 4.28824786665234;-0.99269932950
-1.6773979114172934 4.383168103402882;-0.9998152836667
-1.7102536207720076 4.468663547699055;-0.9973824127585
-1.730556451910865 4.52139626069302;-0.9917069340373
-1.734412030708425 4.531187312521281;-0.9902997265052
-1.7232714966451546 4.50182577792632;-0.9941742248073
-1.7026742197299258 4.447781330395052;-0.9987423274217
-1.6800527139890609 4.38846818624415;-0.9999112629846
-1.6622979708287575 4.341884547719204;-0.9980051595127
-1.653825191594053 4.319560341437489;-0.996213339813
-1.655674040294798 4.324207970907388;-0.9966357162310
-1.665738555806974 4.350323952793415;-0.998538966379
-1.6798583659473554 4.387039907506971;-0.9998915835154
-1.6933325416717375 4.42207681413537;-0.9997397932308
-1.7023679737390542 4.445527614766135;-0.9988508944495
-1.7050436099660458 4.452374957309302;-0.9984715865674
-1.7015773388801445 4.443187580185836;-0.9989661346738
-1.693931949390987 4.423090788682897;-0.9997126290947
-1.6849795644480732 4.399584169408839;-0.9999993046688
-1.6775300108368982 4.380004290185528;-0.9997551774362
-1.673524497779619 4.3694193258854055;-0.9994407420992
-1.6736061046436048 4.36950777689336;-0.9994444740077
PointOptimal;ValeurOptimale
[-1.6736061   4.36950778];-0.9994444740077466
Temps;Nb iteration
0.0027060508728027344;46
