Point;Valeur
-1.7622020485757286 -2.4379435387495816;0.13305383547193
-1.8372020485757328 -2.5129435387495858;0.028680659110588
-1.935375914349743 -2.6110750425842437;-0.10833167935913
-2.0468842641438694 -2.7224354029414277;-0.261415715079
-2.1663740792364576 -2.8415958501623915;-0.41834213859504
-2.2902046635087463 -2.9648366842831204;-0.5685795646186
-2.4154840628853362 -3.0891950866122886;-0.7031706941837
-2.5396072100016776 -3.212018470330001;-0.8152260913119
-2.660012532134658 -3.3307405915302706;-0.9005256491529
-2.774082946765678 -3.4428037209909785;-0.9579494342940
-2.879179562400096 -3.5457073657765923;-0.9895165576453
-2.972803024051948 -3.6371664578344656;-0.9998892109524
-3.0528461566859395 -3.715333725437946;-0.9953658910648
-3.117856399812464 -3.779009343315013;-0.9826056872778
-3.1672094974392353 -3.827759675692579;-0.9674597028568
-3.2011335712748576 -3.8619075705925296;-0.9542234831723
-3.220592366056231 -3.882412837086648;-0.9454090206636
-3.2270878746719363 -3.890695874172723;-0.9419277045760
-3.222450000838231 -3.8884573678014682;-0.9434901246135
-3.2086575488194233 -3.8775265464505835;-0.9490553572175
-3.1877062245044323 -3.859748537886863;-0.9572312439070
-3.1615202423015774 -3.8369073566466536;-0.9665857611795
-3.1318963201924586 -3.8106754571697965;-0.9758629062504
-3.1004684177527273 -3.7825805925340306;-0.9841106704429
-3.068684467399646 -3.753982990282788;-0.9907335421261
-3.0377900085486007 -3.7260587434015386;-0.9954840523885
-3.0088167812050486 -3.6997878514231513;-0.998409585567
-2.9825764333648106 -3.675947086070065;-0.999771952108
-2.9596604187939732 -3.6551086533063173;-0.9999571135658
-2.940447060905964 -3.637645562654179;-0.999390277001
-2.9251159898334818 -3.6237439610624445;-0.9984674616563
-2.913669167639687 -3.6134218054571514;-0.9975094645347
-2.905956890508154 -3.6065524750013034;-0.9967391084477
-2.901706721776782 -3.6028914755004164;-0.996278741613
-2.900553299314957 -3.6021043170263907;-0.9961626576549
-2.9020672680638544 -3.6037938754924084;-0.9963583791766
-2.905782051321699 -3.6075259435747133;-0.9967912182673
-2.9112176474121685 -3.612852105132726;-0.9973677056970
-2.91790103071491 -3.6193294416457813;-0.9979949351803
-2.925383014432216 -3.626536860895074;-0.9985942917984
-2.9332516058088602 -3.6340880279271883;-0.9991092408238
-2.9411419829029173 -3.6416409982029188;-0.9995077560582
-2.948743279134882 -3.64890473001032;-0.9997805410321
-2.955802404089984 -3.655642709906093;-0.9999364604245
-2.962125171023393 -3.6616739739322126;-0.999996600536
-2.9675750466163424 -3.6668718522513455;-0.9999881835796
-2.972069882396837 -3.6711608030044434;-0.9999392470111
-2.975577022224602 -3.6745117274482424;-0.9998746406583
-2.9781071992907417 -3.676936168264829;-0.9998135537969
-2.9797076351829093 -3.6784797843605745;-0.9997685062787
-2.9804547325012827 -3.6792154694894195;-0.9997455458160
-2.980446714286104 -3.6792364420209855;-0.9997452919966
PointOptimal;ValeurOptimale
[-2.98044671 -3.67923644];-0.9997452919966332
Temps;Nb iteration
0.0037364959716796875;51
