Point;Valeur
-2.310669714244834 -0.5072803871080893;0.7003548199651
-3.1306688791093196 -1.3272630581767992;-0.25592704694789
-3.777436271725508 -2.0876695439403896;-0.9224402898683
-4.013810983913715 -2.431198391108463;-0.9998061173265
-4.025673223353117 -2.4500743384644825;-0.9999999702434
-4.0255518000584445 -2.4498638885062345;-0.9999999995250
-4.025559012110806 -2.449859205618735;-0.9999999994033
PointOptimal;ValeurOptimale
[-4.02555901 -2.44985921];-0.9999999994033041
Temps;Nb iteration
0.0004048347473144531;6
