Point;Valeur
-2.813625261681877 3.5052967798979537;-0.9764295466547
-2.9780637000106327 3.6697352182267093;-0.9999062971147
-3.0989566390821186 3.7906882145846343;-0.9831528656134
-3.0656258131369785 3.7590264683327534;-0.9904637495398
-2.969382294067174 3.664396925404885;-0.9999916956623
-2.8902405524301256 3.5865110292309317;-0.9943611856184
-2.8826306614512838 3.580096056993946;-0.9932777233920
-2.9309258507384643 3.6295381091431564;-0.9988857051993
-2.991134653813051 3.690670506952486;-0.9992711131275
-3.0214168067323395 3.7216813631073298;-0.996693436291
-3.008388679173498 3.70930600918735;-0.9979829711616
-2.9699071269197517 3.671365983936479;-0.9999517645590
-2.934770864048505 3.636629670867512;-0.9992286729481
-2.9241379655180118 3.6263347941819686;-0.9985440858321
-2.9392749133533274 3.6417952940846274;-0.9994741725804
-2.9654756457965044 3.668262031179707;-0.9999893187993
-2.9844438546295904 3.6874101888785864;-0.9995058515291
-2.985914168253234 3.68899438234808;-0.9994357444887
-2.972538907265604 3.6756817904198207;-0.9998899985197
-2.955430255428446 3.658588357724571;-0.9999575336413
-2.945744304742707 3.64889132629712;-0.9997390513695
-2.9478931200078082 3.6510250596607228;-0.9998032822160
-2.9581907104311287 3.6612999942660727;-0.9999855714553
-2.9687676539877206 3.671832199876838;-0.9999551790792
-2.9731494286541857 3.676143888895528;-0.9998786989343
-2.969931748806061 3.672835524927476;-0.9999397194050
-2.9626228413425086 3.665419868807395;-0.9999998088991
-2.9565189842991995 3.6591998044924865;-0.999967549685
-2.955132895773931 3.6576958749665445;-0.999949025381
-2.9584054713136916 3.660851012981304;-0.9999843976161
-2.9634560697024073 3.6657806252705494;-0.9999989881267
-2.9668959629644953 3.6690925455324073;-0.9999810225061
-2.9669925825494627 3.66905409913644;-0.9999808319263
PointOptimal;ValeurOptimale
[-2.96699258  3.6690541 ];-0.9999808319263782
Temps;Nb iteration
0.002412080764770508;32
