Point;Valeur
-3.2771603066465795 0.30780517104725824;-0.14942934620625
-3.9271599746500208 0.957767552073632;-0.7837445023053
-4.268092597244562 1.5088953084356667;-0.9828575079011
-4.365700846507444 1.7267953776326472;-0.9998453536800
-4.374951174762312 1.7498101266094697;-0.999999882085
-4.375231275611132 1.7504310128719893;-0.9999999999872
-4.375253168329211 1.750399450283451;-0.9999999999068
PointOptimal;ValeurOptimale
[-4.37525317  1.75039945];-0.9999999999068798
Temps;Nb iteration
0.0004017353057861328;6
