Point;Valeur
-3.571470279878163 3.3671145799885593;-0.9808419409812
-3.5613133593883237 3.345369195803047;-0.9849417459149
-3.541499692578016 3.3191037090424773;-0.9900283445676
-3.5188474345730723 3.293041415770234;-0.9942820797986
-3.497394738212008 3.269906743757766;-0.9971498170467
-3.479195732360857 3.2509528037954323;-0.9987859575624
-3.464980761151178 3.2364399140272018;-0.9995799405477
-3.4546710550627195 3.2260277877826984;-0.999897122471
-3.44775510173916 3.2190704228893736;-0.9999896891047
-3.4435454917217676 3.214819853597095;-0.9999989680773
-3.4413402366481916 3.2125538384733745;-0.9999894433124
-3.4405128588488405 3.2116454382805313;-0.9999830660648
-3.4405528861391748 3.211591635497065;-0.9999830226627
PointOptimal;ValeurOptimale
[-3.44055289  3.21159164];-0.9999830226627895
Temps;Nb iteration
0.000997304916381836;12
