Point;Valeur
-3.5805569319446775 -4.430139098742357;-0.5538661889499
-3.5687006470047766 -4.413664318483724;-0.5706246181356
-3.5407313977073316 -4.377694533937197;-0.6074307324869
-3.5013531406541323 -4.327950783750875;-0.6565700459898
-3.454436596947105 -4.269144368500539;-0.7114006694890
-3.403167422834491 -4.205155550799938;-0.7665700692110
-3.350147046353519 -4.139154776493436;-0.8181244860746
-3.29746139029781 -4.073684988742692;-0.8635045643370
-3.246732183906225 -4.01072301765225;-0.901417843891
-3.199162129896054 -3.951733823680468;-0.9316084255936
-3.1555806774618755 -3.897725827249505;-0.9545696156664
-3.1164929679321167 -3.8493104152224586;-0.9712524199736
-3.0821314959642656 -3.8067650004412856;-0.9828125493084
-3.0525083956626373 -3.7700970082125975;-0.990419713002
-3.027465811915278 -3.7391056200213915;-0.9951343070139
-3.006722145723711 -3.7134385183229996;-0.9978434284728
-2.9899126580167614 -3.6926417411367964;-0.9992417141849
-2.9766236737919884 -3.676201694616263;-0.9998414720207
-2.9664202722920026 -3.66357917003568;-0.9999987588258
-2.9588678116779996 -3.654235785536771;-0.9999455188910
-2.953547919056921 -3.6476536236527157;-0.999821367013
-2.95006971248013 -3.6433490048526402;-0.9997014561554
-2.9480770532376117 -3.640881377788475;-0.9996189312835
-2.9472525928830606 -3.6398582661264958;-0.9995817976429
-2.947319309349775 -3.6399371261643876;-0.9995847786863
PointOptimal;ValeurOptimale
[-2.94731931 -3.63993713];-0.9995847786863824
Temps;Nb iteration
0.0011012554168701172;24
