Point;Valeur
-3.8406982985177454 -3.9874384532352303;-0.6793557324054
-3.5258973750938676 -3.67263748636634;-0.9291085930114
-3.325523657520242 -3.4717402992703428;-0.995480039026
-3.269480853488154 -3.4154035370560774;-0.999877319763
-3.260197614516688 -3.406065865950331;-0.9999968763081
-3.2587333355820665 -3.404593621823452;-0.9999999103595
-3.2585023437507084 -3.404362148582989;-0.999999995346
-3.258465571125667 -3.404326076930926;-0.9999999989879
PointOptimal;ValeurOptimale
[-3.25846557 -3.40432608];-0.9999999989879926
Temps;Nb iteration
0.0005440711975097656;7
