Point;Valeur
-3.8406982985177454 -3.9874384532352303;-0.6793557324054
-3.83815307039204 -3.984795981853594;-0.6820434276122
-3.835616505228993 -3.9821625044344047;-0.6847128409343
-3.833088607513461 -3.9795380256337767;-0.6873640255953
-3.8305693812521335 -3.9769225496114107;-0.6899970359111
-3.828058829978013 -3.9743160800352557;-0.6926119272668
-3.8255569567550918 -3.971718620086206;-0.6952087560937
-3.8230637641827414 -3.969130172462942;-0.6977875798466
-3.820579254400356 -3.9665507393864923;-0.7003484569804
-3.8181034290919325 -3.9639803226051256;-0.7028914469283
-3.815636289490585 -3.9614189233990063;-0.7054166100786
-3.8131778363832614 -3.9588665425850422;-0.7079240077526
-3.810728070115302 -3.9563231805216748;-0.7104137021826
-3.8082869905949535 -3.953788837113569;-0.7128857564893
-3.8058545972981115 -3.9512635118165322;-0.71534023466
-3.8034308892728497 -3.948747203642233;-0.7177772015283
-3.8010158651442003 -3.946239911163007;-0.7201967227493
-3.7986095231185324 -3.943741632516689;-0.7225988647813
-3.796211860988433 -3.9412523654114233;-0.7249836948631
-3.7938228761372126 -3.9387721071304553;-0.7273512809932
-3.7914425655435657 -3.936300854536972;-0.7297016919086
-3.7890709257861346 -3.933838604078831;-0.7320349970645
-3.7867079530482552 -3.9313853517934807;-0.7343512666136
-3.784353643122488 -3.928941093312626;-0.7366505713855
-3.7820079914152682 -3.9265058238671653;-0.7389329828670
-3.7796709929515924 -3.9240795382918856;-0.7411985731816
-3.7773426423794474 -3.921662231030254;-0.7434474150702
-3.775022933974562 -3.9192538961391965;-0.7456795818711
-3.7727118616449706 -3.9168545272939337;-0.7478951475008
-3.7704094189356194 -3.9144641177926767;-0.7500941864350
-3.768115599032771 -3.9120826605613335;-0.7522767736892
-3.7658303947687966 -3.9097101481582905;-0.7544429848003
-3.763553798626582 -3.9073465727792245;-0.7565928958078
-3.761285802744172 -3.9049919262616695;-0.7587265832354
-3.7590263989191106 -3.902646200089721;-0.7608441240732
-3.756775578613184 -3.900309385398887;-0.7629455957592
-3.754533332956753 -3.897981472980544;-0.7650310761621
-3.7522996527532526 -3.8956624532867306;-0.7671006435635
