Point;Valeur
-3.8572656674966743 1.9773034936248202;-0.9294599404909
-3.8589073529631768 1.9781449274478324;-0.9301389333124
-3.8605414066477395 1.978982448829124;-0.9308116261774
-3.862167858507821 1.979816073127304;-0.9314780730230
-3.8637867384640048 1.9806458156820739;-0.9321383274111
-3.865398076398731 1.98147169181349;-0.9327924425297
-3.867001902155022 1.9822937168214638;-0.9334404711935
-3.8685982455352663 1.9831119059850566;-0.934082465844
-3.870187136299986 1.9839262745618302;-0.9347184785547
-3.8717686041666433 1.9847368377873087;-0.9353485610241
-3.8733426788085232 1.9855436108743008;-0.9359727645847
-3.8749093898535376 1.986346609012395;-0.9365911402001
-3.8764687668831295 1.9871458473673265;-0.9372037384671
-3.878020839431163 1.9879413410804392;-0.9378106096166
-3.8795656369828686 1.9887331052680912;-0.9384118035150
-3.8811031889737175 1.9895211550211889;-0.9390073696651
-3.8826335247884542 1.9903055054046037;-0.9395973572079
-3.884156673760048 1.991086171456623;-0.9401818149233
-3.885672665168733 1.9918631681884946;-0.9407607912319
-3.88718152824093 1.9926365105839106;-0.9413343341958
-3.8886832921484213 1.993406213598502;-0.9419024915204
-3.890177986007316 1.9941722921593674;-0.9424653105557
-3.8916656388771464 1.9949347611646395;-0.9430228382972
-3.8931462797600416 1.995693635482908;-0.9435751213882
-3.894619937599743 1.9964489299528976;-0.9441222061204
-3.8960866412808004 1.9972006593829517;-0.944664138436
-3.897546419627708 1.9979488385506439;-0.9452009639287
-3.898999301404089 1.9986934822023394;-0.9457327278453
-3.9004453153118854 1.9994346050527345;-0.9462594750877
-3.9018844899905654 2.0001722217845175;-0.9467812502137
-3.903316854016376 2.0009063470479136;-0.9472980974390
-3.90474243590151 2.0016369954603697;-0.9478100606387
-3.906161264093456 2.0023641816061244;-0.9483171833489
-3.907573366974227 2.003087920035833;-0.9488195087682
-3.9089787728596788 2.003808225266228;-0.949317079759
-3.910377509998792 2.004525111779769;-0.9498099388511
-3.911769606573035 2.0052385940242545;-0.9502981282393
-3.913155090695647 2.005948686412572;-0.9507816897892
-3.9145339904110843 2.0066554033222594;-0.9512606650366
-3.915906333694302 2.007358759095278;-0.9517350951900
-3.9172721484502233 2.00805876803764;-0.9522050211317
-3.9186314625130834 2.008755444419113;-0.9526704834202
-3.919984303645885 2.0094488024729733;-0.953131522291
-3.9213306995398103 2.010138856395643;-0.9535881776601
-3.9226706778136666 2.010825620346462;-0.954040489122
-3.92400426601337 2.011509108447373;-0.9544884959580
-3.925331491611445 2.0121893347826543;-0.9549322371293
-3.926652382006435 2.012866313398714;-0.9553717512862
-3.927966964522456 2.0135400583037804;-0.9558070767661
-3.9292752664087387 2.014210583467651;-0.9562382515964
-3.9305773148391236 2.014877902821493;-0.9566653134958
-3.9318731369115962 2.0155420302575884;-0.9570882998
-3.933162759647874 2.016202979629094;-0.957507247845
-3.9344462099929594 2.016860764749839;-0.9579221942069
-3.935723514814721 2.0175153993941146;-0.9583331754633
-3.9369947009035013 2.018166897296441;-0.9587402278180
-3.9382597949717217 2.0188152721513966;-0.9591433871762
-3.9395188236534597 2.0194605376134147;-0.9595426891474
-3.9407718135041625 2.020102707296555;-0.9599381690469
-3.9420187910002182 2.020741794774377;-0.9603298618976
-3.9432597825386275 2.0213778135797438;-0.9607178024318
-3.944494814436683 2.022010777204641;-0.961102025093
-3.9457239129316424 2.0226406991000028;-0.9614825640386
-3.946947104180393 2.0232675926755865;-0.9618594531396
-3.948164414259198 2.0238914712997653;-0.9622327259846
-3.9493758691633576 2.024512348299434;-0.9626024158805
-3.950581494806932 2.0251302369598374;-0.9629685558544
-3.951781317022518 2.025745150524438;-0.9633311786558
-3.952975361560951 2.02635710219477;-0.9636903167580
-3.95416365409102 2.026966105130351;-0.9640460023601
-3.955346220199324 2.0275721724484885;-0.964398267388
-3.9565230853899793 2.028175317224229;-0.9647471435001
-3.957694275084389 2.0287755524902256;-0.9650926620814
-3.9588598146210687 2.029372891236598;-0.9654348542529
-3.9600197292553987 2.0299673464108943;-0.9657737508698
-3.961174044159499 2.0305589309179144;-0.9661093825237
-3.9623227844219677 2.0311476576196865;-0.9664417795448
-3.963465975047775 2.031733539335323;-0.9667709720033
-3.964603640958053 2.0323165888409767;-0.9670969897116
-3.9657358069899615 2.032896818869734;-0.9674198622257
-3.9668624978965283 2.0334742421115437;-0.9677396188474
-3.96798373834652 2.0340488712131455;-0.9680562886255
-3.9690995529242716 2.0346207187780294;-0.9683699003583
-3.97020996612964 2.0351897973663267;-0.9686804825947
-3.9713150023777954 2.0357561194947804;-0.9689880636364
-3.972414685999187 2.0363196976366735;-0.9692926715396
-3.973509041239409 2.0368805442217917;-0.9695943341165
-3.974598092259102 2.0374386716363597;-0.9698930789373
-3.975681863133884 2.0379940922230215;-0.9701889333320
-3.9767603778542493 2.038546818280789;-0.9704819243920
-3.977833660325536 2.039096862064981;-0.9707720789718
-3.9789017343678177 2.039644235787235;-0.9710594236907
-3.979964623715892 2.040188951615423;-0.9713439849349
-3.9810223520191865 2.0407310216736914;-0.9716257888589
-3.9820749428417397 2.0412704580423933;-0.9719048613870
-3.9831224196621657 2.041807272758067;-0.9721812282155
-3.984164805873602 2.0423414778134474;-0.9724549148142
-3.985202124783693 2.0428730851574484;-0.9727259464281
-3.986234399614596 2.0434021066951247;-0.9729943480787
-3.987261653502949 2.043928554287694;-0.9732601445666
-3.9882839094998728 2.0444524397525257;-0.9735233604722
-3.9893011905709534 2.0449737748631516;-0.9737840201580
-3.990313519596266 2.0454925713492615;-0.9740421477699
-3.9913209193703993 2.04600884089668;-0.9742977672392
-3.9923234126024214 2.0465225951474326;-0.9745509022840
