Point;Valeur
-4.007874434878184 4.080947059983966;-0.5339719649912
-3.7283290897192995 3.8014017148250816;-0.8183940918148
-3.386149221579944 3.459153334393371;-0.9917877290588
-3.0797102661960705 3.152560186700935;-0.9537847048401
-2.9224279838324936 2.9955723879621106;-0.8641129163751
-2.927008090392754 3.0010310265393962;-0.8676673231462
-3.0384546957652936 3.1135716804790725;-0.9352169093798
-3.1987128386107435 3.2748959304867316;-0.9909632242308
-3.354359378422554 3.431445865915211;-0.9962862602318
-3.460726460143775 3.538487439652721;-0.9720213328834
-3.4962873325682433 3.574504963346023;-0.9588927586287
-3.4670039759234808 3.5455052408596175;-0.9697688546963
-3.395504041105091 3.4741558923316536;-0.9894317225964
-3.309954829493325 3.38866439669535;-0.9996979990061
-3.2366462690576348 3.315376816823646;-0.9968752356145
-3.1936440693665022 3.272422460344712;-0.9902368932740
-3.1867604310541617 3.265650935084997;-0.9888450569001
-3.21038030530395 3.2894405540363842;-0.9932816711105
-3.2517729524939165 3.331024232595921;-0.998358166529
-3.296039979229974 3.3754618280846995;-0.9999853689221
-3.330423658065447 3.409965518810798;-0.9985359909573
-3.347391071263908 3.4269902064835094;-0.9969476377981
-3.345758834935854 3.425355811979706;-0.9971253049958
-3.329722857153849 3.4092713318494017;-0.9985888545884
-3.306575797217922 3.3860476691894226;-0.9997930661270
-3.284100272959249 3.3634872933675592;-0.9999338808286
-3.268356080462283 3.347667252124227;-0.9994282298405
-3.2623458236943526 3.3416003234191844;-0.9991030505309
-3.2657865989189263 3.3450044866112703;-0.999296276139
-3.275848987272752 3.355043465928049;-0.9997284375355
-3.2884473680180277 3.3676211853669207;-0.999984848540
-3.2996105709863257 3.3787567556032974;-0.9999473517338
-3.306551521416753 3.3856569269992653;-0.9997990540130
-3.308203174253789 3.387252885147002;-0.9997503974808
-3.305172233221332 3.3841533792020053;-0.9998378565560
-3.299237979302354 3.378142226132504;-0.9999542894047
-3.292627730771765 3.371452209490738;-0.9999999877128
-3.287313080446724 3.36605980724266;-0.9999725135510
-3.284515591939343 3.3631897149024033;-0.9999347662430
-3.284517401764682 3.3631249106417047;-0.9999342501161
PointOptimal;ValeurOptimale
[-3.2845174   3.36312491];-0.9999342501161534
Temps;Nb iteration
0.0049893856048583984;39
