Point;Valeur
-4.31138804407114 4.401273024982043;-0.12177275984441
-4.2743880444546285 4.364273025350013;-0.17351612048374
-4.248328738730492 4.338211347342441;-0.2096841761244
-4.227126724600289 4.317006206295807;-0.23890370129650
-4.208827152838803 4.298703137801153;-0.26395203765271
-4.1925132408407615 4.282385509268559;-0.2861342724692
-4.177668804772374 4.267537210792471;-0.3061867125986
-4.1639693716724535 4.253833811336966;-0.3245731604990
-4.1511952734828945 4.241055668973955;-0.34160827351013
-4.139189617569444 4.22904590850256;-0.35751727040685
-4.127835713537023 4.217687851777799;-0.37246802445312
-4.117043970345976 4.206891916722447;-0.38658970738906
-4.106743819854446 4.196587541972215;-0.3999842907904
-4.096878494310671 4.186717965040525;-0.41273398938497
-4.087401514464361 4.177236710861492;-0.4249062704957
-4.078274249674045 4.168105152184954;-0.4365573372786
-4.069464175316942 4.159290767182632;-0.4477346185758
-4.060943598377092 4.150765865175209;-0.4584785913685
-4.052688706072193 4.1425066353595135;-0.4688241424347
-4.044678842730181 4.13449242375916;-0.4788016042116
-4.036895951343276 4.126705174833793;-0.48843755545103
-4.029324136148981 4.119128994102879;-0.4977554489005
-4.021949315636808 4.1117498011846845;-0.5067761096629
-4.0147589441249805 4.104555051399389;-0.5155181354244
-4.007741786033602 4.097533510061543;-0.5239982212210
-4.00088773114775 4.0906750677606345;-0.5322314254658
-3.9941876421219247 4.0839705878788095;-0.5402313897443
-3.987633227600625 4.07741177972106;-0.5480105218550
-3.9812169358803593 4.070991092187463;-0.555580149353
-3.974931865188197 4.064701624058718;-0.562950649221
-3.9687716875072026 4.058537047828036;-0.5701315580615
-3.962730583527961 4.052491544657322;-0.5771316662802
-3.956803186800751 4.046559748534238;-0.5839590990262
-3.9509845355453868 4.040736698085906;-0.5906213860960
-3.945270030872003 4.035017794802545;-0.5971255225969
-3.9396554003992446 4.029398766659213;-0.6034780218225
-3.9341366664415887 4.023875636304526;-0.6096849615325
-3.928710118081338 4.0184446931357245;-0.6157520246198
-3.9233722865616456 4.013102468692936;-0.6216845349764
-3.9181199235293853 4.007845714903775;-0.6274874892366
-3.912949981733541 4.00267138478347;-0.6331655849649
-3.907859597849565 3.9975766152601433;-0.638723245764
-3.9028460771490914 3.992558711845725;-0.6441646437091
-3.8979068797782683 3.987615134915367;-0.6494937194432
-3.893039608443241 3.982743487393595;-0.6547142002366
-3.8882419973297577 3.9779415036748706;-0.6598296162481
-3.8835119021086513 3.973207039630069;-0.6648433152090
-3.87884729090084 3.9685380635713186;-0.6697584757119
-3.8742462360896894 3.963932648065982;-0.6745781192637
-3.8697069068873855 3.9593889625025973;-0.6793051212418
-3.8652275625705643 3.9549052663277227;-0.6839422208737
-3.8608065463137273 3.95047990287915;-0.6884920303440
-3.856442279556576 3.9461112937541634;-0.6929570431216
-3.85213325685018 3.941797933655705;-0.6973396415884
-3.847878041132649 3.93753838566853;-0.7016421040380
-3.8436752593916435 3.933331276922005;-0.7058666111096
-3.839523598675253 3.929175294601355;-0.7100152517108
-3.835421802418224 3.9250691822739663;-0.7140900284790
-3.8313686670529394 3.921011736500572;-0.7180928628243
-3.827363038878629 3.9170018037048617;-0.7220255995935
-3.8234038111655693 3.913038277278029;-0.7258900113893
-3.819489921472917 3.909120094896132;-0.7296878025750
-3.815620349160527 3.9052462360327698;-0.7334206129935
-3.8117941130788937 3.901415719648831;-0.7370900214247
-3.8080102694210205 3.8976276020446523;-0.7406975488039
-3.8042679097229786 3.893880974860649;-0.7442446612206
-3.8005661590005433 3.890174963214119;-0.7477327727169
-3.7969041740108533 3.8865087239609255;-0.751163247901
-3.79328114162897 3.882881444072192;-0.754537404391
-3.7896962773298752 3.879292339116605;-0.7578565151028
-3.7861488237681935 3.875740651840081;-0.7611218103922
-3.7826380494475957 3.8722256508351367;-0.7643344800658
-3.7791632474733037 3.8687466292935695;-0.7674956752677
-3.775723734381078 3.8653029038356466;-0.7706065102526
-3.7723188490375406 3.8618938134103047;-0.7736680640533
-3.768947951606101 3.8585187182613985;-0.7766813820500
-3.765610422573978 3.8551769989546676;-0.7796474774499
-3.7623056618361947 3.851868055461599;-0.7825673326806
-3.759033087831886 3.8485913062961137;-0.7854419007066
-3.755792136729821 3.8453461877000255;-0.788272106271
-3.7525822616597893 3.842132152874329;-0.7910588470725
-3.749402931986239 3.8389486712530307;-0.7938029948717
-3.7462536326217846 3.8357952278168077;-0.796505396546
-3.7431338633778 3.832671322443524;-0.7991668750863
-3.740043138349821 3.829576469293604;-0.8017882305364
-3.736980985335072 3.826510196227754;-0.8043702408927
-3.7339469452806613 3.823472044255022;-0.8069136629523
-3.730940571759952 3.8204615670094464;-0.8094192331199
-3.7279614304758915 3.8174783302531665;-0.8118876681749
-3.725009098789015 3.814521911404606;-0.8143196660009
-3.7220831652691992 3.8115918990902267;-0.816715906279
-3.719183229269441 3.808687892718409;-0.8190770511512
-3.716308900520302 3.8058095020738723;-0.8214037458442
-3.7134597987440907 3.802956346931776;-0.8236966192745
-3.710635553287156 3.800128056690173;-0.8259562846183
-3.7078358027697487 3.7973242700199177;-0.828183339857
