Point;Valeur
-4.7728126927539885 -4.106958243873801;0.013388521461368
-4.736612693069068 -4.070758244299331;-0.03765220859154
-4.711016638211437 -4.0451780605780305;-0.07367862802478
-4.690140038244563 -4.024322434111502;-0.10298744032717
-4.672086531046441 -4.006292423267519;-0.12825781561380
-4.655965531890702 -3.990196433167123;-0.15075039717600
-4.6412751815208795 -3.975532104922897;-0.17117696133222
-4.627699828119181 -3.9619835024772034;-0.18998607721724
-4.615025685092663 -3.949336661579786;-0.2074821679201
-4.603100011489758 -3.937438722435538;-0.2238831775760
-4.591809176359025 -3.9261759703930164;-0.23935158432642
-4.581065920287046 -3.915461084658119;-0.25401242401412
-4.570801500731181 -3.9052252761813344;-0.26796441236385
-4.56096061139804 -3.8954132024706194;-0.2812871447064
-4.5514979648972576 -3.8859795473154812;-0.29404594246399
-4.542375918012275 -3.876886644107992;-0.3062952236363
-4.533562775328266 -3.868102778129399;-0.31808091238818
-4.525031548414688 -3.859600944786632;-0.3294422029491
-4.516759029394393 -3.8513579224962338;-0.3404128776465
-4.508725086687031 -3.8433535679229394;-0.35102230965665
-4.5009121210693435 -3.835570271659967;-0.3612962381156
-4.493304639574032 -3.8279925318379453;-0.3712573758062
-4.485888917442701 -3.820606615852926;-0.38092589165948
-4.478652726857585 -3.8134002889214043;-0.39031979826161
-4.471585116998241 -3.8063625939963437;-0.3994552663033
-4.464676234025381 -3.7994836716390394;-0.4083468821603
-4.45791717247242 -3.792754611318503;-0.41700786071189
-4.451299851592273 -3.7861673276836147;-0.42545022257193
-4.444816911718837 -3.779714456862653;-0.43368494275861
-4.438461626817899 -3.7733892689628408;-0.44172207624779
-4.432227830238279 -3.7671855937785863;-0.4495708646661
-4.426109851305529 -3.7610977573484083;-0.4572398274831
-4.42010246088196 -3.755120527484413;-0.46473684037535
-4.41420082438895 -3.749249066768351;-0.47206920290835
-4.408400461078307 -3.7434788917999042;-0.4792436972679
-4.402697208563825 -3.7378058377091663;-0.486266639450
-4.397087191805834 -3.7322260271242973;-0.49314392406858
-4.391566795883594 -3.7267358429289876;-0.4998810637152
-4.386132642003889 -3.721331904258252;-0.5064832236878
-4.380781566287385 -3.7160110452735893;-0.5129552527136
-4.3755106009503155 -3.7107702963346116;-0.5193017102341
-4.370316957556765 -3.705606867242594;-0.5255268907084
-4.365198012071025 -3.7005181322850813;-0.5316348453252
-4.360151291478307 -3.69550161684943;-0.5376294014547
-4.355174461776769 -3.690554985408749;-0.5435141801232
-4.350265317172916 -3.685676030711965;-0.5492926117512
-4.3454217703364195 -3.6808626640331044;-0.5549679503625
-4.340641843588933 -3.676112906356248;-0.5605432864428
-4.335923660920944 -3.6714248803879252;-0.5660215586025
-4.331265440742366 -3.666796803304152;-0.5714055641768
-4.326665489286392 -3.662226980150889;-0.5766979688803
-4.322122194595987 -3.657713797827431;-0.5819013156182
-4.317634021031029 -3.6532557195912023;-0.58701803254
-4.313199504242582 -3.648851280028962;-0.5920504404247
-4.308817246565492 -3.644499080447411;-0.5970007594382
-4.304485912788723 -3.640197784641403;-0.6018711153685
-4.300204226265188 -3.6359461150016963;-0.6066635453474
-4.295970965328816 -3.6317428489303407;-0.6113800031334
-4.291784959989634 -3.62758681553413;-0.6160223639880
-4.287645088880758 -3.623476892570057;-0.6205924291857
-4.283550276434202 -3.6194120036196487;-0.6250919301898
-4.27949949026494 -3.6153911154718297;-0.629522532524
-4.275491738744876 -3.611413235695485;-0.6338858393703
-4.271526068749404 -3.607477410385263;-0.6381833949055
-4.2676015635628906 -3.6035827220657475;-0.6424166874176
-4.263717340928618 -3.5997282877404637;-0.6465871522020
-4.259872551231518 -3.595913257073722;-0.6506961742661
-4.256066375802929 -3.5921368106946967;-0.6547450908551
-4.252298025337152 -3.5883981586128297;-0.6587351938138
-4.2485667384113395 -3.584696538737317;-0.6626677317967
-4.244871780099993 -3.581031215490904;-0.666543912338
-4.241212440677669 -3.5774014785117423;-0.6703649037962
-4.237588034401973 -3.57380664143584;-0.6741318371721
-4.23399789837183 -3.5702460407548147;-0.6778458078262
-4.230441391454769 -3.566719034742748;-0.681507877087
-4.226917893278503 -3.5632250024470618;-0.6851190737685
-4.2234268032822415 -3.5597633427393833;-0.6886803955960
-4.219967539822943 -3.5563334734214815;-0.6921928105548
-4.216539539333239 -3.552934830382597;-0.6956572581602
-4.2131422555271 -3.5495668668048714;-0.6990746506565
-4.20977515864995 -3.546229052412995;-0.7024458741519
-4.206437734770562 -3.5429208727656314;-0.7057717896901
-4.203129485111411 -3.539641828585728;-0.7090532342659
-4.199849925415436 -3.536391435126673;-0.7122910217857
-4.1965985853463135 -3.5331692215724186;-0.7154859439794
-4.193375007920786 -3.529974730469384;-0.718638771263
-4.190178748970093 -3.5268075171877307;-0.7217502535627
-4.187009376629544 -3.523667149410718;-0.724821121086
-4.1838664708539754 -3.5205532066497036;-0.7278520850716
-4.180749622957475 -3.5174652797838015;-0.7308438384832
-4.177658435176198 -3.5144029706224513;-0.7337970566864
-4.174592520252675 -3.511365891489392;-0.7367123980825
-4.171551501040198 -3.508353664827022;-0.73959050471
