Point;Valeur
0.0003162147055153497 3.1061937143321305;0.035391530656012
0.29018933732162805 3.6363442262693138;-0.4849553510058
0.8203379129867678 4.010711670057809;-0.814666613755
1.289989186071191 4.257573583524938;-0.9654371847561
1.5816033616541245 4.378220368599922;-0.9983614442043
1.6662497403631735 4.40791609186616;-0.9999999986071
1.6663115385814764 4.4079196409768455;-0.9999999996189
PointOptimal;ValeurOptimale
[1.66631154 4.40791964];-0.9999999996189021
Temps;Nb iteration
0.00044798851013183594;6
