Point;Valeur
0.07582390990439158 2.862101164989477;0.2749015312409
0.39038568289555764 3.1769025210846897;-0.059171196414378
0.824964900788582 3.496423477162121;-0.4357182294713
1.3565974749138245 3.790149591905936;-0.7732966222790
1.8982844880465204 4.003681138186989;-0.9606451369814
2.2383862044968965 4.097728997859715;-0.9990690126596
2.300874697796926 4.112048694838845;-0.9999999253690
2.3014099840025457 4.112161955025747;-0.9999999996592
2.3014124792195654 4.112156163365699;-0.9999999995517
PointOptimal;ValeurOptimale
[2.30141248 4.11215616];-0.9999999995517534
Temps;Nb iteration
0.0007717609405517578;8
