Point;Valeur
0.22506823213822358 4.9685325261314635;-0.9660708204922
0.21506859797880853 4.958532526882266;-0.9687128267168
0.2082974953532415 4.951603414129595;-0.9704774752076
0.20291744029148084 4.946017634009478;-0.9718610682704
0.19835678729968767 4.941228469395225;-0.9730198063923
0.19435160631234344 4.936981467584987;-0.9740261819698
0.19075474143097892 4.933134068472112;-0.9749207256993
0.18747432601317837 4.929596983159499;-0.9757287789115
0.1844484896163603 4.92630993577989;-0.9764674219990
0.18163322480877753 4.923229977670813;-0.9771488076322
0.17899591117947403 4.920325230277906;-0.9777819435803
0.1765115749690374 4.917571262138124;-0.9783737240462
0.1741605930184781 4.914948860333085;-0.9789295635170
0.17192721320820167 4.912442592004322;-0.9794538055882
0.16979856248615244 4.910039838549191;-0.9799499972511
0.1677639594902467 4.9077301255561006;-0.9804210790609
0.16581442473846003 4.9055046448353625;-0.9808695206976
0.16394232315538004 4.9033559052617335;-0.9812974199313
0.16214109770002208 4.901277472392588;-0.9817065763793
0.16040506723956013 4.899263770746545;-0.9820985474797
0.15872927069512915 4.8973099312461965;-0.9824746916548
0.15710934513325575 4.895411671823497;-0.982836202071
0.1555414291847141 4.8935652027822165;-0.9831841333861
0.15402208564251896 4.891767150918591;-0.983519423176
0.1525482387797186 4.890014498047251;-0.9838429092964
0.15111712310515582 4.888304530724638;-0.9841553440579
0.14972624110051985 4.886634798773813;-0.9844574059290
0.14837332809334777 4.885003080797659;-0.9847497092522
0.1470563228395793 4.883407355293033;-0.9850328123805
0.1457733427254399 4.8818457762927165;-0.9853072245356
0.14452266272889064 4.88031665269665;-0.9855734116236
0.143302697466443 4.878818430631671;-0.9858318011955
0.14211198579339648 4.877349678314514;-0.9860827867026
0.14094917752086117 4.875909072996863;-0.9863267311636
0.13981302191039272 4.874495389652918;-0.9865639703415
0.13870235765847275 4.8731074911332986;-0.9867948155067
0.13761610414560446 4.871744319559387;-0.9870195558506
0.13655325375960223 4.87040488877236;-0.9872384606033
0.1355128651303514 4.8690882776828985;-0.987451780896
0.13449405715830695 4.867793624393895;-0.9876597514095
0.13349600371279557 4.866520120988779;-0.9878625918287
0.1325179289213609 4.865267008895837;-0.988060508144
0.1315591029645056 4.864033574752359;-0.9882536938062
0.13061883831511176 4.862819146704373;-0.9884423307598
0.12969648636346162 4.861623091087157;-0.9886265903717
0.12879143438299995 4.860444809439666;-0.9888066342644
0.12790310279267159 4.8592837358126335;-0.9889826150669
0.12703094268521495 4.858139334336004;-0.9891546770937
0.12617443358754798 4.857011097015555;-0.9893229569591
0.12533308142584004 4.855898541732934;-0.9894875841341
0.12450641667833813 4.854801210426731;-0.9896486814534
0.12369399268887102 4.853718667434685;-0.9898063655767
0.12289538412813729 4.852650497980179;-0.9899607474100
0.12211018558620906 4.851596306787803;-0.9901119324905
0.12133801028172905 4.850555716814793;-0.9902600213390
0.12057848887919094 4.84952836808679;-0.9904051097839
0.11983126839906319 4.848513916627445;-0.9905472892579
0.11909601121642943 4.847512033473041;-0.9906866470720
0.11837239413523405 4.8465224037637284;-0.990823266667
0.1176601075365526 4.845544725904458;-0.9909572278469
0.1169588545867467 4.844578710789039;-0.9910886069931
0.11626835050821965 4.8436240810816535;-0.9912174772642
0.11558832190065227 4.84268057055074;-0.9913439087799
0.11491850611132938 4.841747923450582;-0.9914679687924
0.11425865065017962 4.840825893946587;-0.9915897218454
0.11360851264525475 4.839914245580425;-0.9917092299217
0.11296785833561858 4.839012750771817;-0.9918265525811
0.11233646259722961 4.838121190353835;-0.991941747088
0.11171410850139853 4.837239353139088;-0.9920548685348
0.11110058690183074 4.836367035514261;-0.9921659699463
0.11049569604763769 4.835504041060834;-0.9922751023918
0.10989924122149726 4.834650180199848;-0.9923823150796
0.10931103440087489 4.833805269859015;-0.9924876554486
0.10873089393803155 4.832969133160314;-0.9925911692555
0.10815864426164545 4.832141599126706;-0.9926929006545
0.10759411559574635 4.831322502406454;-0.9927928922738
0.1070371436950292 4.830511683013838;-0.9928911852866
0.10648756959500046 4.829708986084984;-0.9929878194784
0.1059452393777928 4.82891426164793;-0.9930828333100
0.10541000395084851 4.828127364405731;-0.9931762639771
0.10488171883713426 4.827348153531806;-0.9932681474664
0.10436024397859169 4.826576492476709;-0.9933585186090
0.10384544354859261 4.825812248785496;-0.9934474111299
0.10333718577588853 4.825055293925034;-0.993534857695
0.10283534277752106 4.824305503120564;-0.993620889959
0.10233979039981686 4.823562755200931;-0.9937055386032
0.10185040806936288 4.82282693245197;-0.9937888333766
0.1013670786497142 4.822097920477403;-0.9938708031372
0.10088968830738837 4.821375608066975;-0.9939514758852
0.10041812638250418 4.820659887071185;-0.9940308787979
0.09995228526766002 4.8199506522822855;-0.9941090382624
0.09949206029114634 4.819247801321236;-0.99418597990
0.09903734960766251 4.81855123453017;-0.9942617286266
0.09858805409290437 4.817860854870051;-0.9943363086189
0.09814407724363552 4.817176567823254;-0.9944097434026
0.09770532508236876 4.816498281300766;-0.9944820558470
0.09727170606670568 4.815825905553755;-0.9945532681949
0.09684313100294188 4.815159353089226;-0.994623402086
0.09641951296265665 4.814498538589542;-0.9946924785791
0.09600076720395218 4.8138433788356725;-0.9947605181715
0.09558681109697752 4.813193792633831;-0.9948275408205
0.095177564051361 4.812549700745415;-0.9948935659620
0.09477294744611886 4.811911025820043;-0.9949586125285
0.09437288456552714 4.8112776923315215;-0.995022698966
0.09397730053478315 4.810649626516543;-0.9950858432532
0.09358612226031132 4.810026756316114;-0.9951480629126
0.0931992783712552 4.8094090113193495;-0.9952093750305
0.09281669916476695 4.80879632270974;-0.9952697962690
0.09243831655187913 4.808188623213572;-0.9953293428807
0.09206406400702544 4.8075858470505395;-0.9953880307221
0.09169387651979509 4.806987929886385;-0.9954458752661
0.09132769054662555 4.806394808787395;-0.9955028916147
0.09096544396640016 4.805806422176789;-0.9955590945106
0.09060707603720973 4.805222709792825;-0.9956144983485
0.09025252735422987 4.804643612648573;-0.9956691171860
0.08990173981089428 4.804069072993236;-0.9957229647542
0.08955465655863774 4.803499034274997;-0.995776054467
0.08921122197140663 4.802933441105269;-0.9958283994333
0.08887138160910232 4.802372239224373;-0.9958800124617
0.08853508218370736 4.801815375468421;-0.99593090607
0.08820227152627626 4.8012627977375395;-0.9959810925102
0.08787289855475929 4.800714454965184;-0.9960305837403
0.08754691324373805 4.800170297088677;-0.9960793914690
0.08722426659493142 4.799630275020734;-0.9961275271452
0.08690491060844521 4.799094340622108;-0.9961750019687
0.0865887982551832 4.798562446675145;-0.9962218268976
0.08627588345083657 4.7980345468583625;-0.9962680126549
0.08596612102965573 4.797510595721839;-0.996313569735
0.08565946672041932 4.796990548663559;-0.9963585084121
0.08535587712214278 4.7964743619065215;-0.996402838741
0.0850553096812783 4.795961992476661;-0.996446570570
0.08475772266950146 4.795453398181545;-0.9964897135429
0.08446307516162595 4.794948537589778;-0.9965322771017
0.08417132701605896 4.794447370011092;-0.9965742704982
0.08388243885314288 4.793949855477144;-0.9966157027950
0.08359637203689015 4.793455954722916;-0.9966565828716
0.08331308865567941 4.792965629168759;-0.9966969194290
0.0830325515041085 4.792478840903014;-0.9967367209947
0.08275472406576914 4.791995552665196;-0.9967759959268
0.08247957049538904 4.791515727829726;-0.9968147524186
0.08220705560363507 4.791039330390211;-0.9968529985028
0.08193714483905935 4.790566324944174;-0.9968907420556
0.08166980427510624 4.790096676678332;-0.9969279908004
0.08140500059270228 4.789630351354266;-0.9969647523118
0.08114270106766563 4.78916731529462;-0.997001034019
0.0808828735554428 4.788707535369654;-0.9970368432117
