Point;Valeur
0.40526496282453195 0.3486663573764872;0.5095055496237
-0.9225909114809026 -0.7946594954740711;0.9382872339597
-1.226855264284244 -1.0564922967586543;0.9988356165022
-1.492242105506755 -1.284919628658305;0.921675911946
-2.2547341122227667 -1.9414226043656746;0.16543820111960
-4.248453031292775 -3.658071935685378;-0.6263511311014
-4.305718049938786 -3.707368403397987;-0.565717271721
-3.075771007317863 -2.6483349534843836;-0.7939207463219
-3.2356692078837987 -2.7859969487064804;-0.9036530139047
-3.9938108816066995 -3.438759444245906;-0.8483865155981
-3.6579789277553822 -3.1495879576985013;-0.9934300394877
-3.271096956924545 -2.816460204216714;-0.9226697967518
-3.6198010740730497 -3.116680347213872;-0.9979341491955
-3.7405579707813197 -3.220635639390782;-0.9750991965475
-3.476085917917723 -2.9929076595659;-0.9921504670238
-3.501781542340727 -3.0150129486789483;-0.9958183971211
-3.6582609666966253 -3.14972181680321;-0.9933955395141
-3.5805810668651685 -3.0828224466157947;-0.9999221678912
-3.5126233725470173 -3.0242935950654197;-0.9970207095843
-3.5883627004193217 -3.0894844621639623;-0.9997419021733
-3.601180427796234 -3.100501577698342;-0.9992151422866
-3.548483272696784 -3.0551125623609976;-0.9995522083200
-3.5613368972748454 -3.0661601872915787;-0.9999157803500
-3.589405950820589 -3.09030760515679;-0.9997108584851
-3.57020083644411 -3.0737542975676986;-0.9999991467172
-3.560184715436145 -3.065112201597253;-0.9998943625522
-3.576259055710054 -3.078932421266391;-0.9999778008188
-3.576197603508293 -3.0788607736516003;-0.9999784182511
PointOptimal;ValeurOptimale
[-3.5761976  -3.07886077];-0.9999784182511356
Temps;Nb iteration
0.0016689300537109375;27
