Point;Valeur
0.8534296153593317 -2.4481088318822284;0.5218274852093
0.884739087039388 -2.5743139208849364;0.4072926178937
0.9572456168115578 -2.8183082681869505;0.16440529681491
1.071475130365378 -3.1833339990639518;-0.21552332733031
1.224135265723356 -3.6610190181943705;-0.6583783034211
1.4023987952966042 -4.214031489995656;-0.9634689484241
1.582406902885196 -4.771269523960677;-0.9509692693296
1.7376761572206356 -5.253070350929805;-0.6817625985051
1.8504687069585728 -5.605738401095215;-0.37084647632094
1.9143937608525357 -5.809727859390631;-0.16540914896344
1.929791645080214 -5.86586416098311;-0.10782683136990
1.8992302620821873 -5.781754664372141;-0.19620268086687
1.8260986405827886 -5.567528520113064;-0.41125727174229
1.7160888927099687 -5.240356934465291;-0.6954129214335
1.5801404306786193 -4.833469097762731;-0.9313068595215
1.435800698642602 -4.400394088296026;-0.9965012772152
1.303735598948313 -4.004397984866463;-0.8770532288969
1.201026991118479 -3.698006293570168;-0.6791163367595
1.1372559358355 -3.510925455090487;-0.5217737067321
1.1153665423455534 -3.452563206189747;-0.4676784569929
1.134169362784594 -3.519606359388095;-0.5279970853765
1.1896326810426323 -3.699902888405743;-0.6778682361264
1.2744549143925272 -3.971050988537399;-0.8567613733616
1.3771239808332105 -4.297408264978557;-0.9801223191247
1.482514023927587 -4.631911789901058;-0.988622656563
1.5750366596766736 -4.925913723383417;-0.8964059162103
1.6425258370873983 -5.141359679069781;-0.7744388174335
1.6781153145884695 -5.25671638996683;-0.692617449820
1.679796790755594 -5.265636210528508;-0.6860913291770
1.6493171819705388 -5.173534586538421;-0.7533299554614
1.5916707089275433 -4.99601892527046;-0.8622773107213
1.5151331337213432 -4.759014174916285;-0.960502949200
1.430869654180845 -4.497551451021895;-0.9999734378409
1.3512566381869124 -4.250514505332068;-0.9683513056239
1.2873049789977284 -4.052548912027416;-0.8959216806006
1.2466266623970321 -3.9276571499921475;-0.8300268974560
1.2328138149917416 -3.8872198383240915;-0.8054502647843
1.2457954093697112 -3.931088841101427;-0.8317073343053
1.2823324080399845 -4.049119458193871;-0.8937915607902
1.3363473876363796 -4.222187421580369;-0.9600075370660
