Point;Valeur
1.1546121019294961 -3.867906216595045;-0.7801895055361
1.1716121019294972 -3.884906216595046;-0.7932555029088
1.194440769512368 -3.907727419496775;-0.8102662961820
1.2209958053248078 -3.934254656407374;-0.8292559808098
1.2501184379039745 -3.9633125134409446;-0.8490600659886
1.2810335354248048 -3.9941071269808655;-0.8688725663294
1.313168474527546 -4.026046567321396;-0.8881019774737
1.3460718242183705 -4.058660894971346;-0.9063066501311
1.3793698721664476 -4.091559955672525;-0.923160315871
1.4127407685350395 -4.124408719403341;-0.938431412204
1.4458981292176163 -4.156912016062887;-0.9519694043619
1.478580337715679 -4.188804891376708;-0.9636947924996
1.5105436550195206 -4.2198466455780625;-0.9735909856906
1.5415581294016385 -4.249817468126391;-0.9816969490142
1.5714057356559243 -4.27851699289896;-0.9880999334881
1.5998803804118367 -4.305764292725785;-0.9929278652190
1.626789480597692 -4.331398912971138;-0.996341182659
1.651956804952763 -4.355282567258271;-0.9985241041694
1.6752261994200088 -4.377301120959869;-0.9996754896892
1.696465731819732 -4.397366496244423;-0.9999996198993
1.715571727099524 -4.415418164380794;-0.9996973331708
1.7324721560216199 -4.431423955035451;-0.9989580129807
1.7471289085944544 -4.445380006003093;-0.9979528922429
1.7595386282519379 -4.457309788088828;-0.9968300375955
1.769731979312854 -4.4672622508841195;-0.9957112150793
1.777771427752972 -4.475309227990063;-0.9946906511651
1.7837477905689252 -4.4815423019253275;-0.9938355261310
1.7877759207440282 -4.486069354572638;-0.9931879004744
1.7899899319687977 -4.489011021574723;-0.9927676960909
1.7905383384920752 -4.490497237184066;-0.9925763339323
1.7895794121324895 -4.490664010547343;-0.9926006583930
1.7872769654046974 -4.489650525400348;-0.9928168391817
1.7837966779451553 -4.487596610250094;-0.9931940167412
1.779303006569754 -4.484640589778978;-0.9936975334244
1.773956663347502 -4.480917502062253;-0.9942916604545
1.767912611185507 -4.476557649857377;-0.994941785674
1.7613185093070756 -4.471685446144071;-0.9956160681948
1.754313537025831 -4.466418512240072;-0.9962865944873
1.7470275287454256 -4.460866989173067;-0.996930088384
1.739580362276443 -4.455133027804543;-0.9975282373448
1.7320815534659786 -4.449310429103699;-0.9980677013117
1.7246300208441032 -4.443484411963111;-0.9985398703766
1.7173139933468227 -4.437731491374518;-0.9989404345081
1.7102110416153817 -4.432119454260083;-0.9992688237821
1.7033882187505398 -4.42670742361239;-0.9995275714602
1.6969022998477494 -4.421546003826766;-0.9997216453800
1.6908001114498903 -4.41667750131553;-0.9998577857698
1.685118942611306 -4.412136214853975;-0.9999438800736
1.679887028970839 -4.407948789839751;-0.9999883979192
1.6751241004662183 -4.404134629981722;-0.9999999022356
1.6708419824135925 -4.4007063590890505;-0.9999866459347
1.6670452388811587 -4.397670324795283;-0.9999562577143
1.6637318467778108 -4.395027135372537;-0.9999155155595
1.6608938889541445 -4.3927722203669175;-0.9998702025013
1.6585182548999007 -4.390896405669446;-0.9998250361807
1.6565873382904899 -4.389386493836994;-0.9997836617330
1.6550797216192579 -4.388225840968752;-0.9997486963788
1.6539708393636565 -4.3873949221774895;-0.9997218137805
1.6532336124770515 -4.386871878607125;-0.9997038565590
1.6528390483850837 -4.3866330399726765;-0.9996949662156
1.6527568020190233 -4.386653417671087;-0.9996947209278
PointOptimal;ValeurOptimale
[ 1.6527568  -4.38665342];-0.9996947209278936
Temps;Nb iteration
0.012964248657226562;60
