Point;Valeur
1.4641349546406168 4.7292196322424935;-0.9717433328457
1.4476911108077413 4.712775788409618;-0.9763904905475
1.4263025842158157 4.691378497102375;-0.9818120245589
1.4022623310437101 4.667304948229801;-0.9870649226567
1.3769109312941021 4.641875719037254;-0.9916398505290
1.3512423093607862 4.6160647795810545;-0.9952619881927
1.3261126103365786 4.590714889698059;-0.9978211573610
1.3023361206331756 4.566642958189836;-0.9993402324998
1.280721815673225 4.54468778469538;-0.9999566680122
1.2620558153405912 4.525700004194886;-0.9999018322804
1.2470277651107664 4.510462226753744;-0.9994649092597
1.2361191133967613 4.49955071154284;-0.9989360727102
1.2295032342208307 4.493198926474194;-0.9985419307659
1.2270131066054315 4.4912438367894065;-0.9984014490397
1.228190945112332 4.4931829721107;-0.9985223471001
1.2323833348717546 4.498293915545703;-0.9988321809136
1.2388330312123519 4.5057477675517745;-0.9992224201654
1.2467416303998997 4.514682308729643;-0.9995875046788
1.255304412480363 4.5242385488382695;-0.9998515777971
1.263733470560392 4.533582259828233;-0.999982186434
1.2712885395877707 4.541934081573533;-0.9999915639277
1.2773290319352169 4.548623491018128;-0.9999258336513
1.2813850309555164 4.553163542147806;-0.999844285545
1.2832245023872657 4.555320761093897;-0.9997955302160
1.2828857041951724 4.555146674752618;-0.9998007423637
1.2806600067690777 4.552956589601591;-0.999851188018
1.2770367999549528 4.5492700908246615;-0.9999190662575
1.2726328293744198 4.544737851808758;-0.999974296046
1.2681183280539485 4.540066923973015;-0.9999989404539
1.264138402908615 4.535940694740879;-0.9999935620738
1.2612265469815047 4.532927969731202;-0.9999735611201
1.2597204073123738 4.5313914294631905;-0.9999580873600
1.2597044146380365 4.531423768565535;-0.9999583330452
PointOptimal;ValeurOptimale
[1.25970441 4.53142377];-0.9999583330452029
Temps;Nb iteration
0.0023221969604492188;32
