Point;Valeur
2.2019672196570896 4.444380094411612;-0.9695112220938
2.1764740491534305 4.399328184939317;-0.9808763115753
2.145203907084709 4.34019299157948;-0.9916893347523
2.1154713935151195 4.282632992345146;-0.9979374540992
2.091749904676066 4.236262210524743;-0.9999261039947
2.075877365868459 4.2051639789565645;-0.9997411260027
2.0676694629130576 4.189197077808309;-0.9991716569491
2.0656839679672885 4.185587509075537;-0.9989957176852
2.0679333016872925 4.190401618631099;-0.9992196486810
2.072431584314933 4.199674214414951;-0.9995736390710
2.0775398774159495 4.210121022802327;-0.9998455873540
2.0821238014978034 4.219466356658871;-0.9999743338987
2.0855649536010867 4.226471480173043;-0.99999979518
2.0876777217071574 4.23076930429684;-0.9999852626245
2.0885808925648504 4.23260623379598;-0.9999720546504
2.0885633548509004 4.232571276910146;-0.999972346260
PointOptimal;ValeurOptimale
[2.08856335 4.23257128];-0.999972346260438
Temps;Nb iteration
0.0009965896606445312;15
