Point;Valeur
2.208643507527171 -0.15507597749247992;0.8001298388787
2.52344459712283 -0.4697891966748346;0.5436587671307
2.8835666465615746 -0.8982271402118047;0.12106834383130
3.273116718038132 -1.4405215259539013;-0.4209514157297
3.627844358262077 -2.044797608196426;-0.8535879793892
3.837954967838113 -2.5123132614616415;-0.9921633658131
3.8880249455841036 -2.649147999926083;-0.9999708641470
3.891036973104751 -2.6578379927007156;-0.9999999692191
3.8911189629241982 -2.658151941426723;-0.9999999999944
3.8911039166154904 -2.658187770613849;-0.9999999999900
PointOptimal;ValeurOptimale
[ 3.89110392 -2.65818777];-0.9999999999900652
Temps;Nb iteration
0.0006072521209716797;9
