Point;Valeur
2.332379022602731 3.0930011602131877;-0.6685437411301
2.472095010102244 3.28070761808036;-0.822754852678
2.653407204458313 3.522980525472792;-0.954758057319
2.7980377701807875 3.7160938159452375;-0.9981593522468
2.8782616510571835 3.8233530035998298;-0.9973178226294
2.901974513929095 3.8553305288067747;-0.9936146851369
2.891130286631726 3.841250953597831;-0.9954626887713
2.867351331229516 3.809883961450109;-0.998436011278
2.845138000099928 3.780526114559011;-0.9998171967275
2.830867156751153 3.7616720666174097;-0.999989763328
2.8249806652016463 3.7539240721642786;-0.9998983973885
2.8249668034863733 3.7539551136936367;-0.9998986319986
PointOptimal;ValeurOptimale
[2.8249668  3.75395511];-0.9998986319986245
Temps;Nb iteration
0.0005021095275878906;11
