Point;Valeur
2.690264131013171 0.39501287895843706;0.4100265678596
2.694776222923762 0.39567546101519946;0.4058628240498
2.699297517255384 0.396339394541673;0.40168212136042
2.703827938454709 0.3970046684436571;0.3974845656832
2.7083674100505943 0.3976712714921258;0.3932702654581
2.712915854657117 0.3983391923237548;0.3890393316735
2.717473193976797 0.399008419441366;0.38479187786689
2.722039348804112 0.3996789412144073;0.3805280201230
2.7266142390290713 0.40035074587949393;0.37624787707331
2.7311977836411456 0.401023821541047;0.37195156989292
2.7357899007332236 0.4016981561717984;0.36763922229806
2.740390507505988 0.40237373761342377;0.3633109605420
2.7449995202723065 0.4030505535772725;0.3589669134105
2.749616854461909 0.4037285916450004;0.3546072122168
2.7542424246262494 0.4044078392692555;0.3502319907951
2.758876144443634 0.405088283774491;0.34584138549386
2.763517926724457 0.40576991235772053;0.3414355351681
2.768167683416678 0.4064527120892589;0.3370145811713
2.772825325611583 0.40713666991368;0.3325786673455
2.777490763549623 0.4078217726505521;0.3281279400119
2.78216390662652 0.40850800699539536;0.32366254795972
2.7868446633996515 0.4091953595206952;0.3191826424344
2.7915329415944963 0.4098838166766736;0.3146883771257
2.7962286481113905 0.4105733647924579;0.3101799081538
2.8009316890324434 0.41126399007697967;0.30565739405586
2.805641969628711 0.4119556786200771;0.3011209957703
2.810359394367465 0.41264841639350214;0.2965708766223
2.8150838669198155 0.4133421892521614;0.29200720230624
2.819815290168407 0.41403698293514013;0.2874301408687
2.8245535662153936 0.4147327830669182;0.28283986269065
2.829298596390515 0.4154295751585133;0.27823654046813
2.834050281259593 0.4161273446088135;0.2736203491926
2.838808520632977 0.41682607670567895;0.26899146613044
2.8435732135742913 0.4175257566273991;0.2643500708014
2.8483442584093996 0.41822636944388347;0.2596963449566
2.853121552735547 0.4189279001180327;0.2550304725554
2.8579049934307132 0.4196303335071181;0.25035263974182
2.862694476663111 0.42033365436421366;0.24566303481946
2.8674898979009353 0.42103784733953686;0.24096184822666
2.8722911519222105 0.42174289698200423;0.2362492725100
2.877098132824996 0.42244878774066497;0.23152550229760
2.8819107340375814 0.4231555039661928;0.2267907342709
2.8867288483289113 0.4238630299124194;0.22204516713686
2.8915523678194033 0.42457134973794447;0.2172890015979
2.896381183991586 0.425280447507723;0.21252244032268
2.9012151877012458 0.42599030719466;0.20774568791452
2.9060542691885107 0.4267009126812316;0.2029589508804
2.9108983180892385 0.42741224776115283;0.19816243759888
2.915747223446589 0.4281242961411125;0.19335635828626
2.9206008737225972 0.42883704144248447;0.18854092496381
2.925459156810172 0.4295504672030579;0.18371635142284
