Point;Valeur
3.990646767822625 -1.0413336751433455;-0.8319880492363
3.9837062778532877 -1.0516990183360708;-0.8297166596345
3.9797206440893595 -1.062425586194312;-0.8291022367190
3.9785774074841 -1.0735060587509329;-0.8300894697174
3.9801570501142365 -1.084930058106256;-0.832598578106
3.984333682636037 -1.0966842909491812;-0.8365284634891
3.990975683944577 -1.108752691678951;-0.8417597920241
3.9999463046188084 -1.1211165680075958;-0.8481580213366
4.011104245648729 -1.133754751057455;-0.8555763873281
4.0243042233454585 -1.1466437519522101;-0.8638588631975
4.039397530304054 -1.159757926744529;-0.87284309630
4.056232600895665 -1.1730696512439065;-0.8823633194223
4.074655588086574 -1.1865495069223793;-0.8922532225226
4.094510956496461 -1.2001664786061919;-0.9023487607276
4.115642094598903 -1.2138881641309216;-0.9124908643077
4.13789194691669 -1.227680995573861;-0.9225280087334
4.161103665056304 -1.241510471106771;-0.9323185973745
4.185121274539 -1.255341395962396;-0.9417331071332
4.209790352694252 -1.269138130505149;-0.9506559483430
4.234958711448716 -1.2828648429637326;-0.958986994721
4.260477077721578 -1.2964857640403953;-0.9666427467706
4.286199763361158 -1.3099654403731882;-0.973557102314
4.311985316146943 -1.323268983702642;-0.9796817201606
4.337697143336724 -1.3363623125859803;-0.9849859763122
4.363204099543531 -1.3492123836069927;-0.9894565259265
4.388381031348772 -1.3617874092395532;-0.9930964973062
4.413109271950405 -1.3740570598235258;-0.995924355951
4.437277080250945 -1.3859926474862274;-0.9979724863310
4.460780020047348 -1.3975672902704086;-0.9992855461465
4.483521276327448 -1.4087560551899687;-0.9999186521668
4.50541190704207 -1.4195360794057374;-0.99993545821
4.526371030049218 -1.4298866691761711;-0.9994061846746
4.546325946165563 -1.4397893766740881;-0.9984056553958
4.565212200369617 -1.4492280551558678;-0.9970113923370
4.5829735841493235 -1.4581888933133342;-0.9953018115249
4.599562082755466 -1.4666604299230346;-0.993354556084
4.614937771702064 -1.4746335501294454;-0.9912449940110
4.629068667247353 -1.4821014648571171;-0.9890449003066
4.641930535803026 -1.4890596749445792;-0.9868213354741
4.6535066672717 -1.495505921634716;-0.9846357255088
4.663787617223726 -1.501440125048777;-0.9825431425277
4.672770922619048 -1.5068643122221477;-0.9805917802115
4.680460795482783 -1.511782536197758;-0.9788226142817
4.68686779858115 -1.5162007875660728;-0.9772692352638
4.692008506740961 -1.5201268997171848;-0.9759578387032
4.69590515703442 -1.5235704489384587;-0.9749073566914
4.698585290630555 -1.5265426503571125;-0.9741297138880
4.700081388712617 -1.5290562505969778;-0.9736301910535
4.700430504490007 -1.5311254178970262;-0.9734078793167
4.69967389300403 -1.532765630329953;-0.973456208873
4.697856640145422 -1.5339935626645058;-0.9737635364628
4.69502729207207 -1.534826972336941;-0.9743137767043
4.691237486038095 -1.5352845849352597;-0.9750870632069
4.686541583519097 -1.535385979554891;-0.9760604261582
4.680996306439167 -1.535151474354632;-0.9772084739635
4.67466037726764 -1.5346020126259459;-0.9785040673440
4.66759416375144 -1.5337590496844773;-0.9799189751738
4.659859329074131 -1.5326444408981446;-0.9814245022396
4.651518488278382 -1.5312803311782743;-0.9829920800604
4.642634871845735 -1.529689046276802;-0.9845938129181
4.633271997389205 -1.5278929862507673;-0.9862029723360
4.623493350472996 -1.5259145214729661;-0.9877944344026
4.613362075623009 -1.5237758915823842;-0.9893450555657
4.602940678626763 -1.5214991077782687;-0.9908339838046
4.592290741237461 -1.5191058588658655;-0.9922429034077
4.581472649391123 -1.5166174214589043;-0.9935562129146
4.570545336016582 -1.5140545747332543;-0.9947611370891
4.55956603946488 -1.5114375201075863;-0.9958477750497
4.548590078507915 -1.508785806200411;-0.996809087856
4.5376706447579105 -1.5061182593793607;-0.9976408299128
4.526858613241806 -1.5034529201782751;-0.9983414294557
4.5162023717312625 -1.500806985812256;-0.9989118241560
4.505747669283405 -1.4981967589710892;-0.9993552584271
4.495537484293717 -1.4956376030188954;-0.9996770494170
4.4856119122046865 -1.4931439036737792;-0.9998843288534
4.476008072855985 -1.4907290371870876;-0.9999857679173
4.466760037307905 -1.4884053449887453;-0.9999912921546
4.457898773822711 -1.4861841147144264;-0.9999117931143
4.449452112551649 -1.4840755674826376;-0.9997588429429
4.441444728350606 -1.482088851246387;-0.9995444175980
4.433898141036842 -1.4802320400052351;-0.9992806336912
4.426830732303758 -1.4785121386296958;-0.9989795032539
4.420257778431055 -1.4769350930215364;-0.9986527099768
4.414191497863656 -1.4755058053102923;-0.9983114097066
4.408641112684249 -1.4742281537682596;-0.9979660572397
4.403612922970167 -1.473105017113218;-0.9976262607224
4.399110393004557 -1.4721383028594948;-0.9973006642875
4.395134248302872 -1.4713289793735125;-0.9969968589256
4.391682582417184 -1.470677111289152;-0.9967213210227
4.388750972491105 -1.4701818979402559;-0.9964793774928
4.386332602555428 -1.4698417144724478;-0.9962751960026
4.384418393577736 -1.4696541553029583;-0.9961117984295
4.382997139306271 -1.4696160796054425;-0.9959910953972
4.382055646978769 -1.4697236585059983;-0.9959139395199
4.381578881998718 -1.4699724236867264;-0.9958801948227
4.381550115714736 -1.470357317103503;-0.9958888197131
4.381951075471895 -1.470872741535411;-0.9959379608386
4.382762096137061 -1.4715126116939135;-0.9960250551763
4.383962272332801 -1.4722704056304508;-0.9961469377600
4.385529610646522 -1.4731392161916907;-0.9962999525479
4.387441181112809 -1.474111802281913;-0.9964800640734
4.389673267297843 -1.4751806397023475;-0.9966829676859
4.392201514345373 -1.4763379713474147;-0.9969041963839
4.395001074374315 -1.477575856548121;-0.9971392224571
4.398046748648827 -1.4788862193632313;-0.9973835523859
4.401313125973198 -1.480260895629483;-0.9976328136897
4.404774716796172 -1.4816916785930194;-0.9978828326643
4.408406082542591 -1.48317036295557;-0.9981297022011
4.4121819597249194 -1.4846887871807273;-0.9983698391303
4.416077378423224 -1.4862388739179222;-0.9986000307701
4.420067774759574 -1.4878126684144848;-0.9988174705997
4.424129097031667 -1.489402374799462;-0.9990197831866
4.428237905210662 -1.4910003901365534;-0.9992050387014
4.432371463549416 -1.492599336157684;-0.9993717575300
4.43650782608943 -1.494192088603057;-0.9995189056513
4.440625914897649 -1.4957718041082568;-0.9996458815786
4.4447055909071915 -1.4973319445936026;-0.9997524957700
4.448727717279141 -1.4988662991256712;-0.999838943495
4.45267421524492 -1.5003690032354766;-0.9999057722020
4.456528112430597 -1.5018345556920307;-0.9999538444425
4.46027358370493 -1.503257832743835;-0.9999842974554
4.463895984632013 -1.5046340998543042;-0.9999985004466
4.467381877646525 -1.5059590209697606;-0.9999980106019
4.470719051104785 -1.5072286653706526;-0.9999845287989
4.473896531397475 -1.5084395121679528;-0.9999598559188
4.47690458834016 -1.5095884525169398;-0.999925850573
4.479734734085339 -1.5106727896300682;-0.9998843889728
4.482379715824547 -1.5116902366791307;-0.9998373275593
4.484833502570978 -1.5126389126844477;-0.9997864689248
4.487091266332305 -1.5135173364954382;-0.9997335314279
4.489149357999735 -1.514324418972466;-0.9996801228180
4.491005278292873 -1.5150594534846613;-0.9996277180683
4.492657644111069 -1.515722104842096;-0.9995776415241
4.4941061506502225 -1.5163123967836827;-0.9995310533773
4.495351529650049 -1.5168306981442483;-0.999488940391
4.496395504140574 -1.5172777078254982;-0.9994521107272
4.497240740058179 -1.517654438696241;-0.9994211926427
4.497890795101082 -1.5179622005471567;-0.9993966367983
4.498350065191973 -1.518202582224593;-0.9993787218301
4.49862372891154 -1.5183774330666764;-0.9993675628326
4.4987176902611195 -1.5184888437631165;-0.9993631223551
4.498638520105763 -1.5185391267578487;-0.9993652235017
PointOptimal;ValeurOptimale
[ 4.49863852 -1.51853913];-0.9993652235017014
Temps;Nb iteration
0.028923749923706055;141
