Point;Valeur
3.9952092571881774 -1.1527720399585561;-0.8503245570976
4.012209256855658 -1.1697720359650134;-0.861219561258
4.024013870509233 -1.1816400651681196;-0.8685786537271
4.033541136342352 -1.1912491655680908;-0.8743916324847
4.041716494569811 -1.1995145290898603;-0.8792883571286
4.0489711095792105 -1.2068634770443587;-0.883562071395
4.055546706604886 -1.2135359142292947;-0.8873771080621
4.061594757166762 -1.219682321996454;-0.8908364100327
4.067217553203185 -1.225404402022089;-0.8940094783633
4.0724880040849145 -1.2307746881477106;-0.8969458385354
4.077460241132784 -1.2358470609436927;-0.8996822522105
4.082175759931496 -1.2406628422377644;-0.902246893656
4.086667199558481 -1.2452545471532757;-0.9046619190260
4.090960782580078 -1.2496483077659024;-0.9069451249572
4.0950779536114865 -1.253865501397068;-0.9091110622568
4.0990365163394475 -1.2579238809460824;-0.9111718086233
4.10285144471351 -1.2618383815810121;-0.9131375198752
4.106535475611013 -1.2656217102961556;-0.9150168326468
4.110099550872983 -1.269284785753336;-0.9168171647069
4.113553153007109 -1.272837072402113;-0.9185449430159
4.116904564238677 -1.276286838370354;-0.9202057796928
4.120161069271483 -1.2796413573600869;-0.9218046097350
4.123329116022044 -1.2829070687285695;-0.9233458001828
4.126414444506823 -1.286089705876103;-0.924833237647
4.12942219127065 -1.2891944002883071;-0.926270399223
4.13235697480115 -1.2922257666485786;-0.9276604104840
4.135222965996326 -1.2951879730681264;-0.929006093324
4.138023946763612 -1.29808479949613;-0.9303100057454
4.140763359105583 -1.3009196866538464;-0.931574475171
4.1434443465147615 -1.3036957773082793;-0.9328016265511
4.146069789101296 -1.3064159513002656;-0.9339934061988
4.148642333575557 -1.309082855446831;-0.9351516021423
4.151164418978012 -1.31169892920487;-0.9362778615843
4.153638298871205 -1.3142664268089974;-0.9373737059614
4.156066060571057 -1.3167874364577112;-0.9384405439930
4.1584496418865395 -1.319263897015408;-0.9394796830383
4.160790845751004 -1.3216976126132942;-0.9404923390232
4.16309135306159 -1.3240902654619868;-0.9414796451497
4.165352733987242 -1.3264434271386647;-0.9424426595668
4.167576457963536 -1.3287585685628567;-0.9433823721498
4.169763902555509 -1.3310370688443391;-0.9442997105112
4.171916361341825 -1.3332802231541667;-0.9451955453475
4.1740350509490245 -1.3354892497478927;-0.9460706952100
4.176121117345317 -1.3376652962504072;-0.9469259307718
4.178175641487048 -1.339809445294622;-0.9477619786573
4.180199644397495 -1.3419227195931536;-0.9485795248846
4.1821940917460605 -1.3440060865124404;-0.9493792179710
4.184159897986888 -1.346060462206639;-0.9501616717381
4.186097930107509 -1.3480867153619072;-0.9509274678530
4.188009011031629 -1.350085670596251;-0.9516771581349
4.189893922714112 -1.3520581115515222;-0.952411266652
4.191753408961861 -1.3540047837119251;-0.9531302916375
4.19358817800927 -1.3559263969776352;-0.9538347072269
4.195398904874379 -1.357823628019117;-0.9545249650626
4.197186233517529 -1.3596971224348091;-0.9552014957528
4.198950778823044 -1.361547496731303;-0.9558647102152
4.200693128420887 -1.3633753401442752;-0.9565150009110
4.202413844363942 -1.3651812163152302;-0.9571527429817
4.204113464674853 -1.3669656648376483;-0.9577782952967
4.205792504774299 -1.3687292026848714;-0.9583920014208
4.207451458801946 -1.3704723255307294;-0.9589941905095
4.209090800839489 -1.3721955089726967;-0.9595851781373
4.2107109860448215 -1.3738992096654785;-0.9601652670656
4.212312451704801 -1.375583866374082;-0.9607347479563
4.213895618213859 -1.3772499009522907;-0.961293900034
4.215460889984611 -1.378897719253628;-0.9618429917037
4.217008656296307 -1.3805277119795814;-0.9623822811239
4.218539292086064 -1.3821402554712094;-0.9629120167439
4.220053158687594 -1.383735712448112;-0.9634324378032
4.221550604521733 -1.3853144326990376;-0.963943774799
4.2230319657423925 -1.3868767537282083;-0.9644462499260
4.224497566841531 -1.3884230013604366;-0.9649400774806
4.22594772121616 -1.3899534903085256;-0.9654254642506
4.227382731700382 -1.391468524705664;-0.9659026098724
4.228802891065046 -1.3929683986051957;-0.9663717071698
4.230208482487261 -1.3944533964505814;-0.9668329424721
4.2315997799921705 -1.3959237935175122;-0.9672864959131
4.232977048868787 -1.3973798563298243;-0.9677325417126
4.234340546061788 -1.3988218430520443;-0.9681712484416
4.2356905205410404 -1.4002500038588719;-0.9686027792724
4.237027213650229 -1.401664581284238;-0.9690272922150
4.238350859436125 -1.40306581055093;-0.9694449403394
4.239661684959713 -1.4044539198821349;-0.9698558719868
4.240959910590499 -1.4058291307958846;-0.9702602309684
4.2422457502849795 -1.407191658383941;-0.9706581567540
4.243519411850382 -1.4085417115758136;-0.9710497846507
4.244781097194554 -1.4098794933889771;-0.9714352459721
4.246031002562909 -1.4112052011661367;-0.971814668198
4.247269318763306 -1.4125190268003431;-0.9721881751286
4.248496231379462 -1.413821156948783;-0.9725558870255
4.249711920973767 -1.4151117732358225;-0.9729179207524
4.250916563279967 -1.41639105244599;-0.9732743899039
4.252110329386528 -1.4176591667076026;-0.973625404929
4.253293385910992 -1.418916283667461;-0.973971073253
4.254465895166083 -1.4201625666571611;-0.9743114993835
4.255628015317909 -1.4213981748515196;-0.9746467850220
4.256779900536687 -1.422623263419705;-0.9749770291659
4.257921701140591 -1.4238379836691468;-0.9753023282041
4.2590535637328495 -1.4250424831830142;-0.9756227760109
4.260175631332708 -1.426236905951394;-0.9759384640345
4.261288043500465 -1.427421392496476;-0.9762494813812
4.26239093645693 -1.4285960799923292;-0.9765559148971
4.263484443197615 -1.4297611023793217;-0.9768578492446
4.2645686936019045 -1.430916590473414;-0.9771553669770
4.26564381453758 -1.432062672070966;-0.9774485486087
4.2667099299607365 -1.4331994720489325;-0.9777374726835
4.2677671610115855 -1.4343271124606656;-0.9780222158389
4.268815626106154 -1.4354457126280513;-0.978302852868
4.269855441024167 -1.436555389229387;-0.9785794567816
4.270886718993312 -1.437656256383983;-0.9788520988599
4.271909570770088 -1.4387484257330059;-0.9791208487128
4.272924104717289 -1.4398320065174275;-0.9793857743295
4.273930426878474 -1.4409071056523035;-0.9796469421295
4.274928641049376 -1.441973827798709;-0.9799044170113
4.275918848846591 -1.443032275432425;-0.9801582623986
4.276901149773502 -1.444082548909876;-0.9804085402850
4.277875641283667 -1.445124746531987;-0.9806553112772
4.27884241884176 -1.4461589646050574;-0.9808986346361
4.279801575982232 -1.4471852974996084;-0.9811385683166
4.280753204365683 -1.448203837707005;-0.9813751690060
4.2816973938331975 -1.4492146758938016;-0.9816084921604
4.282634232458564 -1.4502179009541414;-0.9818385920407
4.283563806598683 -1.4512136000603073;-0.9820655217463
4.284486200942034 -1.452201858711325;-0.9822893332484
4.285401498555428 -1.4531827607798211;-0.9825100774211
4.2863097809290585 -1.4541563885572604;-0.9827278040727
4.287211128019948 -1.4551228227974515;-0.9829425619747
4.2881056182938995 -1.456082142758566;-0.9831543988903
4.288993328765891 -1.4570344262437656;-0.9833633616020
4.289874335039115 -1.4579797496402827;-0.9835694959379
4.290748711342662 -1.4589181879572222;-0.9837728467
4.291616530567868 -1.4598498148620858;-0.9839734581764
4.292477864303523 -1.4607747027158862;-0.9841713731898
4.2933327828697445 -1.4616929226073674;-0.9843666340958
4.2941813553508235 -1.4626045443858187;-0.9845592823181
4.295023649626969 -1.4635096366928133;-0.9847493584666
4.295859732404933 -1.4644082669931773;-0.9849369023592
4.296689669247678 -1.4653005016045355;-0.9851219530413
4.29751352460307 -1.4661864057262164;-0.9853045488058
4.298331361831675 -1.4670660434669847;-0.985484727211
4.299143243233567 -1.4679394778721295;-0.9856625251018
4.299949230074409 -1.4688067709494104;-0.9858379786219
4.300749382610577 -1.4696679836944921;-0.9860111232366
4.301543760113602 -1.4705231761152797;-0.9861819937463
4.302332420893778 -1.4713724072556755;-0.9863506243034
4.303115422323077 -1.4722157352185368;-0.9865170484276
4.303892820857317 -1.4730532171879664;-0.9866812990216
4.304664672057695 -1.4738849094508548;-0.9868434083850
4.305431030611652 -1.474710867417836;-0.9870034082290
4.306191950353086 -1.4755311456435403;-0.9871613296902
4.306947484281975 -1.4763457978463221;-0.9873172033436
4.3076976845834025 -1.4771548769273606;-0.9874710592159
4.308442602646074 -1.4779584349891346;-0.9876229267980
4.309182289080191 -1.4787565233534663;-0.9877728350572
4.309916793734892 -1.4795491925789233;-0.9879208124491
4.310646165715125 -1.480336492477874;-0.9880668869291
4.311370453398082 -1.4811184721327972;-0.988211085963
4.31208970444912 -1.4818951799124342;-0.9883534365410
4.312803965837278 -1.482666663487206;-0.9884939651821
4.313513283850286 -1.483432969844381;-0.9886326979505
4.314217704109225 -1.484194145302659;-0.9887696604625
4.314917271582709 -1.4849502355265312;-0.9889048778970
4.315612030600722 -1.4857012855401164;-0.9890383750045
4.31630202486806 -1.4864473397406253;-0.9891701761169
4.31698729747739 -1.4871884419114643;-0.989300305156
4.317667890921969 -1.4879246352349882;-0.9894287856423
4.31834384710802 -1.4886559623048807;-0.9895556407037
4.3190152073667365 -1.4893824651383427;-0.9896808930832
4.31968201246602 -1.4901041851877046;-0.9898045651476
4.320344302621894 -1.490821163351917;-0.9899266788947
4.321002117509551 -1.491533439987674;-0.9900472559612
4.321655496274205 -1.4922410549202942;-0.9901663176303
4.322304477541583 -1.4929440474541664;-0.9902838848383
4.322949099428182 -1.4936424563831592;-0.9903999781824
4.323589399551282 -1.494336320000557;-0.990514617926
4.324225415038622 -1.4950256761088243;-0.9906278240101
4.3248571825378965 -1.4957105620291316;-0.9907396160511
4.325484738226005 -1.4963910146105701;-0.9908500133557
4.3261081178180465 -1.4970670702392628;-0.9909590349227
4.326727356576093 -1.4977387648470726;-0.991066699450
4.327342489317738 -1.4984061339202561;-0.9911730253410
4.327953550424459 -1.4990692125077592;-0.9912780307088
4.328560573849725 -1.4997280352294697;-0.9913817333837
4.329163593126966 -1.5003826362840749;-0.9914841509174
4.329762641377286 -1.5010330494569342;-0.9915853005886
4.330357751317051 -1.5016793081275353;-0.991685199408
4.3309489552652165 -1.5023214452769602;-0.9917838641258
4.3315362851505474 -1.5029594934950945;-0.9918813112311
4.332119772518646 -1.5035934849876358;-0.9919775569624
4.332699448538778 -1.504223451582959;-0.9920726173097
4.333275344010599 -1.5048494247388708;-0.9921665080193
4.333847489370653 -1.5054714355491134;-0.9922592445987
4.3344159146987735 -1.5060895147497988;-0.9923508423208
4.3349806497243035 -1.5067036927256159;-0.9924413162280
4.335541723832195 -1.5073139995159612;-0.9925306811368
4.336099166068938 -1.5079204648208824;-0.9926189516418
4.336653005148395 -1.5085231180068852;-0.9927061421196
4.33720326945745 -1.5091219881126774;-0.9927922667326
4.337749987061578 -1.5097171038546493;-0.9928773394333
4.338293185710248 -1.5103084936323645;-0.9929613739674
4.338832892842235 -1.510896185533878;-0.9930443838783
4.3393691355907995 -1.5114802073408675;-0.9931263825097
4.3399019407887645 -1.5120605865337844;-0.9932073830101
4.3404313349734345 -1.5126373502967556;-0.9932873983354
4.340957344391471 -1.5132105255224937;-0.993366441252
4.341479995003637 -1.5137801388169476;-0.9934445243439
4.341999312489396 -1.5143462165040151;-0.9935216600078
4.342515322251478 -1.514908784630119;-0.9935978604645
4.343028049420295 -1.515467868968566;-0.9936731377577
4.3435375188583 -1.5160234950239402;-0.9937475037581
4.344043755164212 -1.5165756880363348;-0.9938209701661
4.3445467826771855 -1.5171244729855384;-0.9938935485148
4.345046625480886 -1.5176698745950807;-0.9939652501729
4.345543307407446 -1.518211917336271;-0.9940360863472
4.346036852041409 -1.5187506254320156;-0.9941060680859
4.346527282723494 -1.519286022860716;-0.9941752062803
4.347014622554369 -1.5198181333599827;-0.9942435116684
4.347498894398295 -1.5203469804303003;-0.9943109948367
4.347980120886738 -1.520872587338578;-0.994377666223
4.348458324421823 -1.5213949771217385;-0.994443536120
4.348933527179838 -1.521914172590112;-0.9945086146744
4.349405751114574 -1.522430196330789;-0.9945729118929
4.349875017960614 -1.5229430707109972;-0.9946364376427
4.350341349236601 -1.5234528178812246;-0.9946992016540
4.350804766248371 -1.523959459778518;-0.9947612135222
4.351265290092089 -1.5244630181294982;-0.9948224827103
4.351722941657285 -1.5249635144534213;-0.9948830185506
4.3521777416298315 -1.525460970065223;-0.9949428302473
4.352629710494885 -1.5259554060783482;-0.9950019268782
4.353078868539737 -1.52644684340773;-0.9950603173967
4.353525235856655 -1.5269353027724915;-0.9951180106340
4.353968832345595 -1.5274208046987823;-0.9951750153008
4.354409677716959 -1.5279033695224402;-0.9952313399894
4.354847791494205 -1.5283830173916895;-0.9952869931753
4.355283193016483 -1.5288597682696825;-0.9953419832192
4.355715901441158 -1.5293336419370829;-0.9953963183687
4.356145935746356 -1.5298046579945577;-0.9954500067603
4.356573314733351 -1.5302728358652633;-0.995503056420
4.356998057029053 -1.5307381947971948;-0.9955554752687
4.357420181088325 -1.5312007538655954;-0.9956072711171
4.357839705196321 -1.531660531975298;-0.9956584516738
4.3582566474707605 -1.53211754786293;-0.9957090245439
4.35867102586418 -1.5325718200991512;-0.9957589972309
4.359082858166094 -1.5330233670909215;-0.9958083771386
4.359492162005182 -1.5334722070836384;-0.9958571715722
4.359898954851391 -1.533918358163126;-0.9959053877400
4.360303254018018 -1.5343618382578712;-0.9959530327550
4.36070507666374 -1.5348026651409679;-0.9960001136361
4.361104439794629 -1.535240856432127;-0.996046637309
4.361501360266117 -1.5356764295996754;-0.9960926106103
4.361895854784917 -1.5361094019624273;-0.9961380402836
4.362287939910936 -1.53653979069164;-0.9961829329860
4.36267763205912 -1.5369676128127985;-0.9962272952870
4.363064947501316 -1.5373928852075172;-0.9962711336698
4.363449902368029 -1.5378156246153185;-0.9963144545333
4.363832512650239 -1.5382358476353208;-0.9963572641926
4.364212794201097 -1.538653570728113;-0.9963995688809
4.36459076273766 -1.5390688102172778;-0.9964413747502
4.364966433842546 -1.5394815822912344;-0.9964826878725
4.365339822965597 -1.5398919030047808;-0.9965235142414
