Point;Valeur
3.9952092571881774 -1.1527720399585561;-0.8503245570976
3.997737220034571 -1.1535014978417868;-0.8517062530896
4.000254425811374 -1.1542278521870852;-0.8530762111989
4.002760902976977 -1.1549511112041344;-0.8544345124178
4.0052566801628835 -1.1556712831525273;-0.8557812375271
4.007741786169472 -1.1563883763405902;-0.8571164670898
4.010216249961829 -1.1571023991242058;-0.8584402814442
4.0126801006655946 -1.157813359905575;-0.8597527606980
4.01513336756294 -1.1585212671320744;-0.8610539847220
4.017576080088481 -1.1592261292950834;-0.8623440331438
4.0200082678252755 -1.1599279549287977;-0.863622985342
4.022429960500922 -1.1606267526090908;-0.864890920443
4.024841187983569 -1.161322530952481;-0.8661479173094
4.0272419802780846 -1.162015298614889;-0.8673940545410
4.029632367522273 -1.1627050642905934;-0.8686294104666
4.032012379983002 -1.163391836711154;-0.8698540631388
4.034382048052526 -1.1640756246442852;-0.8710680903301
4.0367414022448145 -1.1647564368928176;-0.8722715695272
4.039090473191781 -1.1654342822936326;-0.8734645779269
4.041429291639769 -1.1661091697166848;-0.8746471924314
4.043757888445981 -1.1667811080638368;-0.875819489643
4.04607629457484 -1.1674501062679432;-0.8769815458641
4.048384541094651 -1.1681161732918177;-0.8781334370850
4.05068265917407 -1.1687793181272343;-0.8792752389876
4.0529706800786425 -1.1694395497940002;-0.8804070269383
4.055248635167573 -1.1700968773388343;-0.8815288759844
4.057516555890288 -1.170751309834579;-0.8826408608505
4.059774473783233 -1.1714028563791568;-0.8837430559358
4.062022420466537 -1.1720515260946596;-0.8848355353097
4.06426042764088 -1.1726973281264719;-0.8859183727095
4.0664885270843705 -1.1733402716422103;-0.8869916415366
4.0687067506493015 -1.17398036583098;-0.888055414853
4.070915130259132 -1.1746176199024416;-0.8891097653829
4.073113697905487 -1.1752520430858904;-0.8901547655007
4.075302485645092 -1.1758836446294063;-0.8911904872377
4.077481525596814 -1.176512433799033;-0.8922170022746
4.079650849938764 -1.1771384198779167;-0.8932343819406
4.081810490905351 -1.1777616121654633;-0.8942426972103
4.083960480784525 -1.1783820199764827;-0.8952420187020
4.086100851914891 -1.1789996526404678;-0.8962324166757
4.088231636682936 -1.1796145195006946;-0.8972139610304
4.090352867520373 -1.1802266299134956;-0.8981867213029
4.092464576901304 -1.18083599324746;-0.8991507666657
4.094566797339692 -1.181442618882701;-0.9001061659249
4.0966595613866605 -1.1820465162100013;-0.9010529875193
4.0987429016279044 -1.1826476946301856;-0.9019912995182
4.100816850681193 -1.183246163553321;-0.902921169620
4.102881441193817 -1.1838419323979676;-0.9038426651519
4.10493670584005 -1.1844350105905244;-0.9047558530667
4.106982677318815 -1.1850254075644895;-0.9056607999430
4.109019388351225 -1.1856131327597508;-0.906557571984
4.111046871678152 -1.1861981956219525;-0.907446235015
4.113065160057959 -1.1867806056017516;-0.9083268544872
4.115074286264185 -1.1873603721542014;-0.9091994954682
4.117074283083243 -1.1879375047380802;-0.9100642226496
4.119065183312158 -1.1885120128152526;-0.9109211003422
4.121047019756457 -1.1890839058499758;-0.9117701924759
4.123019825227891 -1.189653193308411;-0.9126115625996
4.124983632542355 -1.190219884657857;-0.9134452738803
4.126938474517776 -1.1907839893661798;-0.9142713891027
4.128884383971986 -1.191345516901311;-0.915089970669
4.130821393720796 -1.191904476730522;-0.9159010805989
4.132749536575819 -1.1924608783199298;-0.9167047805284
4.134668845342653 -1.1930147311339079;-0.9175011317105
4.136579352818836 -1.1935660446344987;-0.918290195015
4.138481091791928 -1.1941148282809078;-0.9190720309281
4.140374095037685 -1.1946610915288935;-0.9198466995526
4.1422583953181205 -1.1952048438302898;-0.9206142606080
4.144134025379758 -1.1957460946324727;-0.921374773430
4.146001017951811 -1.1962848533777892;-0.922128296973
4.147859405744335 -1.1968211295031184;-0.922874889808
4.149709221446634 -1.1973549324393051;-0.9236146101218
4.151550497725447 -1.197886271610733;-0.9243475157205
4.153383267223248 -1.1984151564347911;-0.9250736640286
4.155207562556701 -1.1989415963213856;-0.9257931120892
4.157023416314914 -1.1994656006725124;-0.9265059165643
4.158830861057921 -1.199987178881785;-0.9272121337359
4.160629929315117 -1.20050634033398;-0.9279118195063
4.162420653583658 -1.201023094404542;-0.9286050293988
4.164203066326965 -1.2015374504592347;-0.9292918185585
4.1659771999732245 -1.2020494178536856;-0.9299722417526
4.167743086913999 -1.202559005932864;-0.9306463533716
4.169500759502675 -1.2030662240308476;-0.9313142074301
4.171250250053143 -1.2035710814702183;-0.9319758575672
4.172991590838376 -1.2040735875618336;-0.9326313570480
4.174724814089053 -1.2045737516043165;-0.9332807587641
4.1764499519922165 -1.2050715828837444;-0.9339241152344
4.178167036690027 -1.2055670906731997;-0.9345614786067
4.1798761002784115 -1.2060602842324308;-0.9351929006583
4.181577174805788 -1.2065511728075529;-0.9358184327969
4.183270292271917 -1.207039765630581;-0.9364381260623
4.1849554846265615 -1.2075260719191472;-0.9370520311268
4.186632783768389 -1.2080101008761124;-0.9376601982970
4.1883022215437595 -1.2084918616892826;-0.9382626775144
4.189963829745573 -1.2089713635310373;-0.9388595183572
4.191617640112187 -1.2094486155580186;-0.9394507700410
4.193263684326269 -1.2099236269107927;-0.9400364814205
4.194901994013721 -1.2103964067135942;-0.9406167009904
4.196532600742629 -1.2108669640739322;-0.9411914768871
