Point;Valeur
4.075111173049358 -2.465391592389591;-0.9987273953387
4.070639037094358 -2.4609194564345915;-0.9990182790804
4.064918258551113 -2.4551990677838273;-0.999335422132
4.058629613835997 -2.448911891909914;-0.9996128650064
4.0522043802026335 -2.442490061264089;-0.999819352096
4.045996314803763 -2.4362881244749026;-0.9999449802973
4.040333990996769 -2.4306350337281377;-0.9999962913560
4.035523914803049 -2.425836886597111;-0.9999925061660
4.031816396263315 -2.422142703014258;-0.9999599304480
4.029353918566209 -2.419693266256954;-0.9999240574368
4.0281391688751675 -2.418489952196117;-0.9999022097695
4.028047572295438 -2.4184077419867474;-0.999900512463
PointOptimal;ValeurOptimale
[ 4.02804757 -2.41840774];-0.999900512463119
Temps;Nb iteration
0.0006382465362548828;11
